,dhr,unh,Ratio,Spread
0,289.82000732421875,470.2300109863281,1.6224898181728582,80.67719014165002
1,289.9200134277344,468.2900085449219,1.615238641197318,82.80794835200024
2,291.1300048828125,466.94500732421875,1.6039054700396698,86.46093720860685
3,289.1925048828125,466.30999755859375,1.612455335754823,83.40027951658496
4,290.29998779296875,465.3299865722656,1.6029280266595183,86.4927491098625
5,291.8599853515625,467.2799987792969,1.6010416714591096,87.51834062479438
6,293.30999755859375,468.510009765625,1.597320287972905,89.05414276193264
7,287.7898864746094,460.8999938964844,1.6015156041181726,86.1348709429819
8,286.18499755859375,464.57000732421875,1.6233206187864628,79.40362616554054
9,287.0,463.2099914550781,1.6139720956622932,82.31821132531749
10,286.1000061035156,464.1499938964844,1.6223347920116695,79.66152338439221
11,288.18499755859375,464.9800109863281,1.6134775055102875,82.80850504035706
12,288.67999267578125,463.0299987792969,1.6039559738361553,85.70269136159934
13,288.55999755859375,461.55999755859375,1.599528699278116,86.94380894376499
14,291.2290954589844,467.6600036621094,1.6058148411478785,85.93495032502219
15,290.1499938964844,467.5400085449219,1.6113734908839055,83.99662258903444
16,290.5849914550781,467.9549865722656,1.6103893880720517,84.41137685663293
17,289.17999267578125,465.8500061035156,1.6109344280460327,83.83640467161214
18,287.8699951171875,462.8999938964844,1.6080175139755182,84.28767347379593
19,288.1600036621094,464.67999267578125,1.612576300563404,83.0608489612899
20,287.1400146484375,462.5,1.6107124622329845,83.29527249901466
21,288.4679870605469,468.6700134277344,1.624686393119125,79.658288453518
22,288.3299865722656,468.739990234375,1.625706697408985,79.32508382046169
23,289.05999755859375,466.7099914550781,1.6145782723203475,82.74753568151206
24,287.4800109863281,469.8999938964844,1.6345484066328066,76.54380164854908
25,286.8599853515625,469.0400085449219,1.6350834291861511,76.22112451685481
26,284.7200012207031,467.6099853515625,1.6423503208300798,73.56925366515722
27,282.8900146484375,462.95001220703125,1.6365017789064202,74.73863490101596
28,280.2300109863281,465.44500732421875,1.6609391895107442,67.16983902445858
29,281.635009765625,469.1099853515625,1.6656664444592775,66.18481365088573
30,281.5,467.1199951171875,1.6593960750166519,67.91728068666211
31,281.3599853515625,465.7099914550781,1.655210462401639,69.06021463015244
32,281.1000061035156,464.1700134277344,1.6512629076813425,70.10429751082765
33,280.760009765625,462.4700012207031,1.6472075264805959,71.15578667183999
34,280.3900146484375,461.07000732421875,1.6443881138289604,71.85003661267123
35,269.3299865722656,453.54998779296875,1.6839936524159516,58.27370216107234
36,269.13641357421875,452.13128662109375,1.6799335348816007,59.32317420801265
37,268.5,450.04998779296875,1.6761638279067737,60.19055152086283
38,270.95001220703125,449.989990234375,1.6607860120358304,64.92380347138598
39,271.95001220703125,452.31500244140625,1.6632284689771073,64.50623253281762
40,274.0,454.42999267578125,1.658503622904311,66.30147361459646
41,277.04998779296875,462.2699890136719,1.6685436180531887,64.27914986132257
42,273.4100036621094,452.0899963378906,1.6535239760158917,67.51608658935251
43,272.1000061035156,453.3450012207031,1.6660969902670126,63.762338301692544
44,273.5899963378906,453.80999755859375,1.6587229198180435,66.13941082645553
45,273.6600036621094,453.635009765625,1.657659152580194,66.4479334787338
46,273.9800109863281,456.55999755859375,1.666398931494957,64.13334086219035
47,271.0299987792969,456.010009765625,1.6825075151070625,59.05635362899826
48,271.19000244140625,456.4200134277344,1.6830266946376433,58.951547555101534
49,270.2049865722656,458.0400085449219,1.6951574963714455,55.45269251902433
50,271.0799865722656,461.3550109863281,1.701914688797353,53.80670118752308
51,271.45001220703125,463.0150146484375,1.7057100527787128,52.85249969155492
52,270.7250061035156,460.83990478515625,1.7022435844324904,53.644702993102975
53,272.7250061035156,462.0799865722656,1.6943073654085037,56.21950374291938
54,266.6400146484375,456.5799865722656,1.7123460901930354,50.112739923259106
55,266.7699890136719,458.42999267578125,1.7184466452569627,48.51065228783383
56,270.3999938964844,461.739990234375,1.7076183456244463,52.1246758474385
