,googl,chtr,Ratio,Spread
0,148.19949340820312,645.97998046875,4.358854174281501,-54.846042954381424
1,148.08950805664062,649.6599731445312,4.386941260525035,-58.96772243514189
2,147.5574951171875,649.969970703125,4.404859069930203,-61.41421446410319
3,147.97337341308594,651.530029296875,4.403022072613351,-61.30416014585111
4,147.73049926757812,652.967529296875,4.419991352727929,-63.71701098864454
5,147.7584991455078,651.469970703125,4.409018597715847,-62.1070085426281
6,147.85350036621094,652.260009765625,4.411529034822137,-62.515535112369854
7,147.10549926757812,660.22998046875,4.488139354109544,-73.48938051955857
8,147.12649536132812,661.47998046875,4.4959949521275595,-74.65506294968459
9,146.5814971923828,659.8599853515625,4.501659472651726,-75.2237092883026
10,146.4405059814453,659.2449951171875,4.501794026857001,-75.17492133999981
11,146.5135040283203,658.7999877929688,4.49651376616879,-74.43676339494023
12,146.4300079345703,658.0250244140625,4.493785349708439,-73.9971094218118
13,146.75949096679688,656.239990234375,4.471533567684858,-70.88891442360064
14,146.75,657.1400146484375,4.477955806803663,-71.8270533205568
15,146.302001953125,653.9600219726562,4.469932148858662,-70.4461622810398
16,145.80300903320312,652.4099731445312,4.474598826667291,-70.90000383810259
17,145.79200744628906,652.5,4.475553985635229,-71.03421162952993
18,146.11700439453125,654.8499755859375,4.481682185447587,-72.07904192422798
19,146.69549560546875,655.8599853515625,4.4708938242757625,-70.7659065524535
20,146.65499877929688,656.1099853515625,4.473833083173329,-71.17853651644005
21,147.20375061035156,663.5,4.507357980003411,-76.36483549236489
22,146.93199157714844,661.72998046875,4.503648071232333,-75.68616473978882
23,146.75,661.6649780273438,4.508790310237436,-76.35201669946305
24,146.83175659179688,660.0499877929688,4.495280878699534,-74.4087026719305
25,146.70199584960938,660.6699829101562,4.503483262677884,-75.54979997967628
26,146.66799926757812,660.489990234375,4.503299925905381,-75.50633313651072
27,146.20150756835938,657.22998046875,4.495370748221931,-74.11969309921922
28,146.00790405273438,655.4299926757812,4.4890035024340635,-73.09719173543711
29,145.7727508544922,655.1500244140625,4.494324354680127,-73.76156800084603
30,145.4552459716797,654.3900146484375,4.498909683710191,-74.27661637035006
31,145.80569458007812,656.1099853515625,4.499892732181455,-74.58923123968482
32,145.28050231933594,656.5850219726562,4.519429734138996,-77.17337137639772
33,145.35174560546875,658.2899780273438,4.528944425711638,-78.59222370016842
34,144.8520050048828,651.97998046875,4.5010076349773165,-74.28911911464316
35,144.70050048828125,648.030029296875,4.478422860391948,-70.94759029108111
36,144.63101196289062,644.1749877929688,4.453920214277772,-67.37160562816753
37,144.78700256347656,643.239990234375,4.442663905224296,-65.81017019397673
38,145.51800537109375,648.3200073242188,4.455256280285735,-67.95457549606472
39,144.95550537109375,649.5549926757812,4.481064661965657,-71.4484873707623
40,145.08248901367188,651.3400268554688,4.4894461852945575,-72.72357182916262
41,144.97500610351562,647.5900268554688,4.466908084784449,-69.40520915633711
42,145.59024047851562,636.0399780273438,4.3686992750122045,-55.38445944353324
43,144.2969970703125,633.5999755859375,4.390943598619723,-58.137953598855084
44,144.66000366210938,633.3099975585938,4.377920513799046,-56.39018851678642
45,144.02149963378906,633.5599975585938,4.399065411550217,-59.20433728958877
46,143.85150146484375,637.614990234375,4.4324527984868025,-63.94202040575211
47,144.7989959716797,641.7050170898438,4.431695211583862,-64.2270330887472
48,144.3800048828125,640.760009765625,4.438010722369101,-64.96463924648272
49,142.59469604492188,640.97998046875,4.495117968951811,-72.35417703564958
50,141.67750549316406,641.6699829101562,4.5290886557931165,-76.72749692440625
51,140.75888061523438,641.5800170898438,4.5580073831619075,-80.32660861799077
52,140.85044860839844,638.6199951171875,4.534028832898646,-76.998861545906
53,139.97299194335938,633.8099975585938,4.528087802931779,-75.71261533586046
54,138.79100036621094,629.0499877929688,4.5323543034719185,-75.69932934577817
55,137.7310028076172,624.27001953125,4.5325308522092955,-75.17617281662088
56,138.9532470703125,632.0599975585938,4.548724199577442,-78.05777754129436
57,139.17098999023438,635.9749755859375,4.569738101529377,-81.0983284450178
58,138.86500549316406,634.0700073242188,4.566089239491171,-80.42215395414401
59,138.10150146484375,635.469970703125,4.601470396503223,-84.88824977766042
60,137.5904998779297,634.719970703125,4.6131089811160555,-86.19036540085024
61,138.114501953125,635.3099975585938,4.5998790031057935,-84.67606837038734
62,137.79251098632812,632.030029296875,4.586824238652459,-82.68917377108171
63,137.156494140625,624.864990234375,4.555854202526553,-78.07829528088298
64,136.927001953125,619.3099975585938,4.522920890144119,-73.44491325256134
65,136.92599487304688,623.25,4.551728841392434,-77.38895999601102
66,137.24591064453125,623.5999755859375,4.543668898092489,-76.45419563283686
67,136.63929748535156,617.219970703125,4.517148302590579,-72.51026995811999
