,ibm,acn,Ratio,Spread
0,131.47000122070312,339.2749938964844,2.580626688570056,-59.6554706322234
1,131.24000549316406,338.2799987792969,2.577567697503007,-59.149646391206545
2,130.75,337.69000244140625,2.582715123834847,-59.60182774498105
3,130.80499267578125,338.5299987792969,2.5880510510664645,-60.32486184325654
4,131.2100067138672,338.64990234375,2.5809761833352542,-59.58335344153187
5,131.6699981689453,340.25,2.5841118305737836,-60.205109345440576
6,131.9499969482422,340.67999267578125,2.5818870826455123,-60.039581184113615
7,132.0800018310547,338.05999755859375,2.559509334282194,-57.1430826591789
8,132.5850067138672,340.2799987792969,2.566504367372836,-58.289004445280796
9,132.19500732421875,340.1000061035156,2.5727144541048617,-58.938489539289606
10,131.97999572753906,339.5307922363281,2.572592841548951,-58.82657725878829
11,131.92999267578125,338.79998779296875,2.5680285500020585,-58.20212277636642
12,131.5800018310547,337.1000061035156,2.5619395152186066,-57.24652590657274
13,132.16000366210938,338.3599853515625,2.5602298424313013,-57.272917005337945
14,131.09500122070312,340.82000732421875,2.5997940741496013,-61.99806008681179
15,131.18930053710938,343.3399963378906,2.6171341331358833,-64.31748676951207
16,131.55999755859375,341.6700134277344,2.5970661277609293,-61.8590797058568
17,131.31649780273438,341.17999267578125,2.598150258228079,-61.88695113475234
18,131.10000610351562,340.6700134277344,2.5985507060826816,-61.83742145819815
19,130.80999755859375,339.9200134277344,2.5985782415099727,-61.704231759564834
20,130.02999877929688,337.2300109863281,2.59347853689299,-60.67318485773876
21,128.8000030517578,337.6650085449219,2.621622675033885,-63.724222697447146
22,129.03500366210938,338.19500732421875,2.620955537071282,-63.75440586844411
23,128.3249969482422,337.5799865722656,2.6306642867751093,-64.64947667351993
24,128.9499969482422,338.8999938964844,2.628150460775208,-64.64019061964865
25,129.6199951171875,339.5299987792969,2.6194261037607114,-63.84519689556288
26,129.67999267578125,338.45001220703125,2.609886114454103,-62.63760335155291
27,130.11000061035156,340.739990234375,2.618860876457991,-64.01301065897587
28,130.10000610351562,340.69000244140625,2.6186778359589944,-63.984279876814014
29,129.67990112304688,342.3800048828125,2.6401932906930963,-66.56779074804382
30,129.77000427246094,342.8949890136719,2.6423285638007727,-66.89113724712536
31,129.9250030517578,342.8500061035156,2.6388300792799333,-66.5164921754789
32,130.14999389648438,343.55999755859375,2.639723501115539,-66.74795748651559
33,130.24000549316406,343.9800109863281,2.641124051583234,-66.97652800318178
34,130.27999877929688,344.4100036621094,2.6436138078690283,-67.321460182284
35,130.57000732421875,343.1499938964844,2.6280920169086586,-65.44464011529232
36,130.58999633789062,343.80999755859375,2.632743756795998,-66.06212975578796
37,129.55499267578125,342.6700134277344,2.644977289955051,-67.12346324787404
38,129.5800018310547,345.05999755859375,2.662910886577082,-69.46025617153884
39,129.51499938964844,344.3800048828125,2.6589970776028684,-68.9185151996312
40,128.94000244140625,342.8599853515625,2.6590660684015974,-68.62143908553367
41,128.91000366210938,342.82000732421875,2.6593747388511177,-68.64526454406212
42,128.60499572753906,336.7900085449219,2.6187941350151047,-63.26397780906797
43,128.72999572753906,336.05999755859375,2.610580351994068,-62.268108147121836
44,128.44500732421875,335.79998779296875,2.614348309742768,-62.614231497282674
45,129.07000732421875,338.0400085449219,2.619043847233841,-63.52495887114583
46,128.74000549316406,338.1499938964844,2.6266116161882542,-64.33681502075399
47,129.0399932861328,339.7699890136719,2.6330595682864546,-65.31877527921961
48,129.39999389648438,340.0400085449219,2.6278209009572473,-64.82312052655169
49,126.81500244140625,339.8949890136719,2.680242735245125,-70.17604023314897
50,127.04000091552734,338.3800048828125,2.6635705482071854,-68.18251373152236
51,127.63999938964844,338.2200012207031,2.6497963243341465,-66.7463916717918
52,128.05999755859375,341.0400085449219,2.6631267768756537,-68.67311774034823
53,128.44000244140625,341.5350036621094,2.6591015039719896,-68.3598920985525
54,128.77999877929688,343.0799865722656,2.66407819400772,-69.1817471998562
55,128.58999633789062,342.0400085449219,2.6599270416507164,-68.54587955200407
56,127.72989654541016,341.7850036621094,2.6758418577486203,-70.12019460301696
57,128.52000427246094,343.6549987792969,2.6739417005523296,-70.3097337689303
58,128.41000366210938,343.5,2.675025233266607,-70.38869192231533
59,128.28660583496094,340.489990234375,2.6541351532241095,-67.6411332198889
60,127.94499969482422,339.7200012207031,2.6552034235883144,-67.5976958542148
61,128.2100067138672,340.7049865722656,2.6573977749851796,-68.01904588487946
62,127.7699966430664,339.2099914550781,2.6548485588731974,-67.45989472514538
63,127.56999969482422,327.29998779296875,2.5656501416943094,-55.97525845333445
64,127.1500015258789,327.45001220703125,2.5753048232593625,-57.01856412305921
65,127.01000213623047,327.5350036621094,2.5788126773732083,-57.40131599669144
66,126.83999633789062,328.7799987792969,2.5920845811399724,-59.00789124503103
67,126.875,329.2799987792969,2.595310335206281,-59.433443027029625
68,126.52999877929688,328.1400146484375,2.59337720551791,-59.02723143715201
69,126.38999938964844,327.6300048828125,2.5922146250888103,-58.814982090081116
70,126.41000366210938,331.0209045410156,2.6186290242173067,-62.163335273218934
71,126.83000183105469,331.6300048828125,2.614759915596027,-61.87915435935349
72,126.66999816894531,330.9599914550781,2.612773318380113,-61.54944782523859
73,126.80000305175781,330.70001220703125,2.6080441975387383,-61.01296516944444
74,126.29499816894531,328.0,2.597094142724743,-59.38703239701442
75,125.62999725341797,326.4750061035156,2.5987026445997423,-59.2764086020249
76,125.9800033569336,326.7200012207031,2.593427468762814,-58.776986446101375
77,125.16999816894531,325.2799987792969,2.5987057884290907,-59.05975925687329
