,crm,msft,Ratio,Spread
0,202.55999755859375,289.95001220703125,1.4314278026349132,25.838083473445984
1,200.1199951171875,287.8999938964844,1.438636822511884,24.065300961605438
2,200.92999267578125,291.7699890136719,1.452097743737388,21.464345284943825
3,200.5500030517578,290.3800048828125,1.4479182271957953,22.25899204131344
4,200.72000122070312,289.4049987792969,1.4418343813234613,23.500337689831277
5,201.97000122070312,288.70001220703125,1.4294202627228474,26.163724363217405
6,203.0,289.67999267578125,1.4269950378117302,26.7974636652906
7,198.9499969482422,280.2300109863281,1.408544937345394,29.902224245863074
8,201.4199981689453,282.4700012207031,1.402393028440877,31.532034523802288
9,202.1199951171875,281.8163146972656,1.3943020062605427,33.28242032261699
10,199.80999755859375,282.5849914550781,1.4142685296425712,28.894624002934002
11,198.9199981689453,282.8900146484375,1.422129586026717,27.195220893826907
12,197.60000610351562,281.5,1.424595097697174,26.517177466731773
13,196.11000061035156,278.8999938964844,1.422160996524737,26.78276204346134
14,192.41000366210938,273.95001220703125,1.4237825840288119,25.935884214848052
15,190.84500122070312,271.2200012207031,1.4211532892446586,26.213974449573136
16,195.25,280.05999755859375,1.4343661846790974,24.275378155531037
17,195.9499969482422,280.8599853515625,1.4333247753290257,24.57208963793949
18,194.36000061035156,278.80999755859375,1.4345029670870684,24.13099823978326
19,193.75999450683594,277.42999267578125,1.431822876450347,24.570961511557478
20,192.1300048828125,275.739990234375,1.435174013567321,23.70722647735341
21,203.84500122070312,284.79998779296875,1.3971399155607236,33.00134892896063
22,203.25999450683594,284.6700134277344,1.4005216034686083,32.214781528120064
23,203.91000366210938,285.92999267578125,1.4022362196098221,31.973184676406625
24,204.5800018310547,286.8324890136719,1.4020553643876812,32.12038792396641
25,203.34300231933594,287.6499938964844,1.4146048332892724,29.36485106608513
26,203.9600067138672,288.7550048828125,1.4157432603338904,29.226513254670415
27,203.16000366210938,288.4800109863281,1.4199645884340544,28.248126305187448
28,199.36929321289062,283.45001220703125,1.4217335460198353,27.339142902829515
29,197.85000610351562,281.1199951171875,1.4208743312856145,27.288862369768374
30,199.22000122070312,282.67999267578125,1.4189337965248687,27.875263672002298
31,199.05999755859375,283.79998779296875,1.425700749892914,26.504587604371075
32,200.02000427246094,285.67498779296875,1.4282320852459902,26.133649400782197
33,200.69000244140625,285.4599914550781,1.4223926851484365,27.398345324123234
34,200.2100067138672,285.54998779296875,1.426252326144049,26.556330041152712
35,200.6699981689453,285.760009765625,1.4240295628300244,27.06698591820811
36,200.81500244140625,285.4800109863281,1.4216069890974674,27.574165802985313
37,200.38999938964844,283.75,1.4159888261103397,28.638315973682218
38,200.02000427246094,285.65399169921875,1.4281271152764796,26.154645494532197
39,199.8800048828125,285.2200012207031,1.4269561449526906,26.369296117972347
40,198.4600067138672,282.4049987792969,1.4229819068103666,26.959558913255883
41,197.9199981689453,280.0199890136719,1.4148140238696125,28.49852644769613
42,198.98379516601562,284.29998779296875,1.4287595005199913,25.885199785706625
43,197.0,281.9150085449219,1.4310406525122938,25.162127310771616
44,197.3800048828125,280.29998779296875,1.4201032569605372,27.372509343465772
45,193.08999633789062,278.44500732421875,1.4420478150352456,22.50624727766951
46,192.07000732421875,277.75,1.446087308838133,21.603217331874824
47,193.79119873046875,277.9200134277344,1.434120926277332,24.129829043378614
48,193.17999267578125,276.42999267578125,1.4309452487645578,24.662260995887387
49,194.75999450683594,280.69000244140625,1.4412097471668097,22.877671826828823
50,195.19000244140625,283.3399963378906,1.4516112136580661,20.901379996380577
51,194.75,285.010009765625,1.4634660321726574,18.542005908051586
52,193.55999755859375,283.2699890136719,1.4634738199349349,18.417625938737793
53,193.22999572753906,282.92999267578125,1.4642136258944096,18.240601781182484
54,195.74000549316406,286.05389404296875,1.4613971902282326,19.049183117045693
55,196.2899932861328,287.25,1.4633960457743476,18.71475407950647
56,205.3800048828125,291.75,1.4205375063968337,28.45625778360563
57,203.47999572753906,291.1499938964844,1.4308531551491477,26.07948138966737
58,202.22000122070312,290.4100036621094,1.436109197453498,24.84541292836338
59,200.77000427246094,288.2349853515625,1.435647652626458,24.74869190286075
60,198.42999267578125,284.739990234375,1.4349644748494115,24.577543861999693
61,203.9272003173828,291.4049987792969,1.428965818810672,26.52512091803215
62,205.6300048828125,294.4200134277344,1.4317950028524429,26.177924376095355
63,207.5800018310547,292.5918884277344,1.409537941260205,31.06114875259312
64,206.42999267578125,290.9599914550781,1.4094850640820378,30.891303288467732
65,206.6199951171875,291.5400085449219,1.410996106062101,30.608966838994498
66,208.27999877929688,293.2699890136719,1.408056417958953,31.479747442032824
67,208.66000366210938,292.2300109863281,1.4005080315226424,33.115086750117605
68,209.5800018310547,293.4800109863281,1.400324498627051,33.30646635579212
69,210.4600067138672,295.3800048828125,1.4034970800148223,32.785193780496975
70,211.8800048828125,296.35101318359375,1.3986738075992629,34.038925125838496
71,211.760498046875,296.70001220703125,1.4011112315260714,33.502692342733276
72,215.2050018310547,296.67999267578125,1.378592459057657,38.91928512138123
73,216.55999755859375,298.1300048828125,1.3766623949196743,39.592171930214256
74,216.72999572753906,298.3900146484375,1.3767822660946152,39.598501709591524
75,219.15499877929688,299.9599914550781,1.3687116110783175,41.82782588037487
76,218.64999389648438,300.55999755859375,1.3746169949626803,40.43661848600619
77,211.27000427246094,295.9200134277344,1.4006721609476844,33.51422467610099
78,214.74000549316406,299.4599914550781,1.3945235344823115,35.410767241967854
79,215.0,298.5,1.3883720930232557,36.77809731182857
80,212.1999969482422,295.3900146484375,1.3920359043194814,35.50126165563092
