,qcom,acn,Ratio,Spread
0,173.06280517578125,390.9070739746094,2.2587584523292685,-15.156352023701412
1,172.93556213378906,380.5878601074219,2.2007495474700898,-5.115011487957884
2,175.78404235839844,387.6022033691406,2.2049908408573025,-5.908844164797995
3,177.54598999023438,398.2568054199219,2.2431191233427876,-12.715705304778236
4,178.87725830078125,397.8819274902344,2.224329304182412,-9.43360388604368
5,182.391357421875,409.7401428222656,2.2464888063447446,-13.617730210813487
6,180.9132843017578,409.6809387207031,2.2645155125113305,-16.786341914141996
7,182.26409912109375,409.8289489746094,2.2485445622636013,-13.984443016741988
8,178.86744689941406,408.2603454589844,2.2824742709531107,-19.83344799127509
9,179.00448608398438,408.9706115722656,2.2846947611155786,-20.244447958771627
10,182.27391052246094,401.7294006347656,2.203987391740641,-5.86346854041683
11,183.2723388671875,398.8585510253906,2.176316150548134,-0.8122512974675944
12,182.55775451660156,391.83441162109375,2.1463586285810763,4.651378934883712
13,182.01939392089844,372.9125671386719,2.0487518341080255,22.397551648507534
14,176.59649658203125,365.7601318359375,2.071163012376281,17.707464750913278
15,175.88192749023438,367.9798889160156,2.09219840927913,13.927231821030308
16,181.48101806640625,370.06146240234375,2.0391193874994324,24.072951293896825
17,182.4794464111328,373.07818603515625,2.04449428893267,23.236595294658503
18,180.00294494628906,357.4306335449219,1.9856932543607846,33.475964346427745
19,184.70147705078125,349.5079650878906,1.8922857070157484,51.65928633964204
20,175.07925415039062,344.48333740234375,1.9675851320821678,35.670905444393995
21,168.8243408203125,339.99285888671875,2.0138853037109663,26.501905392782238
22,162.98052978515625,338.95428466796875,2.079722560202646,14.778766159508894
23,161.4437255859375,331.97125244140625,2.056266053304722,18.40572566155838
24,166.47506713867188,335.3045349121094,2.014142662172975,26.05988593822973
25,161.95272827148438,331.2986755371094,2.0456504751296762,20.1898625359127
26,163.46995544433594,326.2938232421875,1.9960476673237708,28.508035248806937
27,157.79254150390625,329.7259826660156,2.0896170346419893,12.677540317480737
28,163.28396606445312,339.112548828125,2.0768269965605013,15.283146089662683
29,172.04476928710938,349.7255554199219,2.032759013070009,23.801979946589814
30,173.3858184814453,349.5673522949219,2.016124244511557,26.888766052836775
31,184.22183227539062,355.5513916015625,1.9300176705986385,44.56841165465339
32,175.31419372558594,341.7831115722656,1.9495461508795375,38.88419227510086
33,175.67636108398438,343.71185302734375,1.9565059915091696,37.746351829954776
34,171.3889617919922,340.2104187011719,1.9850194268290826,31.88496437943842
35,174.81497192382812,341.308349609375,1.9523977028586132,38.26875376013406
36,180.06166076660156,351.6543273925781,1.9529661444609099,39.380494096252775
37,170.39051818847656,338.6575927734375,1.9875377830521836,31.257389351457892
38,161.15985107421875,325.591552734375,2.020301896310581,24.165500262679576
39,161.6394805908203,322.5748291015625,1.9956438112922388,28.229638744668126
40,169.3431396484375,325.819091796875,1.9240170725149377,41.80862526702411
41,168.95159912109375,330.0820617675781,1.9537078280685365,36.69060916550761
42,163.27418518066406,319.3899230957031,1.9561568948716288,34.98441232988459
43,164.09642028808594,317.67877197265625,1.935927495645199,38.49116032763963
44,162.38340759277344,317.60955810546875,1.9559237166766006,34.81949738930739
45,158.20367431640625,309.7462158203125,1.9578952079255898,33.555138922678665
46,164.42922973632812,312.723388671875,1.9018722472479208,44.17333283961226
47,167.31687927246094,318.9942932128906,1.9065278685567417,44.20847681869735
48,168.3544921875,312.57501220703125,1.856647887119696,52.89369671549365
49,160.22991943359375,307.9559326171875,1.9219627252250966,39.77033583597414
50,166.36351013183594,314.8598327636719,1.8926015237004736,46.26096991588092
51,162.53001403808594,315.47308349609375,1.9410143127297608,37.276131126696995
52,159.49270629882812,310.73529052734375,1.9482727313256887,35.381052019188175
53,147.5401153564453,301.6949157714844,2.0448331292314172,18.31936089743981
54,148.18882751464844,298.33197021484375,2.013188006264195,23.09896394454812
55,154.4305419921875,306.0469970703125,1.9817776530616278,29.014592004595432
56,152.0714874267578,306.1458740234375,2.0131707738499403,23.76401213010853
57,149.7418975830078,308.18341064453125,2.0580974037255877,16.639117641378608
58,138.88034057617188,304.325927734375,2.19128154835897,-3.2228656204836286
59,141.7505645751953,312.7827453613281,2.206571425649626,-5.411688612035573
60,147.88412475585938,321.3681335449219,2.1731077225190045,-0.6026092135195542
61,150.22354125976562,316.01708984375,2.103645588392136,9.857251813910626
62,151.36376953125,320.4185791015625,2.1168776391724973,7.94579284336088
63,152.93646240234375,320.96258544921875,2.098666206916919,10.836232895185436
64,154.92202758789062,323.90020751953125,2.0907304956086743,12.234687707890306
65,150.26284790039062,317.00616455078125,2.1096776014848655,8.954014941367905
66,155.75753784179688,321.74395751953125,2.065671825438888,16.215524845022788
67,155.27587890625,324.1375732421875,2.087494693479662,12.77006242847499
68,155.7476806640625,327.1345520019531,2.100413634457651,10.803404259697334
69,158.32301330566406,336.9761047363281,2.1284088629980156,6.585862469215317
70,150.125244140625,334.7703857421875,2.229940658271983,-9.110705315029588
71,150.2136993408203,333.5538330078125,2.2205287165653993,-7.700984130914731
72,144.48313903808594,336.9266662597656,2.3319445334791027,-23.588213906485247
73,151.18682861328125,340.7148742675781,2.253601569612179,-12.736905866415906
74,142.97923278808594,339.0828552246094,2.3715531872182782,-29.028633060454876
75,136.90463256835938,336.55078125,2.458286289778785,-39.76226991622242
76,136.8456573486328,338.0443420410156,2.4702599161024303,-41.384620781111565
77,134.3588104248047,335.22540283203125,2.4950012713877343,-43.99645742199887
78,133.05149841308594,323.7023620605469,2.432910308574999,-35.32832437863489
