,v,acn,Ratio,Spread
0,200.55999755859375,313.0,1.5606302543385144,-34.715891962260166
1,198.57000732421875,312.0,1.5712342674721083,-36.490910323413736
2,199.22500610351562,314.4100036621094,1.5781653609223363,-37.98752576497599
3,200.16000366210938,312.55999755859375,1.5615507186252209,-34.833676382276444
4,199.47999572753906,312.45001220703125,1.5663225330814272,-35.671954228978045
5,199.83999633789062,311.8699951171875,1.5605984829477073,-34.589920452572066
6,200.2100067138672,313.8999938964844,1.567853670496594,-36.103944042938046
7,192.86000061035156,305.67999267578125,1.5849838831711285,-38.133441306961224
8,192.10000610351562,308.54998779296875,1.6061945756873246,-42.063239972133424
9,190.58999633789062,308.3699951171875,1.617975764952997,-43.98893844636262
10,192.2100067138672,308.75,1.6063159524239532,-42.10985760054279
11,192.8300018310547,307.9100036621094,1.5967951083248986,-40.40528524398581
12,192.3000030517578,306.4949951171875,1.5938377028246533,-39.72935386564097
13,190.74000549316406,304.7900085449219,1.5979343596896627,-40.199765842409924
14,187.97999572753906,300.69000244140625,1.5995851115840576,-39.94856142860612
15,189.9499969482422,300.4800109863281,1.5818900542978334,-36.99142606070216
16,193.3800048828125,306.8299865722656,1.586668625632745,-38.55829526103246
17,194.27000427246094,305.80999755859375,1.5741493325428642,-36.29721239422138
18,193.02499389648438,306.2799987792969,1.586737513088844,-38.503366181646406
19,192.27999877929688,305.6549987792969,1.589634911170008,-38.917253254282905
20,191.55999755859375,301.6700134277344,1.574806939196481,-35.936301275844805
21,197.6300048828125,309.75,1.567322736158766,-35.55173285378202
22,196.00999450683594,308.45001220703125,1.5736443082052836,-36.5108307894456
23,197.6699981689453,311.19000244140625,1.5742905110741046,-36.935965120327914
24,199.44500732421875,312.2300109863281,1.5654942441289872,-35.50074393195086
25,199.43499755859375,311.010009765625,1.5594555297359514,-34.294701213616456
26,200.02999877929688,311.0199890136719,1.5548667245498302,-33.474958142509074
27,199.85000610351562,309.42999267578125,1.5483111494903175,-32.13595950879715
28,198.75,305.8299865722656,1.5387672280365565,-30.069899191500713
29,197.38499450683594,304.9700012207031,1.5450515981859059,-31.113398209445894
30,199.0,305.80999755859375,1.5367336560733353,-29.70128806988855
31,196.8800048828125,305.2900085449219,1.5506399886907636,-32.1376077225247
32,198.32000732421875,308.57000732421875,1.5559197051649984,-33.40953975557277
33,198.6381072998047,309.0199890136719,1.5556933823743482,-33.4159347089278
34,197.97500610351562,309.55999755859375,1.5636317111501108,-34.88063020116174
35,198.64990234375,315.3900146484375,1.58766760480293,-39.7695122913596
36,198.50999450683594,317.8900146484375,1.6013804012144617,-42.46461215144898
37,197.72999572753906,316.4599914550781,1.600465272305687,-42.12228823260693
38,198.8800048828125,315.0450134277344,1.5840959658733447,-39.10363574181496
39,199.3699951171875,314.25,1.5762151160975215,-37.62533660056874
40,197.5399932861328,312.1708984375,1.5802921385409108,-38.09815142157617
41,196.7899932861328,311.5799865722656,1.5833121459546373,-38.553105880162654
42,202.34800720214844,310.32000732421875,1.533595569410302,-29.54254052266457
43,203.4499969482422,308.5899963378906,1.5167854557225484,-26.27581758348929
44,201.52499389648438,307.57000732421875,1.5262127112739456,-27.940223056598587
45,200.85000610351562,306.32000732421875,1.5251182375685126,-27.6314857254735
46,200.30990600585938,304.70001220703125,1.521143004271183,-26.764653946460715
47,201.4199981689453,307.1000061035156,1.5246748530199516,-27.616637163333042
48,200.42999267578125,307.82000732421875,1.5357981268908856,-29.717189591633417
49,202.9250030517578,313.04998779296875,1.5426881019344993,-31.467906953960085
50,202.9199981689453,313.7149963378906,1.5460033469776626,-32.139894750066325
51,202.52999877929688,315.5799865722656,1.558188853376545,-34.54873462169996
52,203.63999938964844,313.45001220703125,1.5392359710592531,-30.870877246082546
53,202.97999572753906,313.2850036621094,1.5434279744622381,-31.62623617289221
54,205.50999450683594,315.8949890136719,1.5371271347251394,-30.708167494355383
55,206.38999938964844,316.4800109863281,1.5334076841041033,-30.066032838036268
56,212.64999389648438,323.45001220703125,1.5210440700246768,-28.306544136068442
57,212.8000030517578,323.0799865722656,1.5182329978335818,-27.72733246961575
58,210.89999389648438,322.0400085449219,1.5269796958978963,-29.336895229541074
59,210.11000061035156,320.2300109863281,1.524106468307493,-28.628534169628484
60,207.86500549316406,316.739990234375,1.5237773644625885,-28.269133137953578
61,210.99000549316406,323.3500061035156,1.532537076093834,-30.52137265784062
62,211.8699951171875,325.1499938964844,1.5346674913389247,-31.094225100038887
63,211.27000427246094,325.69000244140625,1.5415818424530603,-32.4709139370945
64,209.9199981689453,320.20001220703125,1.5253430592607555,-28.863491596878976
65,210.36500549316406,321.19000244140625,1.5268223994215784,-29.23292426558196
66,211.27999877929688,320.7200012207031,1.5179856260588458,-27.486975492227533
67,211.3699951171875,320.42999267578125,1.5159672615695943,-27.07146809521628
68,212.1199951171875,319.0899963378906,1.5042900418775074,-24.68560543350485
69,213.4499969482422,318.80999755859375,1.4936050696496355,-22.55093448658106
70,214.1649932861328,319.2203063964844,1.4905344776398333,-21.964189202531646
71,214.47500610351562,319.06500244140625,1.4876558729990692,-21.37657595991549
72,215.6699981689453,322.0799865722656,1.4933926336845607,-22.725157479486814
73,217.25999450683594,321.2250061035156,1.4785280964066696,-19.652945511005772
74,217.30499267578125,320.375,1.4743103508808886,-18.740189981445486
75,218.1999969482422,321.989990234375,1.4756645038393477,-19.10710711149692
76,219.08999633789062,324.260009765625,1.480031106785617,-20.136032789607714
77,215.0500030517578,322.7850036621094,1.5009765128179149,-24.29475058799692
