,apd,lin,Ratio,Spread
0,291.0199890136719,327.32000732421875,1.1247337629060303,19.32481042988835
1,292.5400085449219,328.3399963378906,1.1223763818529846,20.121616510874535
2,292.7200012207031,328.9599914550781,1.1238042842417557,19.7167566624851
3,292.7449951171875,329.2699890136719,1.1247672701692584,19.4366329230073
4,293.2900085449219,330.19000244140625,1.1258140162344896,19.16804383665377
5,294.2900085449219,330.19000244140625,1.1219884904485449,20.363288409046934
6,295.1199951171875,330.29998779296875,1.11920572396937,21.245340003144097
7,295.510009765625,330.510009765625,1.1184393044004135,21.501480922186577
8,294.739990234375,330.6700134277344,1.1219041337579883,20.421115594713942
9,296.2850036621094,333.2799987792969,1.124862867374069,19.657799156925453
10,295.67999267578125,333.0899963378906,1.1265219311038408,19.124665500684817
11,294.6000061035156,332.0150146484375,1.1270027419204298,18.908799101379973
12,295.2900085449219,332.4599914550781,1.1258761957213383,19.288543967768167
13,295.739990234375,332.8599853515625,1.1255156432776297,19.426388243278925
14,294.9599914550781,332.760009765625,1.1281530356848541,18.594074521788603
15,295.8999938964844,334.44000244140625,1.1302467365322233,18.03761466213442
16,296.42999267578125,334.69000244140625,1.129069293630728,18.421092826463994
17,295.9700012207031,334.739990234375,1.1309929683879054,17.82130274346591
18,295.5799865722656,334.4049987792969,1.1313519655280821,17.690131306845306
19,296.1199951171875,334.739990234375,1.130420085620709,18.000582134130955
20,297.19000244140625,335.29998779296875,1.128234412458327,18.719505022230553
21,299.54998779296875,338.05999755859375,1.1285595437654994,18.780254938987955
22,299.4649963378906,339.44000244140625,1.1334880757095607,17.298664480793523
23,299.82000732421875,339.70001220703125,1.1330131542545363,17.46297966971716
24,299.7449951171875,339.5899963378906,1.1329296631128918,17.483337605540473
25,300.4599914550781,340.42999267578125,1.1330293628350816,17.49793675979456
26,300.1300048828125,340.04998779296875,1.1330089703151913,17.48352698314395
27,299.4200134277344,339.0799865722656,1.1324559861263357,17.604914770719436
28,299.4599914550781,341.6099853515625,1.1407533396754514,15.122699511620201
29,300.3699951171875,342.25,1.1394280572747397,15.570361801176805
30,300.5199890136719,342.35418701171875,1.1392060412864706,15.6454541801231
31,300.19000244140625,342.6199951171875,1.1413437900353232,14.98523141519124
