,intc,crm,Ratio,Spread
294,47.43000030517578,205.4600067138672,4.331857587853451,12.012972551977038
295,47.68000030517578,204.49000549316406,4.288800423328985,14.15394608495904
296,47.75230026245117,202.22999572753906,4.234979144796457,16.752600843177753
297,47.97999954223633,201.50999450683594,4.199874873476158,18.539120272497932
298,48.16999816894531,201.25999450683594,4.17811920608679,19.679052797486854
299,47.66999816894531,200.04119873046875,4.19637521322134,18.555903949296287
300,47.56999969482422,199.9600067138672,4.2034897623853364,18.168714188034095
301,45.040000915527344,198.49000549316406,4.406971613198514,7.788481326113123
302,44.89500045776367,197.6300048828125,4.4020492898477395,7.969315851228595
303,44.745399475097656,197.25999450683594,4.408497785713543,7.638611792838697
304,44.589900970458984,196.0,4.395614157785435,8.170268525544026
305,45.125,198.1300048828125,4.390692628981994,8.546608234410849
306,44.974998474121094,196.79220581054688,4.375591161471243,9.181816772261323
307,45.04999923706055,196.97999572753906,4.37247500695833,9.345322122476711
308,45.2599983215332,199.8643035888672,4.41591495803875,7.444626715234159
309,44.650001525878906,196.60000610351562,4.403135484543428,7.851766767425625
310,44.30500030517578,195.99000549316406,4.423654308614647,6.845819869194083
311,44.029998779296875,194.67999267578125,4.421530730709916,6.867755996022334
312,44.185001373291016,194.9499969482422,4.412130607425662,7.323766707155551
313,45.040000915527344,196.5570068359375,4.364054237134248,9.721479983339686
314,44.689998626708984,195.05999755859375,4.364734919504252,9.579117302921299
315,45.029998779296875,195.1300048828125,4.33333355923887,11.101633038106621
316,45.03499984741211,193.7100067138672,4.301321358281264,12.545055656230966
317,45.69810104370117,194.26010131835938,4.250944719400662,15.100853616112767
318,45.130001068115234,191.99000549316406,4.254154685336508,14.710032073238319
319,45.02299880981445,191.75999450683594,4.259156421740496,14.438856332280318
320,44.810001373291016,191.8300018310547,4.280963980184006,13.371192605040273
321,44.650001525878906,190.4199981689453,4.264725457144248,14.031774701995937
322,44.790000915527344,193.7949981689453,4.326746912428895,11.312516338052996
323,45.224998474121094,195.92999267578125,4.332338292678935,11.215002219305825
324,44.98500061035156,195.00999450683594,4.335000374812975,11.010876974330353
325,45.04999923706055,196.8000030517578,4.368479608982092,9.525314798257961
326,45.77989959716797,200.5399932861328,4.380524969489854,9.204097013515673
327,46.154998779296875,202.3249969482422,4.383598793181994,9.17601637793191
328,46.720001220703125,204.2899932861328,4.372645289992103,9.857428901068056
329,46.7400016784668,205.06500244140625,4.387355478762853,9.17609967489127
330,47.180599212646484,206.58999633789062,4.378706497702034,9.71481583193795
331,47.47999954223633,207.61000061035156,4.372577982560213,10.097169544424526
332,47.380001068115234,206.9199981689453,4.367243425585185,10.31879020796705
333,47.3650016784668,207.57000732421875,4.382349835713925,9.598525572775992
334,47.540000915527344,208.1508026123047,4.37843497273302,9.837407329761357
335,47.72999954223633,208.05999755859375,4.359103279992309,10.818144908461244
336,47.290000915527344,208.38999938964844,4.406639783363274,8.42723824013873
337,47.775001525878906,211.4600067138672,4.42616431104294,7.628920060560143
338,47.39500045776367,208.83999633789062,4.406371860339987,8.469047518939329
339,47.189998626708984,208.77000427246094,4.424030734222136,7.57883371184297
340,46.974998474121094,207.6999969482422,4.421500876954063,7.641804132797086
341,47.205501556396484,209.00999450683594,4.42766176855745,7.411457483161053
342,47.709999084472656,210.7100067138672,4.416474759112777,8.074455824091155
343,47.06999969482422,212.1479949951172,4.50707449268254,3.6387812822263133
344,46.78499984741211,210.63499450683594,4.502190770413931,3.816874049214414
345,46.43000030517578,210.89999389648438,4.542321613402494,1.8890961202443126
346,46.23500061035156,210.50999450683594,4.553044051646554,1.365738535724768
347,46.670501708984375,211.52999877929688,4.532413216774483,2.385573177128089
348,46.59000015258789,210.2899932861328,4.513629375346804,3.2485182957495855
349,46.849998474121094,208.77000427246094,4.456136842518381,5.986310652438897
350,48.060001373291016,205.3076934814453,4.271903612461058,15.116141014275167
351,48.23500061035156,207.92999267578125,4.310769981231389,13.31351886501056
352,48.42499923706055,210.52999877929688,4.347547797546982,11.603445286483856
353,48.65999984741211,211.37060546875,4.343826677590739,11.863555429391988
354,48.70000076293945,211.1699981689453,4.336139524861055,12.25152258738998
355,48.915000915527344,210.5050048828125,4.303485657627593,13.923552776787426
356,48.86000061035156,210.41000366210938,4.306385612642247,13.760938659379628
357,48.099998474121094,207.02200317382812,4.303991886511405,13.589173312466153
358,47.970001220703125,205.8000030517578,4.290181317796958,14.2022806968375
359,48.0099983215332,206.00999450683594,4.290981081214439,14.179631232333145
360,48.54499816894531,207.14500427246094,4.267072038020459,15.5505015002802
361,48.230201721191406,207.58999633789062,4.304149452617356,13.631037737556222
362,48.03499984741211,205.35000610351562,4.275007947451443,14.95672401392917
363,47.93000030517578,204.61000061035156,4.26893384743535,15.204923280050446
364,47.939998626708984,202.55999755859375,4.22528167211379,17.301757362546816
365,47.80500030517578,200.1199951171875,4.186172865592907,19.10944261707504
366,47.834999084472656,200.92999267578125,4.200480746763588,18.43995601831653
367,47.816001892089844,200.5500030517578,4.194202675170435,18.730964897174736
368,47.67490005493164,200.72000122070312,4.210181898429382,17.900061350133647
369,47.78969955444336,201.97000122070312,4.226224544278904,17.18776949170043
370,48.099998474121094,203.0,4.220374354257385,17.611176486294276
371,47.900001525878906,198.9499969482422,4.153444480388076,20.72441598232458
372,48.150001525878906,201.4199981689453,4.183177399499962,19.425387073900332
373,48.0099983215332,202.1199951171875,4.209956304591947,18.06963062198158
374,47.79999923706055,199.80999755859375,4.180125538656411,19.396015726489757
375,47.935001373291016,198.9199981689453,4.149786011684186,20.918350170635726
376,47.97999954223633,197.60000610351562,4.118382825943344,22.449108675818245
377,47.65999984741211,196.11000061035156,4.114771322665041,22.440271038674886
378,46.91999816894531,192.41000366210938,4.100810127257395,22.674182080819
379,47.2599983215332,190.84500122070312,4.038193144280073,25.831707581629324
380,48.31999969482422,195.25,4.040769893070056,26.391637838737942
381,48.16999816894531,195.9499969482422,4.067884666737834,24.989050356080604
382,47.86000061035156,194.36000061035156,4.061011243871856,25.1270524620219
383,47.92499923706055,193.75999450683594,4.042983778641372,26.03150493438701
384,47.4900016784668,192.1300048828125,4.04569379010844,25.62401417032168
385,47.369998931884766,203.84500122070312,4.3032511255450965,13.346938257851145
386,47.189998626708984,203.25999450683594,4.307268498028588,13.08884347746797
387,47.557098388671875,203.91000366210938,4.287688075407915,14.15828895060539
