,amd,ma,Ratio,Spread
0,145.7899932861328,362.05999755859375,2.4834351754718957,204.30663256488265
1,145.97000122070312,361.6700134277344,2.477700968714099,205.40074330687185
2,145.40989685058594,360.94000244140625,2.4822244583000117,203.93982647131793
3,145.27999877929688,361.8500061035156,2.490707662058991,202.5217080477821
4,144.1699981689453,362.5899963378906,2.51501700036779,197.43979272002412
5,144.6199951171875,361.30999755859375,2.498340545965442,200.48001849676348
6,143.92999267578125,359.3699951171875,2.496838834187322,199.72097835486124
7,150.32000732421875,365.8699035644531,2.4339401658977042,218.21652008158094
8,150.7449951171875,366.114990234375,2.4287041168415655,219.63383354501389
9,149.89999389648438,366.8800048828125,2.4474984644506845,215.56347656622575
10,150.13999938964844,370.885009765625,2.4702611647352657,212.49728726927924
11,149.99000549316406,371.70001220703125,2.4781652016405307,211.09556239103256
12,150.35499572753906,371.3900146484375,2.470087627294007,212.83327110824507
13,150.27000427246094,370.92999267578125,2.4684233854364726,212.9608369289989
14,146.60000610351562,377.0799865722656,2.5721689691200007,192.45512377091302
15,142.0399932861328,375.69500732421875,2.644994544370324,176.00296500903426
16,142.53500366210938,375.5799865722656,2.6350017674437924,178.05428917640336
17,141.97000122070312,375.9100036621094,2.647812921250376,175.5141847629252
18,141.55999755859375,376.7200012207031,2.6612037843867102,173.1003996277392
19,143.81500244140625,377.05999755859375,2.621840497567124,181.5811752741845
20,144.41000366210938,375.4200134277344,2.5996814895603935,185.54859121604636
21,141.5299072265625,379.989990234375,2.6848741561462566,169.71270800517118
22,140.33999633789062,379.4200134277344,2.703577193448267,165.62817931133486
23,139.8612060546875,380.7699890136719,2.7224846671548506,162.4053475073731
24,139.39639282226562,379.1300048828125,2.719797816907745,162.2271486401621
25,138.16920471191406,380.6199951171875,2.754738263933623,155.93683775645957
26,135.85000610351562,376.07000732421875,2.7682737609717822,151.4149506869859
27,136.1199951171875,373.9100036621094,2.7469146126563206,154.63105473540804
28,134.80999755859375,369.19000244140625,2.7385951274195497,154.22681438463383
29,136.00999450683594,370.17999267578125,2.72171169492383,157.93078270574608
30,135.41000366210938,370.0899963378906,2.733106759685066,155.6738296093538
31,134.27000427246094,369.31500244140625,2.7505398874643037,151.98955392508708
32,135.0500030517578,369.7049865722656,2.7375414899515143,154.65064583964045
33,136.17999267578125,370.18499755859375,2.718350840566823,158.59074981365984
34,136.1699981689453,369.989990234375,2.7171182728175602,158.74666220439633
35,133.9149932861328,367.114990234375,2.7414031933673746,152.8008902200604
36,133.3800048828125,367.1050109863281,2.7523241681454884,150.71818631876226
37,133.43020629882812,370.739990234375,2.778531192585221,147.27957704194682
38,132.67999267578125,370.5899963378906,2.7931113716856295,144.49500376348772
39,132.25999450683594,370.3949890136719,2.8005066112000163,143.04712857763195
40,132.28900146484375,371.3299865722656,2.806960385674601,142.2255958565188
41,131.99000549316406,369.75,2.801348470427557,142.63601720499116
42,128.49989318847656,350.4587097167969,2.72730740097008,148.27523734235183
43,128.10000610351562,357.6575012207031,2.792017831222316,139.51223069070636
44,125.91000366210938,360.0,2.859185049077529,128.60322621201158
45,127.34829711914062,361.9200134277344,2.8419697916269766,132.30930199043956
46,130.8800048828125,363.69000244140625,2.778804927208304,144.35408967020186
47,130.47999572753906,362.92999267578125,2.7814991152638533,143.54940679271687
48,132.0,364.010009765625,2.757651589133523,148.4151023728483
49,134.8000030517578,359.5199890136719,2.6670621726590804,163.85773287888594
50,136.8000030517578,364.2699890136719,2.662792257949377,166.93101703367176
51,137.30999755859375,363.74798583984375,2.649100519316687,169.44793617967866
52,137.5303955078125,365.7799987792969,2.6596302397641147,168.27804113216064
53,137.3000030517578,366.8900146484375,2.6721777603321057,166.26681243760265
54,137.83999633789062,367.6700134277344,2.66736813113703,167.59907411785252
55,137.30999755859375,366.57000732421875,2.6696527116883373,166.62591469530366
56,139.65310668945312,370.0400085449219,2.6497083904318757,172.32131774279367
57,137.19769287109375,368.0400085449219,2.6825524601985813,164.71661773348706
58,138.0200958251953,370.86138916015625,2.6870100831538197,165.11218311808864
59,137.60000610351562,369.6000061035156,2.686046436840038,164.7303255431267
60,137.91000366210938,369.5400085449219,2.6795736257851512,166.00292259580476
61,137.0800018310547,368.8500061035156,2.690764525653477,163.44625495054436
62,137.47000122070312,367.3299865722656,2.6720737856292778,166.49181250450079
63,137.9499053955078,376.0199890136719,2.725771996259133,159.67902342637706
64,136.05999755859375,376.260009765625,2.765397740093226,152.04635965715624
65,133.4149932861328,372.80999755859375,2.794363574707339,145.15006185714526
66,134.0800018310547,374.1700134277344,2.790647436738561,146.39132139414687
67,133.91000366210938,373.7149963378906,2.7907922195333006,146.18136649326436
68,133.875,371.7900085449219,2.7771429209704714,147.9694324886632
69,132.75,369.6199951171875,2.784331413312147,145.73884857933058
70,134.531005859375,371.43499755859375,2.760962019022247,150.8905035975389
71,135.3000030517578,370.3999938964844,2.737619996614421,154.93354903476995
72,135.63999938964844,369.9750061035156,2.727624651786535,156.6884808091911
73,134.0850067138672,368.80999755859375,2.750568513194183,151.77091457348922
74,134.589599609375,371.5299987792969,2.760465889322829,151.024700154808
75,135.8800048828125,372.0799865722656,2.738298301454728,155.5223159263071
76,136.8800048828125,372.1499938964844,2.71880465094295,159.36395067948126
77,135.9582061767578,368.0,2.7067141465632987,159.90819797047584
78,133.42999267578125,368.3399963378906,2.760548726349047,149.67873532153237
79,134.23980712890625,368.6000061035156,2.7458323576818064,152.5864298456321
80,133.08900451660156,366.8599853515625,2.7565010849998526,149.8249226765205
