,amzn,bkng,Ratio,Spread
0,150.04275512695312,2275.43994140625,15.165276987089252,405.6666262777793
1,151.34849548339844,2291.10009765625,15.1379112844076,413.4952269443678
2,151.124755859375,2289.5,15.149734978764377,411.0705078632367
3,153.2425079345703,2259.27490234375,14.743134478772618,479.39151291663745
4,153.22000122070312,2272.77490234375,14.833408721032251,465.4866431977779
5,153.00799560546875,2262.9599609375,14.789815081118665,471.4878490963432
6,153.68194580078125,2282.52001953125,14.85223269160122,464.0513740568907
7,153.35299682617188,2266.06005859375,14.776757582131676,474.5939238763066
8,153.8354949951172,2281.0400390625,14.827787560568524,468.29352671607
9,151.65451049804688,2170.18994140625,14.310091630503791,539.9102389311328
10,154.33499145507812,2209.56005859375,14.316650020594201,548.7588700640521
11,152.85400390625,2180.27001953125,14.263741634589277,551.4076581617591
12,152.14649963378906,2184.449951171875,14.357543265403834,534.500543975805
13,151.12245178222656,2158.97998046875,14.286295351930404,541.549079714793
14,152.05050659179688,2169.77001953125,14.270061101186158,547.4536719545007
15,153.60000610351562,2171.659912109375,14.138410324318793,573.4374812141717
16,153.4510040283203,2118.909912109375,13.808380893476052,623.5071064313491
17,152.94949340820312,2124.530029296875,13.890402524098391,608.8653939558784
18,152.41299438476562,2110.715087890625,13.848655729196805,613.029339216297
19,151.36349487304688,2094.06005859375,13.834643949983457,610.8050876567926
20,151.947998046875,2085.929931640625,13.727919804492117,629.4497498306863
21,150.9250030517578,2080.93994140625,13.787907234248113,616.0372447691287
22,151.20350646972656,2072.75,13.70834611176824,629.2371401473273
23,150.43299865722656,2162.89990234375,14.377828811829296,525.2266945333866
24,151.6219940185547,2181.0,14.38445664903405,528.51524652661
25,151.37899780273438,2180.52001953125,14.404376110170436,524.6240064714019
26,151.96624755859375,2185.469970703125,14.381285356542554,530.2379983503937
27,152.04275512695312,2179.81005859375,14.336822933612625,537.2741930159463
28,152.5602569580078,2170.280029296875,14.22572347852196,556.1134809671406
29,152.0050048828125,2162.260009765625,14.224926418920276,554.1451586681673
30,150.1999969482422,2145.8701171875,14.28675206915584,538.0650487696465
31,149.75100708007812,2122.56005859375,14.173928442823282,553.2982995820797
32,149.30300903320312,2113.35009765625,14.15477230727659,554.4492944546872
33,150.63299560546875,2133.5,14.163563510268151,558.2243103721142
34,149.91824340820312,2117.409912109375,14.123764152865707,561.4568339435399
35,147.68075561523438,2102.179931640625,14.23462334603446,536.4370001108063
36,147.89849853515625,2102.070068359375,14.212923654932858,540.4638063670567
37,144.5675048828125,2006.3599853515625,13.878360749035082,576.2531709836566
38,144.65451049804688,1986.5999755859375,13.733411898087759,597.5783110116116
39,145.21600341796875,1984.3399658203125,13.664747129205004,609.9389281769612
40,145.76824951171875,1983.9200439453125,13.61009719600028,620.2931177570221
41,145.09324645996094,1973.20751953125,13.5995821147731,618.8631189485831
42,145.17575073242188,1986.4000244140625,13.682726036493937,607.1547703843288
43,145.55250549316406,1985.449951171875,13.640781685239507,614.8822254762525
44,140.61099243164062,1885.22998046875,13.407415365376021,626.2100986583558
45,140.76800537109375,1875.1300048828125,13.320711620084264,639.1345551982357
46,140.1468505859375,1864.0,13.300334557693128,639.0907048164144
47,138.54623413085938,1849.43505859375,13.348865598518728,624.8624097691535
48,138.1114959716797,1843.0,13.34429105291796,623.4770323222073
49,138.14549255371094,1838.0,13.304813396538334,629.0885914636436
50,137.45350646972656,1815.989990234375,13.211667252987377,638.6505729239938
51,134.9029998779297,1830.280029296875,13.567378271447255,578.4798738564954
52,135.946044921875,1833.050048828125,13.483658534395287,594.473026780894
53,138.50137329101562,1904.0,13.74715610941534,569.4904738046342
54,138.99050903320312,1919.875,13.812993515559867,562.4144593692184
55,137.26150512695312,1900.3900146484375,13.845032610496055,550.7966666981282
56,136.32749938964844,1909.5999755859375,14.007445189968301,524.7850241598748
57,136.0155029296875,1900.6800537109375,13.973995704691722,528.0924910236739
58,139.0605010986328,2077.425048828125,14.939001603011981,406.1234867447605
59,137.77975463867188,2031.0400390625,14.741208128791586,429.4693508476897
60,137.9499969482422,2051.22509765625,14.869337753054495,412.34675425618786
61,139.21701049804688,2077.1201171875,14.920016668628584,409.2438412371429
62,138.78399658203125,2061.760009765625,14.85589160524699,416.81452975610534
63,139.6957550048828,2042.260009765625,14.619341938445027,452.71600793306413
64,139.23699951171875,2035.8900146484375,14.621760177165328,450.8335229841417
65,146.29624938964844,2048.81005859375,14.00452894138733,564.9012094690569
66,146.093505859375,2026.1300048828125,13.868720535963462,583.9341418549187
67,146.4625244140625,2019.239990234375,13.786734854615814,597.4623729649828
68,146.18051147460938,2003.5699462890625,13.706135832183552,608.0593307109988
69,148.2584991455078,2044.6099853515625,13.790845024978209,604.3998834610073
70,148.02186584472656,2026.18994140625,13.688450215400627,618.5631683554219
71,146.81100463867188,2030.1199951171875,13.828118676210108,592.8511237698411
72,147.5,2025.780029296875,13.734101893538135,609.5853182582103
73,147.63116455078125,2035.0400390625,13.784623627774064,602.6848068677153
74,147.23550415039062,2034.8800048828125,13.820579598819636,595.7273686338248
75,148.0082550048828,2038.594970703125,13.77352209602006,605.9132958116164
76,148.34849548339844,2037.1324462890625,13.732073518177582,613.4963524230556
77,146.75250244140625,2019.3599853515625,13.760310398508064,602.5587467543763
78,145.5364990234375,2017.9749755859375,13.865765557964663,582.0692632078961
79,145.687744140625,2028.3900146484375,13.922859651739376,574.3749486561322
80,143.98947143554688,2019.219970703125,14.023386227978316,552.995033300001
81,142.98849487304688,2018.489990234375,14.11645036215328,535.7186045774382
