,ctva,apd,Ratio,Spread
0,45.900001525878906,294.9599914550781,6.426143391057984,-91.4935034872208
1,46.11000061035156,295.8999938964844,6.417262849266926,-91.48188511031839
2,46.08000183105469,296.42999267578125,6.4329422937654535,-92.14782478180743
3,45.875,295.9700012207031,6.4516621519499315,-92.61680885399375
4,45.7599983215332,295.5799865722656,6.459353090342555,-92.74792976976244
5,45.7599983215332,296.1199951171875,6.471153976809541,-93.28793831468431
6,45.93000030517578,297.19000244140625,6.47049859496553,-93.58757358135674
7,46.569698333740234,299.54998779296875,6.432293927400033,-93.04873695499674
8,46.41999816894531,299.4649963378906,6.451206552141375,-93.6421189017876
9,46.48500061035156,299.82000732421875,6.449822596268892,-93.70256823972372
10,46.439998626708984,299.7449951171875,6.454457450065373,-93.83148465746245
11,46.52000045776367,300.4599914550781,6.458727181825182,-94.18394890086498
12,46.56999969482422,300.1300048828125,6.444707039930878,-93.62738841278517
13,46.44499969482422,299.4200134277344,6.44676532231954,-93.48384039048338
14,46.58000183105469,299.4599914550781,6.428939022828235,-92.91204982999892
15,46.63999938964844,300.3699951171875,6.4401800825034625,-93.55017170772393
16,46.63999938964844,300.5199890136719,6.44339607518029,-93.70016560420831
17,46.80500030517578,300.19000244140625,6.413631032670043,-92.62246955192231
18,46.959999084472656,300.6868896484375,6.403042919731652,-92.41697243398502
19,46.800498962402344,301.67999267578125,6.446084964139783,-94.1328578347188
20,47.0099983215332,302.2300109863281,6.429058110557087,-93.73351985606146
21,47.34000015258789,303.07000732421875,6.401985769906068,-93.07809723391131
22,47.31999969482422,303.80999755859375,6.420329660142072,-93.90872049190833
23,47.29999923706055,303.5899963378906,6.418393260776661,-93.77935229482722
24,47.43000030517578,303.510009765625,6.3991146492255995,-93.1102597122593
25,47.31999969482422,303.760009765625,6.419273282430932,-93.85873269893958
26,47.41999816894531,303.5299987792969,6.400885923653924,-93.17557388098305
27,47.38999938964844,304.0,6.414855537356343,-93.78151599387834
28,47.209999084472656,305.1449890136719,6.463566933515021,-95.74218493366669
29,47.2400016784668,304.3500061035156,6.442633261849484,-94.81124384483655
30,47.364601135253906,304.6000061035156,6.430963183532418,-94.4966154926401
31,47.41999816894531,304.989990234375,6.431674441398622,-94.63556533606118
32,47.29999923706055,305.3699951171875,6.456025370882537,-95.5593510741241
33,47.42499923706055,305.57000732421875,6.443226404639122,-95.19291984837898
34,47.36000061035156,305.45001220703125,6.449535647604457,-95.36746909310176
35,47.470001220703125,305.17510986328125,6.4287992840873365,-94.59409376267152
36,47.369998931884766,304.45001220703125,6.427063944941443,-94.32216122453161
37,47.39500045776367,303.30999755859375,6.399620099780149,-93.06885097494617
38,47.2599983215332,302.34259033203125,6.397431254124148,-92.71321233621188
39,47.31999969482422,303.2900085449219,6.409340881253117,-93.38873147823645
40,47.21500015258789,304.0849914550781,6.440431864287752,-94.65952479754702
41,47.130001068115234,303.8999938964844,6.448121939510866,-94.85970462448557
42,47.400001525878906,303.7099914550781,6.40738357970858,-93.4461822939046
43,47.25,303.70001220703125,6.427513485863095,-94.11594207978203
44,47.150001525878906,304.1099853515625,6.449840413783395,-94.97906305594168
45,47.29999923706055,305.4200134277344,6.45708284046718,-95.60936938467097
46,47.31999969482422,304.6029968261719,6.43708788653033,-94.70171975948645
47,47.36000061035156,304.0350036621094,6.419657933780852,-93.95246054817989
48,47.290000915527344,304.3500061035156,6.435821531218969,-94.58466992902237
49,47.71500015258789,300.2200012207031,6.291941742861344,-88.52876083206661
50,47.40999984741211,297.8634033203125,6.282712598164488,-87.55428629056883
51,47.04999923706055,296.8599853515625,6.309457814352748,-88.1822281740518
52,46.95000076293945,297.0799865722656,6.327582145787083,-88.8553772263833
53,47.029998779296875,296.92999267578125,6.313629606269374,-88.34286852189257
54,47.02000045776367,296.7900085449219,6.311995016068053,-88.24819225960334
55,46.900001525878906,295.8299865722656,6.307675414659206,-87.83195114219751
56,48.29999923706055,300.1499938964844,6.214285686078843,-85.80780239121017
57,47.790000915527344,299.2900085449219,6.262607298835189,-87.25889863932323
58,47.689998626708984,299.36358642578125,6.277282345278186,-87.7856416382927
59,47.869998931884766,299.54998779296875,6.2575724770582255,-87.15636307936373
60,47.7599983215332,299.1499938964844,6.263609807574235,-87.25484216955962
61,47.904998779296875,299.5050048828125,6.252061632704804,-86.95277669948936
62,47.779998779296875,299.54998779296875,6.269359469359469,-87.56420304242195
63,48.189998626708984,304.92999267578125,6.327661368862871,-91.08627415718732
64,47.77000045776367,307.19000244140625,6.430604971691625,-95.24952555942963
65,48.16999816894531,307.69000244140625,6.387585927702417,-93.93691694643434
66,47.970001220703125,308.0199890136719,6.421096126233475,-95.17319918195673
67,47.83000183105469,307.5199890136719,6.429437115639158,-95.30761306082917
68,47.5099983215332,306.17999267578125,6.444538065517247,-95.41772781440918
69,47.25,304.25,6.439153439153439,-94.66592987275078
70,47.290000915527344,299.1700134277344,6.326284788239536,-89.40467725324112
71,47.459999084472656,298.7998962402344,6.295826000932053,-88.26420529467651
72,47.66999816894531,299.9700012207031,6.292637145854119,-88.4826894568366
73,47.810001373291016,299.0299987792969,6.254549052289915,-86.90825585007619
74,48.099998474121094,298.8900146484375,6.213929815595466,-85.45413609290179
75,48.15999984741211,298.7049865722656,6.202346086351091,-84.99720894586386
76,47.900001525878906,298.05999755859375,6.222546723668914,-85.53041466631484
77,48.2599983215332,295.239990234375,6.1176958247559945,-81.07906477634484
78,48.400001525878906,296.0400085449219,6.116528909335526,-81.24465192153755
79,48.52000045776367,294.989990234375,6.079760664700771,-79.65085275574026
