,pfe,mrk,Ratio,Spread
0,53.564998626708984,81.30999755859375,1.5179688162644767,28.02570499816362
1,53.189998626708984,81.16000366210938,1.5258508320651742,27.41025710411391
2,53.029998779296875,81.11000061035156,1.529511643926668,27.133671970036232
3,52.872100830078125,80.91999816894531,1.5304857741327194,27.001376574184732
4,52.80500030517578,81.1500015258789,1.536786309192102,26.63440909477906
5,52.9901008605957,81.56500244140625,1.539249805468087,26.597231380770324
6,52.75,81.56999969482422,1.546350705115151,26.10214550697063
7,52.58000183105469,81.83999633789062,1.556485231796901,25.48515232303751
8,52.685001373291016,82.625,1.5682831516805702,24.914471427900494
9,52.57500076293945,82.37999725341797,1.5669043472746518,24.934943336756277
10,52.22999954223633,82.17500305175781,1.573329576334883,24.435728599452574
11,52.125,82.21499633789062,1.5772661167940647,24.181412546347403
12,52.17499923706055,82.1449966430664,1.5744129917440957,24.353469589280863
13,52.439998626708984,82.41000366210938,1.571510408471596,24.62937352304573
14,52.70989990234375,82.9000015258789,1.5727596083367397,24.690292234447696
15,52.209999084472656,82.83999633789062,1.5866691781369402,23.72991081678076
16,52.13999938964844,82.88999938964844,1.5897583498266192,23.537025920374717
17,52.334999084472656,82.8949966430664,1.5839304116403556,23.93005777511634
18,52.36000061035156,82.87999725341797,1.582887629627579,23.99608973205767
19,52.07500076293945,82.7249984741211,1.588574119292083,23.569353062007707
20,51.77000045776367,82.05000305175781,1.5848947716100166,23.621788538485134
21,51.165000915527344,82.37000274658203,1.6098895978243737,22.066877022643112
22,51.30500030517578,82.66999816894531,1.6113438783198946,22.052645289576304
23,51.314998626708984,82.77999877929688,1.61317355538641,21.963053034255978
24,51.244998931884766,82.91999816894531,1.6181090818084158,21.680171799959297
25,51.5,83.43000030517578,1.6200000059257433,21.69067226150544
26,51.33000183105469,83.37999725341797,1.6243910827794479,21.39367877239654
27,51.560001373291016,83.5199966430664,1.6198602486137874,21.723149413231823
28,51.0099983215332,83.33000183105469,1.6336013443050441,20.79049003661231
29,50.9192008972168,83.62999725341797,1.642405925069989,20.305160899463345
30,50.8849983215332,83.29499816894531,1.636926420683344,20.570346435210325
31,50.93550109863281,83.30870056152344,1.6355724154004558,20.659729205645718
32,50.900901794433594,83.37000274658203,1.637888520782537,20.5278036783005
33,50.80500030517578,83.2699966430664,1.6390118323566516,20.432057761409766
34,50.939998626708984,83.4800033569336,1.6387908442769992,20.49760666608516
35,51.71500015258789,85.16000366210938,1.646717652728226,20.399522509270454
36,51.72999954223633,84.79000091552734,1.6390876022780225,20.800141681637598
37,51.34000015258789,84.33499908447266,1.6426762530934973,20.45908529637309
38,51.42539978027344,84.28289794921875,1.6389352014634082,20.685502282097843
39,51.195701599121094,83.9800033569336,1.6403721549618402,20.51954197554653
40,51.130001068115234,83.72989654541016,1.6375883981278514,20.635542301490872
41,51.279998779296875,83.75,1.633190366490651,20.921610891228724
42,52.494998931884766,84.97000122070312,1.6186304019351732,22.18164138331511
43,52.11000061035156,84.7750015258789,1.6268470645352189,21.59079093257401
44,52.39500045776367,85.02999877929688,1.6228647396966953,21.917529128502892
45,52.415000915527344,84.75,1.6169035298994678,22.23835240433877
46,52.38999938964844,84.75,1.6176751476875464,22.187319837045877
47,52.70500183105469,84.76000213623047,1.6081965504512785,22.820293788209028
48,52.880001068115234,84.9800033569336,1.6070348267858399,22.957497179126506
49,54.189998626708984,86.36000061035156,1.593652016956995,24.251438263962612
50,54.18000030517578,86.57499694824219,1.5979142942155304,24.016033571040765
51,54.5099983215332,86.5248031616211,1.5873198647199556,24.739812084364047
52,54.98500061035156,86.9000015258789,1.5804310368511476,25.334177993335345
53,55.310001373291016,86.8219985961914,1.5697341609200792,26.075565365447687
54,55.26499938964844,86.68499755859375,1.5685334029847202,26.120709339213448
55,55.16999816894531,86.83000183105469,1.573862691913782,25.781790654811388
56,54.56999969482422,86.58999633789062,1.586769228919446,24.797092397711523
57,54.93000030517578,87.42500305175781,1.59157113719368,24.696911048593307
58,55.03499984741211,87.62000274658203,1.5920778230128796,24.716234120741447
59,55.32500076293945,87.6050033569336,1.5834614035038124,25.323177030490626
60,55.20000076293945,87.5999984741211,1.586956472162489,25.07303464979175
61,55.32500076293945,87.79000091552734,1.586805236419178,25.138179471896876
62,55.22999954223633,87.75,1.5888104422831741,24.984265975483083
63,54.415000915527344,87.52999877929688,1.6085637656273595,23.540709841223688
64,54.20000076293945,87.13500213623047,1.6076568433521334,23.496852879591486
65,54.13999938964844,86.76499938964844,1.6026043658625881,23.74438213655651
66,53.970001220703125,86.37999725341797,1.6005187196527657,23.782387731920267
67,54.09000015258789,86.58999633789062,1.6008503622410841,23.81732784020508
68,53.875,86.76000213623047,1.610394471206134,23.20846843716663
69,53.959999084472656,86.6500015258789,1.6058191808015247,23.49196731795155
70,52.810001373291016,85.44999694824219,1.6180646605977755,22.344621743169668
71,53.404998779296875,85.88999938964844,1.608276403948628,23.119114981273455
72,53.345001220703125,85.90989685058594,1.6104582413477275,22.976751817195492
73,53.345001220703125,85.78500366210938,1.6081170062625536,23.101645005672054
74,53.345001220703125,85.80500030517578,1.6084918613119268,23.081648362605648
75,53.02629852294922,85.48999786376953,1.6122188469702514,22.746121834367102
76,53.11000061035156,85.63999938964844,1.6125023235822844,22.76697117689538
77,52.891998291015625,85.27999877929688,1.6123421601520918,22.681990225505388
78,52.939998626708984,85.11000061035156,1.6076691125453175,22.949965628849
79,53.125,85.11000061035156,1.6020705997242648,23.32758638197737
80,53.130001068115234,85.62000274658203,1.6115189351645796,22.82779231650079
