,pypl,goog,Ratio,Spread
0,163.3332061767578,131.69876098632812,0.8063195725418189,72.73836619261364
1,163.50999450683594,131.69850158691406,0.8054461868470559,72.96126702917506
2,162.86000061035156,131.77499389648438,0.8091305010599921,72.06619367872752
3,157.64300537109375,128.9449920654297,0.8179556826000078,68.32608244210358
4,156.97999572753906,129.2550048828125,0.8233851981188278,67.18109697794962
5,159.00999450683594,131.3874969482422,0.8262845197607611,67.605118939381
6,160.94000244140625,131.28700256347656,0.81575121518514,70.1362021535602
7,159.9739990234375,130.65875244140625,0.8167499296073962,69.54789918544184
8,157.7100067138672,129.031494140625,0.8181566714072016,68.32395966524369
9,158.67999267578125,129.45199584960938,0.815805406004201,69.12502653195595
10,158.49000549316406,129.42599487304688,0.8166192844168286,68.91176386844235
11,158.10000610351562,129.06649780273438,0.8163598533843722,68.78010847094457
12,158.3249969482422,129.41400146484375,0.8173946247234118,68.71595091540676
13,161.02999877929688,131.65249633789062,0.8175650334465305,69.88404682177476
14,161.22000122070312,131.40975952148438,0.8150958846699806,70.3660664946767
15,160.98500061035156,131.49575805664062,0.8168199370009213,69.98411588171045
16,159.02000427246094,130.92149353027344,0.8233020375597261,68.08372832858821
17,161.27000427246094,131.88449096679688,0.8177868634763716,69.95430725629772
18,163.52999877929688,133.3144989013672,0.8152296208433959,71.37046244077926
19,167.94830322265625,133.40792846679688,0.794339245511354,76.84130089343343
20,169.0800018310547,132.9949951171875,0.786580279612704,78.67945843335086
21,169.88999938964844,133.88424682617188,0.7880643198962162,78.81029114086324
22,170.02999877929688,134.3564910888672,0.7901928603979185,78.51435752773007
23,170.86000061035156,135.36349487304688,0.7922480064936034,78.55263088610447
24,169.4499969482422,134.5500030517578,0.7940395719974876,77.5904102405335
25,171.97999572753906,135.67349243164062,0.7888911257247769,79.65311852400798
26,172.81500244140625,135.24200439453125,0.7825825448249824,81.13618668929065
27,174.22999572753906,135.92550659179688,0.7801498589505634,82.23468072808468
28,172.94000244140625,136.7262420654297,0.7905992837704154,79.80936992751624
29,173.99940490722656,136.833251953125,0.7864006892786909,81.03653683420252
30,172.9600067138672,136.4427490234375,0.7888687773304655,80.11805569556579
31,174.8699951171875,137.11366271972656,0.7840891322027036,81.85251888621339
32,175.7949981689453,137.864501953125,0.7842344969373489,82.26659822361687
33,132.1699981689453,146.57749938964844,1.109007349779084,18.613703502798575
34,131.7187042236328,147.43174743652344,1.1192924217217695,17.19111063069737
35,129.66000366210938,148.93350219726562,1.1486464444762974,13.096695757881424
36,129.82000732421875,148.45175170898438,1.1435198223200975,13.77994962178214
37,132.05999755859375,148.43055725097656,1.1239630470621458,16.622114472784478
38,132.5800018310547,148.5279998779297,1.120289620052935,17.179548208384904
39,132.5800018310547,148.0,1.1163071198972743,17.707548086314592
40,127.1332015991211,148.70550537109375,1.1696826910722729,10.142520760596103
41,126.12999725341797,146.16549682617188,1.158848014025553,11.419126584415654
42,125.30000305175781,146.15200805664062,1.1664166360496373,10.387347819602628
43,124.98999786376953,145.68800354003906,1.16559729602387,10.460941947993877
44,124.993896484375,145.44876098632812,1.1636469065872357,10.705094296905163
45,124.63420104980469,144.21749877929688,1.1571261946122362,11.483367845393776
46,124.31999969482422,142.65049743652344,1.1474460890178266,12.654674284574941
47,124.2300033569336,142.08799743652344,1.1437494453596757,13.103835841946296
48,124.27999877929688,141.395751953125,1.1377192898450474,13.859043924068505
49,124.52999877929688,141.70799255371094,1.1379426157777326,13.861645141730651
50,125.5250015258789,143.4499969482422,1.1428002007924116,13.372714642782416
51,125.47000122070312,143.40699768066406,1.142958446524676,13.346448326017555
52,126.01000213623047,144.12075805664062,1.1437247489356477,13.31274743044209
53,126.06999969482422,143.01449584960938,1.1344054588387598,14.494568599225733
54,125.58000183105469,142.5749969482422,1.1353320183897688,14.316980227125374
55,124.64869689941406,140.97450256347656,1.1309745394068316,14.744619659806364
56,123.31999969482422,139.4654998779297,1.1309236151723985,14.580304570176242
57,124.22000122070312,139.86691284179688,1.1259612901894414,15.31232407364421
58,123.66000366210938,140.74000549316406,1.1381206641213142,13.733988824028376
59,122.6135025024414,139.79824829101562,1.1401537794602357,13.357816714542356
60,121.45999908447266,138.9875030517578,1.1443068014111804,12.715877499925416
61,120.82039642333984,137.0550079345703,1.1343697917886844,13.842877957963385
62,121.54000091552734,138.58900451660156,1.140274835220082,13.215127722891413
63,120.75,138.8935089111328,1.1502568025766693,11.915722029710953
64,119.54000091552734,138.80099487304688,1.1611259311527884,10.48440282046123
65,119.12999725341797,138.00399780273438,1.1584319733439337,10.765054696906123
66,119.0999984741211,138.59201049804688,1.1636608923060663,10.139262520717427
67,120.26000213623047,139.16549682617188,1.157205175071636,11.026646841204343
68,121.84609985351562,141.72349548339844,1.163135263695593,10.466127740894724
69,123.12999725341797,140.8681182861328,1.1440601106829185,12.938403305477426
70,122.58000183105469,141.09249877929688,1.1510237940260186,12.021376577093395
71,123.75,140.66650390625,1.1366990214646464,13.920828853571084
72,122.7699966430664,141.03199768066406,1.1487497070696469,12.32115092401212
73,122.75,141.10848999023438,1.1495599999204429,12.21947549659426
74,122.91999816894531,141.44900512695312,1.1507403777580678,12.093050490313875
75,123.88999938964844,140.8560028076172,1.136944091545345,13.907640601766037
76,123.6500015258789,140.15350341796875,1.1334694839339392,14.30789453619504
77,124.10530090332031,140.09100341796875,1.1288075722655997,14.943783671558567
78,120.63500213623047,139.07908630371094,1.1528916470416435,11.585320091037449
79,120.55999755859375,139.39846801757812,1.1562580527577453,11.171480066769949
