,msft,nflx,Ratio,Spread
0,320.7940979003906,586.72998046875,1.8289924419087498,-241.58826200738827
1,316.9402160644531,593.739990234375,1.8733501150691199,-252.75762120546216
2,324.2517395019531,604.9199829101562,1.8655874717566858,-256.04656216904044
3,330.10687255859375,614.239990234375,1.860730694497576,-259.04734503521956
4,331.5830078125,614.0900268554688,1.8519948621815923,-257.3042445047537
5,339.27099609375,613.1199951171875,1.807168906792626,-248.036856735443
6,338.0821228027344,610.7100219726562,1.8063954902726282,-246.9099897313564
7,338.7756652832031,610.5399780273438,1.8021954957034956,-245.99143152293982
8,336.1700439453125,612.0900268554688,1.8207750448908004,-250.35362926852008
9,333.19793701171875,602.4400024414062,1.8080544190770849,-243.91128786438912
10,331.6424560546875,597.3699951171875,1.8012470484740404,-240.5200525189794
11,325.95574951171875,591.1500244140625,1.8135898056702617,-240.43752988482112
12,313.4429931640625,567.52001953125,1.8106004342365323,-230.31207138629986
13,310.9662170410156,553.2899780273438,1.779260729001846,-218.75512101498458
14,311.1247253417969,541.0599975585938,1.7390453200535363,-206.35406851056786
15,311.3525695800781,539.8499755859375,1.7338863665523438,-204.89814283781766
16,312.0559997558594,540.8400268554688,1.733150547589539,-205.12900842731068
17,315.3154296875,537.219970703125,1.7037541462387304,-197.99117238097637
18,301.9704895019531,519.2000122070312,1.7193733502348516,-194.37390492466022
19,307.32037353515625,525.6900024414062,1.7105602091859666,-195.08996693174237
20,299.8404235839844,510.79998779296875,1.7035727927788737,-188.27278038458076
21,300.51409912109375,515.8599853515625,1.7165916236884913,-192.6057053233548
22,298.8002014160156,508.25,1.7009694022674708,-186.84546517685203
23,293.28192138671875,397.5,1.3553511860550733,-82.05113685674583
24,293.6187438964844,387.1499938964844,1.3185465912658987,-71.33761091155635
25,285.8119201660156,366.4200134277344,1.2820319502940851,-59.0332410958779
26,293.9555969238281,359.70001220703125,1.223654238841519,-43.524076443957384
27,297.0565185546875,386.70001220703125,1.3017725182012478,-67.1773685856336
28,305.3984069824219,384.3599853515625,1.2585526858156975,-55.83425591318401
29,308.0931396484375,427.1400146484375,1.3863989803078491,-95.70596179430824
30,305.89373779296875,457.1300048828125,1.4944078560777914,-128.06968356709336
31,310.5500793457031,429.4800109863281,1.3829653880340267,-95.39427570642023
32,298.45343017578125,405.6000061035156,1.3590060126453491,-84.56972841191971
33,303.09991455078125,410.1700134277344,1.3532501783632627,-84.12496025241178
34,298.15625,402.1000061035156,1.3486217582341997,-81.39046377644082
35,301.7326965332031,403.5299987792969,1.337375774702931,-78.960532486898
36,308.32098388671875,412.8900146484375,1.3391563864499694,-81.21005809421429
37,299.572998046875,406.2699890136719,1.3561635783679733,-84.03140390958647
38,292.30108642578125,391.30999755859375,1.3387223507906874,-76.91971262603063
39,292.261474609375,396.57000732421875,1.3569014111567677,-82.22247393233631
40,297.68072509765625,407.4599914550781,1.3687819099520402,-87.26366523500356
41,297.3332214355469,398.0799865722656,1.338834539411055,-78.25870795907157
42,288.6266784667969,386.6700134277344,1.3396890941674202,-76.24537853567632
43,285.8468933105469,391.2900085449219,1.3688796964458192,-83.86549101613157
44,285.6384582519531,377.3800048828125,1.3211806533066248,-70.18044345791209
45,278.24237060546875,367.4599914550781,1.3206471417543904,-68.24274870634532
46,292.458740234375,390.0299987792969,1.333624012969244,-75.46956403228354
47,295.1590576171875,390.79998779296875,1.3240318320158913,-73.32520225582518
48,296.62835693359375,394.5199890136719,1.330014409586583,-75.45944409470094
49,292.816162109375,386.239990234375,1.319052840020844,-71.29380352707501
50,298.0182189941406,380.0299987792969,1.275190490239017,-59.46942811516409
51,293.7791442871094,368.07000732421875,1.252879976273963,-52.08451024235883
52,287.762939453125,361.7300109863281,1.2570416874173331,-52.237577061824155
53,276.8921813964844,350.260009765625,1.2649689420593808,-52.49997534842932
54,273.8543395996094,341.760009765625,1.2479627318131878,-47.27860351908983
55,286.4128112792969,358.7900085449219,1.2527023736904213,-50.75471707901103
56,283.5238342285156,356.7699890136719,1.2583421425026335,-51.85266160791282
57,278.0438232421875,340.32000732421875,1.2239797430341985,-41.31704926244164
58,274.4400634765625,331.010009765625,1.2061286008042833,-35.896453811628945
59,285.07257080078125,343.75,1.2058333042508835,-37.16117957574808
60,292.26019287109375,357.5299987792969,1.2233277315908413,-43.183848719239236
61,293.08416748046875,371.3999938964844,1.2672127501436414,-56.164559091913375
62,298.2564697265625,380.6000061035156,1.2760829847293658,-59.78230040233042
63,296.9956970214844,374.5899963378906,1.2612640522895966,-55.13299510522684
64,301.8602294921875,382.9200134277344,1.2685341625556699,-58.21290561876806
65,297.32330322265625,374.489990234375,1.2595379715458461,-54.679415974587144
66,301.89996337890625,375.7099914550781,1.244485051439158,-50.96000035954309
67,301.48297119140625,373.8500061035156,1.240036890395925,-49.55005896164836
68,308.4522399902344,378.510009765625,1.2271267985526986,-46.688393445247996
69,313.12811279296875,391.82000732421875,1.2513089413446528,-54.95189769756077
70,311.5893249511719,381.4700012207031,1.224271727795816,-46.26264732265976
71,306.0794677734375,374.5899963378906,1.2238324872387885,-45.32922365346384
72,307.18145751953125,373.4700012207031,1.2157960452315293,-43.01989253166978
73,312.6912841796875,391.5,1.2520336184843106,-55.103343033822185
74,308.6308898925781,380.1499938964844,1.2317302199685818,-48.135567468908064
75,297.3332214355469,368.3500061035156,1.2388457782318922,-48.52872749032157
76,299.189697265625,362.1499938964844,1.2104360451120826,-40.325090880957774
