,cmcsa,vz,Ratio,Spread
0,47.2400016784668,54.72999954223633,1.1585520236588744,-1.6360989221299704
1,47.060001373291016,54.57500076293945,1.1596897401263908,-1.6877808947293957
2,47.099998474121094,55.02000045776367,1.1681529138051712,-2.08685494034341
3,47.279998779296875,55.064998626708984,1.1646573614299887,-1.9251723573924224
4,47.28499984741211,55.30500030517578,1.169609823065329,-2.1594316871596915
5,47.224998474121094,55.095001220703125,1.1666490841899069,-2.018327646695357
6,47.20000076293945,55.09000015258789,1.1671610013159897,-2.0420295618204163
7,47.1349983215332,54.92499923706055,1.165269994546039,-1.9516660390009293
8,47.20000076293945,54.90999984741211,1.1633474355900095,-1.8620292566446353
9,46.01430130004883,54.63999938964844,1.1874568959192358,-2.9534779157252826
10,46.68000030517578,54.869998931884766,1.1754498408990133,-2.419105582136754
11,46.779998779296875,54.92499923706055,1.1741128830761824,-2.359285194094002
12,46.57500076293945,54.88999938964844,1.1785292214815244,-2.5596690818184866
13,46.29999923706055,54.68000030517578,1.1809935465702452,-2.6654334738898156
14,46.525001525878906,53.72200012207031,1.1546909910833247,-1.4490801608496284
15,46.27000045776367,53.79999923706055,1.162740408575756,-1.8198777377144026
16,47.04499816894531,54.255001068115234,1.1532575869867774,-1.385008246003767
17,46.970001220703125,54.084999084472656,1.151479618455565,-1.301119592210749
18,46.61000061035156,53.70500183105469,1.152220577725704,-1.3344838425853809
19,46.404998779296875,53.42499923706055,1.1512768159126765,-1.2898693638565206
20,46.08000183105469,53.209999084472656,1.154730837024682,-1.4480386542931953
21,46.744998931884766,53.334999084472656,1.1409776511534553,-0.8094727221454676
22,46.47990036010742,53.459999084472656,1.1501745629892977,-1.2388653846360669
23,46.470001220703125,53.43000030517578,1.1497740241369279,-1.2202330392638914
24,46.43000030517578,53.29349899291992,1.1478246530827403,-1.1296617563469227
25,46.185001373291016,53.43000030517578,1.1568690855571693,-1.5474768330782596
26,46.07500076293945,53.345001220703125,1.157786225445086,-1.5887831392231917
27,46.119998931884766,53.09000015258789,1.1511275234632423,-1.2821140731982255
28,45.54999923706055,52.95000076293945,1.1624588726635607,-1.7966022711785172
29,44.970001220703125,52.959999084472656,1.1776739525657633,-2.4725684976108253
30,45.21390151977539,53.125,1.1749704894801989,-2.3575171257225405
31,45.04499816894531,53.222999572753906,1.181551820096346,-2.649455656042515
32,45.404998779296875,53.12350082397461,1.1699923412000421,-2.1365954034706176
33,45.375,53.165000915527344,1.171680460948261,-2.2125408269631732
34,45.400001525878906,53.220001220703125,1.172246683524155,-2.2388337687699815
35,45.650001525878906,53.39500045776367,1.169660430952979,-2.1267768926555233
36,45.70000076293945,53.57500076293945,1.1723194719590957,-2.249366851222038
37,45.61000061035156,53.46500015258789,1.1722209918246214,-2.2427066168186256
38,45.71500015258789,53.25,1.1648255457128236,-1.9071434223126744
39,45.514400482177734,53.279998779296875,1.1706184902986903,-2.167475648378054
40,45.11000061035156,53.32500076293945,1.1821103977263694,-2.6768194535202054
41,45.02000045776367,53.040000915527344,1.1781430558910762,-2.4951599820562462
42,45.560001373291016,52.755001068115234,1.1579236057495423,-1.5901178789552362
43,45.31999969482422,52.63999938964844,1.1615180879107596,-1.7506919963930685
44,45.125,52.54499816894531,1.1644320923865996,-1.8795941935561544
45,45.0099983215332,52.6349983215332,1.1694068048065696,-2.101642085461168
46,44.869998931884766,52.517601013183594,1.1704390965756055,-2.1449954996689753
47,45.000999450683594,52.53499984741211,1.1674185126707017,-2.0119763348962847
48,44.970001220703125,52.5,1.1674449316187752,-2.012569413138169
49,45.59000015258789,52.290000915527344,1.1469620693247384,-1.0906723944275172
50,45.4900016784668,52.46500015258789,1.153330363085539,-1.3804923247065972
51,45.54999923706055,52.63999938964844,1.1556531343873064,-1.4866008978875016
52,45.209999084472656,52.69499969482422,1.1655607335086693,-1.9319976921864381
53,45.189998626708984,52.82500076293945,1.168953360660602,-2.0849637749711176
54,45.375,52.974998474121094,1.167493079319473,-2.0225383855569232
55,45.540000915527344,52.7599983215332,1.1585418810025567,-1.6180801470426431
56,45.38999938964844,52.08000183105469,1.1473893485650049,-1.1103190765206066
57,45.619998931884766,52.255001068115234,1.1454406464615923,-1.0212272150755866
58,45.67499923706055,52.724998474121094,1.154351381605283,-1.4280719257726517
59,45.685001373291016,52.589900970458984,1.1511414991705529,-1.28148972471148
60,45.22999954223633,52.23500061035156,1.154875108092227,-1.4490335930443436
61,45.83000183105469,52.48500061035156,1.1452105283309721,-1.0100962933471138
62,46.25,52.4900016784668,1.134918955210093,-0.532845193790098
63,45.76499938964844,52.09000015258789,1.1382060711743416,-0.6897332282912985
64,45.78499984741211,52.20500183105469,1.1402206400576291,-0.78176989208865
65,46.01499938964844,52.474998474121094,1.1403889855516525,-0.7876754366494894
66,46.15999984741211,52.400001525878906,1.1351820125453624,-0.5461854171503575
67,46.20000076293945,52.42499923706055,1.1347402244874991,-0.5252530989931146
68,46.189998626708984,52.380001068115234,1.1340117476822555,-0.4917396274468573
69,46.5,52.36000061035156,1.1260215185021842,-0.11578801249985138
70,46.16999816894531,51.974998474121094,1.1257310057482375,-0.109702048122162
71,46.220001220703125,51.84989929199219,1.1218065322933675,0.07281186074469015
72,46.34000015258789,51.987998962402344,1.1218817175489162,0.0724978982225053
73,46.2400016784668,51.974300384521484,1.1240116457159441,-0.028624217115161388
74,46.439998626708984,52.0,1.1197244086500318,0.1753175538433822
75,46.70000076293945,52.040000915527344,1.114346896474264,0.433857448890113
76,46.90999984741211,51.13999938964844,1.0901726616072391,1.5749850586051408
