,amzn,nvda,Ratio,Spread
0,142.427001953125,235.22999572753906,1.6515828635145813,-25.56100998428375
1,142.57675170898438,236.49009704589844,1.6586862459077625,-26.599103630892138
2,142.1999969482422,237.88929748535156,1.6729205526772146,-28.556852208026505
3,138.95774841308594,229.19000244140625,1.6493502885501774,-24.664269832140725
4,138.87249755859375,227.75999450683594,1.6400655170095024,-23.360648372205908
5,141.45199584960938,226.19900512695312,1.5991220467998635,-17.975489753531157
6,143.06100463867188,222.99000549316406,1.55870571478488,-12.381095278617389
7,141.52099609375,221.47000122070312,1.5649268118067177,-13.144191299527145
8,140.00100708007812,217.0,1.549988850265054,-10.927610927998936
9,140.18800354003906,219.77499389648438,1.567716126535139,-13.42537800388943
10,140.02426147460938,218.97079467773438,1.5638061031119268,-12.863930397688828
11,139.70950317382812,219.3000030517578,1.569685655376659,-13.659775642802467
12,138.8000030517578,215.96609497070312,1.5559516586622153,-11.674223713644816
13,140.77549743652344,223.22999572753906,1.5857162630747932,-16.00940577974172
14,141.2469940185547,222.22000122070312,1.5732724279534867,-14.300406070429156
15,141.2624969482422,221.99000549316406,1.5714716240255897,-14.047426870860457
16,140.53298950195312,216.9600067138672,1.543836842030973,-10.098940704029738
17,141.76600646972656,222.9499969482422,1.5726618989994054,-14.260953158581836
18,143.94100952148438,228.44000244140625,1.5870390460705341,-16.526463487790615
19,147.23699951171875,236.8000030517578,1.60829142020726,-20.00007840991689
20,147.17840576171875,237.41000366210938,1.6130763370713175,-20.69694568620728
21,148.22450256347656,238.82000732421875,1.6112046469641212,-20.556085281449704
22,147.81649780273438,238.77000427246094,1.6153136342812477,-21.110959255873844
23,149.06149291992188,241.55360412597656,1.6204963427794385,-22.04882343040979
24,148.45700073242188,240.49009704589844,1.6199309959074044,-21.88149078726739
25,149.5655059814453,245.0500030517578,1.6384125567171755,-24.798010678423914
26,149.63160705566406,242.3699951171875,1.6197780661877412,-22.020006286341335
27,149.4312286376953,243.77499389648438,1.6313524028336206,-23.72207096592698
28,149.90150451660156,243.143798828125,1.6220237389358347,-22.39368041729805
29,150.22674560546875,243.89950561523438,1.6235424965922687,-22.66720934386411
30,149.69900512695312,241.06640625,1.6103407370380465,-20.61649813179657
31,150.7864990234375,244.30999755859375,1.6202378803199047,-22.247853169176473
32,151.19351196289062,246.39999389648438,1.6296995201550812,-23.7344428801784
33,151.82449340820312,253.5500030517578,1.6700204121218456,-29.949006626622953
34,150.05250549316406,248.25,1.6544208921010621,-27.276018952159838
35,149.8249969482422,247.82000732421875,1.6540631561623154,-27.183313252719223
36,149.74649047851562,249.8249969482422,1.6683195455861786,-29.304690636184155
37,149.09950256347656,249.45989990234375,1.6731102090440608,-29.898768981554674
38,150.0,251.36000061035156,1.6757333374023438,-30.463860238942523
39,150.58999633789062,252.4499969482422,1.676406156367786,-30.679172591106273
40,142.43174743652344,250.22500610351562,1.7568064045203944,-40.54898506518038
41,140.85250854492188,246.22000122070312,1.7480696919371979,-38.88524042316792
42,140.71249389648438,243.1199951171875,1.7277783115409748,-35.992809456801986
43,140.6927032470703,244.82000732421875,1.740104509146367,-37.7221617851152
44,140.39849853515625,243.7176971435547,1.7358995978331417,-37.05601727787997
45,139.57974243164062,243.52000427246094,1.7446658091644294,-38.07215033411598
46,138.89999389648438,239.47000122070312,1.7240461608599411,-35.02989109335909
47,155.5644989013672,242.54989624023438,1.5591596923024107,-13.404250295584015
48,155.7060089111328,240.00599670410156,1.5414048461102223,-10.65055871259788
49,157.24131774902344,240.6699981689453,1.5305773419749913,-9.03842731456812
50,159.81649780273438,243.47300720214844,1.5234535266983102,-8.023669001286786
51,160.57749938964844,243.48500061035156,1.5163083342051826,-6.907458964081636
52,160.36294555664062,245.3199005126953,1.5297792121562626,-9.06044016584361
53,157.60250854492188,243.1300048828125,1.5426785216017833,-10.962959848894068
54,162.04949951171875,246.75,1.5226828885217016,-7.990182208820167
55,159.8300018310547,246.79989624023438,1.5441399825616569,-11.330537987457129
56,159.70401000976562,246.69000244140625,1.5446700582303574,-11.407430141925099
57,159.05874633789062,250.0449981689453,1.5720292277280457,-15.719045028115639
58,160.30174255371094,249.4199981689453,1.5559406541408887,-13.251272769250031
59,159.41200256347656,248.9615936279297,1.5617493640655773,-14.111929501904664
60,157.92599487304688,247.3300018310547,1.5661133053483542,-14.683380412265572
61,156.03399658203125,241.9698944091797,1.5507511164848593,-12.128206682166772
62,159.02450561523438,248.02000427246094,1.5596338646859524,-13.74481383953927
63,159.97000122070312,248.9499969482422,1.556229262040059,-13.273086179842844
64,159.8780059814453,248.77999877929688,1.5560614310399212,-13.239473200727028
65,159.76300048828125,246.41000366210938,1.5423471198525953,-11.0399765369721
66,161.0489959716797,250.02999877929688,1.5525088950151817,-12.753451930550321
67,161.40899658203125,251.0800018310547,1.5555514695455706,-13.26974528191881
68,162.05699157714844,256.3500061035156,1.5818509501423041,-17.579081142289972
69,161.6999969482422,263.0299987792969,1.6266543212334688,-24.788327077525658
70,161.57049560546875,264.25,1.635509001874076,-26.200317202870174
71,161.61099243164062,264.8800048828125,1.638997452446518,-26.770284551463483
72,161.61898803710938,265.2618103027344,1.6412787477782471,-27.14023629092913
73,160.85450744628906,265.8699951171875,1.6528600866591454,-28.881782259080644
74,161.21450805664062,267.0799865722656,1.6566746367419398,-29.558064013769446
75,159.7587127685547,265.5299987792969,1.6620689674933407,-30.166328303411866
76,159.84950256347656,264.87811279296875,1.657046838089378,-29.379844227933724
77,160.22850036621094,267.67999267578125,1.6706141046317233,-31.61985060850953
