,tmus,chtr,Ratio,Spread
0,122.7655029296875,583.27001953125,4.751090539378241,-198.31411501293726
1,123.66000366210938,586.1099853515625,4.739689212310385,-198.32615888280546
2,124.18000030517578,591.6699829101562,4.764615730843219,-202.2422115369569
3,125.5,598.9299926757812,4.772350539249253,-205.32910441595126
4,125.71499633789062,600.6400146484375,4.777791290977463,-206.3594255888777
5,125.43499755859375,600.1900024414062,4.784868769667276,-206.7946163396209
6,125.6050033569336,601.0499877929688,4.785239216028331,-207.1171363639875
7,125.1500015258789,601.22998046875,4.804074895232229,-208.73559590613806
8,125.5,600.6900024414062,4.7863745214454685,-207.08911418157626
9,122.48999786376953,601.0900268554688,4.907258040154322,-217.0051186316572
10,123.19999694824219,604.72998046875,4.908522690327699,-218.40044356773282
11,122.42500305175781,600.75,4.907085848680927,-216.87056981426147
12,122.08000183105469,600.1900024414062,4.91636626342784,-217.40127737148683
13,121.23999786376953,599.219970703125,4.9424280869456485,-219.08687862650052
14,122.5999984741211,600.1300048828125,4.895024570571184,-215.69733490845076
15,123.2699966430664,601.760009765625,4.881642136391445,-215.2091721251642
16,122.25,595.7999877929688,4.873619532048824,-212.47382151582505
17,122.5,597.1300048828125,4.874530652104592,-213.0134753762314
18,122.66000366210938,591.9400024414062,4.825859976916511,-207.31762889039882
19,122.5999984741211,592.969970703125,4.836622985996949,-208.53730072876326
20,123.45999908447266,596.280029296875,4.829742699810761,-209.12850788365083
21,122.79499816894531,597.5700073242188,4.866403487396634,-212.5208549956947
22,123.19000244140625,594.739990234375,4.8278267590525905,-208.44205049615576
23,125.56999969482422,577.2449951171875,4.596997662818188,-183.4228061179139
24,125.5199966430664,585.260009765625,4.6626834402321835,-191.59590306022753
25,125.5999984741211,578.780029296875,4.608121308346418,-184.86300056926436
26,125.4000015258789,574.0349731445312,4.57763130908788,-180.75022535248186
27,125.43000030517578,571.7000122070312,4.557920838842894,-178.32042468664483
28,125.5,567.5900268554688,4.522629696059512,-173.98913859563876
29,125.56999969482422,570.989990234375,4.547184770423395,-177.1678012351014
30,125.7750015258789,583.4199829101562,4.638600483659023,-188.94969027395078
31,125.44999694824219,573.5,4.5715425583996865,-180.0571940340461
32,125.5999984741211,572.7999877929688,4.560509512354729,-178.8829590653581
33,125.83499908447266,573.1400146484375,4.554694789354195,-178.48004255555796
34,125.91000366210938,568.1300048828125,4.512191155259114,-173.23290934911878
35,125.00499725341797,564.385009765625,4.514899581346083,-172.34904938327085
36,123.91000366210938,561.8200073242188,4.534097253812111,-173.24581762602432
37,124.16999816894531,564.1300048828125,4.543207000094008,-174.7338547923827
38,124.16000366210938,558.2650146484375,4.496335359071888,-168.90046172080562
39,124.0199966430664,557.7999877929688,4.497661690786328,-168.87806046419573
40,124.19000244140625,555.510009765625,4.473065454908245,-166.0506171096561
41,124.44499969482422,554.5700073242188,4.456346246809335,-164.30445285741345
42,123.44000244140625,549.6099853515625,4.4524463259991265,-162.5216823839058
43,123.19999694824219,549.9299926757812,4.463717583587388,-163.60045577476407
44,122.66500091552734,545.6599731445312,4.448375405143455,-161.02180101212488
45,122.9800033569336,553.4450073242188,4.500284535835602,-167.8109698043303
46,122.45500183105469,557.0750122070312,4.549222194905529,-173.1007422929557
47,122.79000091552734,562.969970703125,4.584819337939551,-177.93661695599994
48,123.13999938964844,562.4099731445312,4.567240343772564,-176.27011570018814
49,122.83000183105469,559.989990234375,4.559065227440179,-174.83017547614335
50,122.30999755859375,556.239990234375,4.5477884174423515,-172.72414450055723
51,118.68000030517578,558.239990234375,4.703741058298847,-186.20020990879866
52,117.69000244140625,553.0700073242188,4.699379691147284,-184.16005863362253
53,121.16999816894531,565.1300048828125,4.663943331045208,-185.21821354563158
54,120.9000015258789,562.8800048828125,4.655748534149744,-183.82179522063652
55,120.55999755859375,556.469970703125,4.615709870371167,-178.48666757536913
56,119.7698974609375,554.010009765625,4.625619805229551,-178.52457089691873
57,119.25,551.4199829101562,4.62406694264282,-177.5781753862615
58,121.69499969482422,562.739990234375,4.624183340692418,-181.1684312913812
59,121.80000305175781,564.4299926757812,4.6340720733474186,-182.52647056363625
60,122.05999755859375,565.2550048828125,4.630960316146714,-182.52952237843218
61,122.27999877929688,566.0999755859375,4.629538610052582,-182.67896958045677
62,122.13999938964844,560.364990234375,4.587890887789433,-177.3865857077815
63,122.06999969482422,559.0599975585938,4.579831235817542,-176.30289377144388
64,121.94999694824219,557.75,4.573595850410061,-175.37227924616982
65,121.54000091552734,560.260009765625,4.60967587251391,-179.17847216568694
66,121.5199966430664,560.3300170898438,4.61101080125659,-179.3117220554448
67,121.77999877929688,565.5,4.6436196885242325,-183.6597204533941
68,121.83999633789062,562.5750122070312,4.617326240283855,-180.54505320375128
69,123.26000213623047,565.0,4.58380650825842,-178.48075952233714
70,122.95999908447266,563.64501953125,4.583970589850361,-178.07422457690066
71,123.55000305175781,561.8699951171875,4.547713324473232,-174.43393039898066
72,124.75,566.155029296875,4.538316868111222,-174.92523072535724
73,125.54000091552734,569.02001953125,4.532579380130234,-175.29267026031343
74,125.51000213623047,568.1527709960938,4.5267529386176895,-174.52026145349421
75,126.09500122070312,568.655029296875,4.50973491250111,-173.17307269178852
76,125.63999938964844,566.3150024414062,4.5074419388135185,-172.27151270268902
77,125.0,561.2100219726562,4.48968017578125,-169.18986017170104
78,124.5999984741211,559.2899780273438,4.488683666745838,-168.53440221748272
79,125.52999877929688,582.9400024414062,4.6438302247283065,-189.24427445323923
80,125.7300033569336,577.5800170898438,4.593812150391485,-183.2519840461438
