,fcx,nem,Ratio,Spread
1018,28.56999969482422,53.209999084472656,1.8624431100050818,-10.240247573299426
1019,28.5049991607666,52.689998626708984,1.848447647008875,-9.821554943880555
1020,28.575000762939453,52.48500061035156,1.8367453791435187,-9.50745458860232
1021,28.56999969482422,52.29999923706055,1.8305915224260674,-9.330247725887316
1022,27.415000915527344,51.849998474121094,1.8913002641832568,-10.680392450487075
1023,28.299999237060547,52.08000183105469,1.8402827998261144,-9.531064708943132
1024,28.760000228881836,52.369998931884766,1.8209317981608677,-9.104118446253166
1025,28.71500015258789,52.2400016784668,1.8192582761925828,-9.044256924345474
1026,28.672500610351562,52.04999923706055,1.815328210971214,-8.920492959161498
1027,28.68000030517578,52.02000045776367,1.813807528041616,-8.87880538673537
1028,28.93000030517578,52.09000015258789,1.8005530453889633,-8.559162789332431
1029,28.959699630737305,52.380001068115234,1.808720454148635,-8.802875251702202
1030,28.844999313354492,52.13999938964844,1.8075923255615736,-8.741641951572296
1031,28.334999084472656,51.494998931884766,1.8173637055137086,-8.891512126680196
1032,28.15999984741211,51.32500076293945,1.8226207756054444,-8.994262373199978
1033,27.86009979248047,51.0099983215332,1.8309337978502491,-9.146674911164189
1034,27.88990020751953,51.42499923706055,1.8438574126986516,-9.515229818590965
1035,27.764999389648438,51.40999984741211,1.851611776608905,-9.694896992847893
1036,28.350000381469727,46.34000015258789,1.6345678846225653,-3.7131327883900402
1037,28.329999923706055,46.099998474121094,1.6272502152583985,-3.5043032067577675
1038,28.260000228881836,45.29999923706055,1.6029723591708878,-2.8134033358832573
1039,28.264999389648438,45.150001525878906,1.597382009582293,-2.655614086860374
1040,28.225000381469727,44.435001373291016,1.5743135791935534,-2.002955155206748
1041,28.020000457763672,44.26499938964844,1.5797644063700815,-2.152459732281044
1042,28.270000457763672,44.584999084472656,1.5771134900080437,-2.0828171348781117
1043,28.399999618530273,46.0161018371582,1.6202852977199997,-3.311307203608833
1044,28.1200008392334,46.404998779296875,1.6502488404819677,-4.136601610491666
1045,27.9950008392334,46.15999984741211,1.6488658140249632,-4.086423824720476
1046,28.204999923706055,46.36000061035156,1.643680224632314,-3.959126489101812
1047,27.915000915527344,46.505001068115234,1.6659501896074613,-4.5561104600269
1048,27.864999771118164,46.42499923706055,1.666068531074587,-4.554038871058508
1049,27.920000076293945,46.13999938964844,1.6525787701850532,-4.18331724371886
1050,28.06999969482422,46.130001068115234,1.6433915771157301,-3.9395341413963214
1051,28.405000686645508,46.005001068115234,1.6196092221798217,-3.292411923989852
1052,28.450000762939453,45.875,1.6124779883928622,-3.092275124364334
1053,28.420000076293945,45.84000015258789,1.6129486287659984,-3.1040334222040036
1054,28.424999237060547,45.560001373291016,1.6028145152556357,-2.816243105065886
1055,29.2549991607666,45.915000915527344,1.5694753796849599,-1.8776303560174472
