,amzn,adbe,Ratio,Spread
0,167.1699981689453,551.6900024414062,3.3001735268541275,-27.512121983695604
1,169.8642578125,552.344970703125,3.2516844792199655,-19.668135410466473
2,169.5615692138672,549.6199951171875,3.241418427921922,-17.897981211171466
3,170.23399353027344,554.4600219726562,3.2570464363455955,-20.616867326278136
4,169.7584991455078,552.7498779296875,3.256095457440986,-20.406654928747482
5,169.34849548339844,554.3150024414062,3.273220708924142,-23.26512272115806
6,170.0175018310547,556.6099853515625,3.2738393362858744,-23.449746762737643
7,167.17449951171875,547.4249877929688,3.274572314508977,-23.23290799518352
8,166.1435089111328,547.6599731445312,3.2963067695739157,-26.72011982410029
9,166.37950134277344,550.6400146484375,3.3095424027868328,-28.955730841248876
10,166.55850219726562,547.7999877929688,3.288934401824622,-25.551051584373365
11,166.87261962890625,549.135009765625,3.2907436282045515,-25.895200286604474
12,166.8300018310547,550.010009765625,3.2968291298264734,-26.904636750429315
13,167.09799194335938,549.9600219726562,3.2912425552012277,-26.009282822782804
14,165.8878173828125,538.4500122070312,3.2458683265720008,-18.316729536192977
15,167.1925048828125,544.1300048828125,3.254511948751534,-19.881127724728938
16,168.69012451171875,547.8150024414062,3.2474633830941895,-18.841932640473853
17,169.4300079345703,550.0599975585938,3.2465323248465725,-18.752989449605163
18,170.11849975585938,557.6799926757812,3.278185461758242,-24.201159402367605
19,169.96450805664062,556.2100219726562,3.2725068800087334,-23.216950529862086
20,170.38699340820312,557.510009765625,3.2720221104552,-23.184221956779563
21,169.8665008544922,556.8499755859375,3.278162396851488,-24.166064689919747
22,171.6800079345703,562.405029296875,3.275891212162662,-24.000469018265814
23,171.4425048828125,562.3300170898438,3.2799918402628205,-24.674652500254663
24,170.2688446044922,559.8599853515625,3.2880941117092175,-25.906894119657775
25,169.5574951171875,561.489990234375,3.3115020356151663,-29.7808279344604
26,170.29200744628906,563.9500122070312,3.3116645969711986,-29.923854540437585
27,171.0540008544922,564.27001953125,3.298782938209371,-27.840178323488
28,170.7104949951172,567.6900024414062,3.3254546093234856,-32.34373934808187
29,171.54100036621094,568.0999755859375,3.311744564699637,-30.133910182173988
30,171.3070068359375,569.3699951171875,3.3236818833830832,-32.14205473052144
31,171.80874633789062,571.2899780273438,3.325150728379139,-32.479316622601374
32,171.19631958007812,571.8099975585938,3.340083472361835,-34.93121653769393
33,171.1824951171875,570.6005859375,3.3332881703054995,-33.76541373730393
34,170.98849487304688,569.5999755859375,3.331218138441689,-33.3767708762779
35,171.01126098632812,574.719970703125,3.3607141856527933,-38.42495102603735
36,170.95394897460938,574.2899780273438,3.359325604772307,-38.17574723608712
37,170.2449951171875,574.8200073242188,3.376428228791945,-40.942148528031254
38,170.1999969482422,574.780029296875,3.3770860141182353,-41.04411576807709
39,169.76300048828125,575.905029296875,3.3924060463141363,-43.5476069558604
40,169.7154998779297,577.0,3.399807327056253,-44.792416796789354
41,169.6855010986328,577.75,3.4048283221568365,-45.63704697504912
42,170.8622589111328,574.947509765625,3.3649766392510414,-39.12251231168423
43,172.05450439453125,571.2000122070312,3.3198782805315896,-31.614114967572757
44,171.1437530517578,570.9849853515625,3.3362887933098175,-34.27202374272022
45,170.8877410888672,570.0999755859375,3.3361080903367255,-34.194595427167684
46,170.5290069580078,570.719970703125,3.346761825943564,-35.946205748265385
47,170.77749633789062,569.8250122070312,3.336651634004564,-34.267395546698395
48,170.66099548339844,569.5599975585938,3.337376510346205,-34.36987907273354
49,169.1532440185547,565.8699951171875,3.3453097420651083,-35.43602982268308
50,169.2530059814453,565.6699829101562,3.3421561976404064,-34.921321732914095
51,168.82327270507812,565.510009765625,3.3497159526905365,-36.11692829862196
52,168.81300354003906,566.3099975585938,3.3546586203845155,-36.94930984030319
53,169.33251953125,568.6500244140625,3.3581855746799962,-37.65054031774005
54,169.24099731445312,569.677490234375,3.3660726376830725,-38.966710008450406
55,169.15049743652344,569.280029296875,3.365523825967505,-38.85472800648384
56,170.5,573.7899780273438,3.365337114529875,-39.10771458259185
57,170.29574584960938,578.3499755859375,3.3961504598986676,-44.31202524707854
58,169.94625854492188,574.97998046875,3.383304730517298,-42.044476519953065
59,170.25924682617188,574.3099975585938,3.3731501123398138,-40.38718220772935
60,169.89199829101562,571.7650146484375,3.365461707437425,-39.00067291423457
61,169.5074920654297,572.3319702148438,3.376440552810045,-40.78054092314758
62,168.64498901367188,570.1799926757812,3.380948322333831,-41.34930134244419
63,168.15797424316406,567.7449951171875,3.3762597204947444,-40.4505761132082
64,168.19448852539062,568.7100219726562,3.381264314655613,-41.30041984732614
65,167.63650512695312,567.6300048828125,3.3860763468728936,-41.9805433264568
66,167.7060089111328,568.260009765625,3.388429630251026,-42.39130077184646
67,167.41650390625,568.0402221679688,3.392976253321239,-43.08474734108884
68,167.125,569.3200073242188,3.4065520258741584,-45.28407213389781
69,166.73599243164062,567.0999755859375,3.4011851149561507,-44.29115217819779
70,168.76199340820312,560.8400268554688,3.3232602645247473,-31.640248946904787
71,170.31385803222656,561.3499755859375,3.295973575325383,-27.254890953286942
72,170.07138061523438,560.5900268554688,3.2962043632945797,-27.25982938595453
73,169.93124389648438,561.3200073242188,3.3032183749926145,-28.43186659790788
74,170.43800354003906,560.8400268554688,3.290580828258276,-26.35332923689671
75,170.1387481689453,562.4600219726562,3.305890210348448,-28.91731573558516
76,170.37899780273438,564.3699951171875,3.3124387535758237,-30.06942918698294
77,169.0489959716797,550.9000244140625,3.2588186711641476,-20.79490620901427
78,166.75799560546875,547.1500244140625,3.281102188998241,-24.271792706704016
