,cl,pep,Ratio,Spread
0,84.9800033569336,172.7100067138672,2.0323605541464786,13.045934788995286
1,84.8499984741211,172.39999389648438,2.031820824947518,13.068388920482764
2,84.83499908447266,172.21499633789062,2.029999389360648,13.220209226936252
3,85.04000091552734,172.92999267578125,2.033513532620461,12.958657835642303
4,85.125,173.0500030517578,2.0328928405492843,13.026657513630543
5,85.20500183105469,173.6199951171875,2.0376737443353727,12.63362204328877
6,85.33999633789062,173.72999572753906,2.035739432653381,12.822216702199658
7,83.70999908447266,171.39999389648438,2.047545045646492,11.546816504763772
8,83.72000122070312,171.49000549316406,2.0483755732525752,11.478928701347488
9,84.20999908447266,171.83999633789062,2.040612732527341,12.212767469392507
10,84.30000305175781,171.8800048828125,2.0389086436602266,12.37183931282198
11,84.26000213623047,172.0800018310547,2.042250147974575,12.083364067035834
12,84.19999694824219,172.22999572753906,2.0454869592621123,11.800644286480637
13,84.58999633789062,172.97000122070312,2.044804453351468,11.92328109998309
14,84.58999633789062,173.10000610351562,2.0463413358250553,11.79327621717059
15,85.23999786376953,174.1699981689453,2.0432895651558276,12.161026954688342
16,85.0999984741211,173.64999389648438,2.040540505406605,12.371365623500285
17,85.16000366210938,173.44859313964844,2.0367377369761868,12.705492264407017
18,85.16000366210938,173.6199951171875,2.0387504421214233,12.534090286867954
19,85.04499816894531,173.67999267578125,2.0422129039353845,12.219711294519161
20,84.87000274658203,173.22000122070312,2.041003836631538,12.29262918279088
21,85.38500213623047,174.9600067138672,2.049071878392896,11.691754347802092
22,85.13999938964844,174.67999267578125,2.051679515245796,11.429845141747368
23,85.16000366210938,174.25999450683594,2.04626570001394,11.894090897219517
24,85.22000122070312,174.61000061035156,2.048932153358527,11.676793802265
25,85.40499877929688,174.46429443359375,2.042787857001713,12.231697339092623
26,85.37000274658203,174.30999755859375,2.041817874552811,12.308586250935239
27,85.22000122070312,173.82000732421875,2.0396621078901296,12.466787088397812
28,85.08000183105469,174.69000244140625,2.0532439901481454,11.287126367561289
29,84.80999755859375,174.37899780273438,2.056113699122075,11.000906716688807
30,84.93000030517578,174.38330078125,2.0532591564187572,11.262038630805083
31,84.90499877929688,174.51499938964844,2.0554148978116697,11.07503897700295
32,84.94000244140625,174.4600067138672,2.053920434417389,11.207456491451328
33,84.63999938964844,173.66000366210938,2.0517486402929745,11.34388074938423
34,84.69000244140625,173.8800048828125,2.053134961273775,11.234481619488523
35,84.58000183105469,174.25,2.060179666915327,10.621175402932526
36,84.45999908447266,173.82000732421875,2.0580157377265977,10.785733186081874
37,84.73999786376953,173.77000427246094,2.050625544643258,11.455067445137733
38,84.7300033569336,174.06430053710938,2.0543407723453773,11.138664262735606
39,84.73500061035156,174.3249969482422,2.0572962257929808,10.889021310479652
40,84.57499694824219,174.11000061035156,2.058646253536404,10.75010445819439
41,84.44000244140625,174.08999633789062,2.0617005128427537,10.471513461392878
42,83.86000061035156,175.43499755859375,2.0919985247047364,7.843602239566823
43,83.87000274658203,174.91000366210938,2.0854894233234957,8.390719929314631
44,84.0,174.53329467773438,2.077777317592076,9.054970724075222
45,83.91000366210938,174.6300048828125,2.0811583513452865,8.759197006155464
46,83.81999969482422,174.5800018310547,2.082796498051464,8.610119669561929
47,83.33000183105469,173.8300018310547,2.0860434178734564,8.276290056790348
48,83.70999908447266,174.1699981689453,2.0806355282979814,8.776812232302834
49,82.70999908447266,172.0399932861328,2.0800386312473105,8.694910303045337
50,82.5999984741211,172.52000427246094,2.088619945029565,7.971588217348713
51,82.7699966430664,173.36000061035156,2.094478768169357,7.507611987387665
