,goog,aapl,Ratio,Spread
0,148.25,177.6199951171875,1.1981112655459527,21.4699788114296
1,148.11500549316406,178.72500610351562,1.2066637374682763,20.182447941594035
2,147.67349243164062,179.32220458984375,1.2143154579543354,18.98829988713112
3,148.06324768066406,179.60009765625,1.212995800575732,19.23737702355419
4,147.7884979248047,180.125,1.2188025626435979,18.34099813154657
5,147.74899291992188,179.91000366210938,1.217673299198854,18.50258156354809
6,148.0050048828125,180.3300018310547,1.2184047557975253,18.428725432071786
7,147.20150756835938,179.2097930908203,1.2174453648689467,18.46256229192457
8,147.0387420654297,179.97999572753906,1.2240311172374632,17.472291881115837
9,146.41000366210938,179.75999450683594,1.2277849191349859,16.84220473288883
10,146.35501098632812,179.94769287109375,1.2295287442389227,16.580153292993998
11,146.38064575195312,179.38999938964844,1.225503538860122,17.172506365746244
12,146.15609741210938,179.30499267578125,1.226804737199595,16.95391156433189
13,146.45748901367188,179.38999938964844,1.2248605421120002,17.276402616830637
14,146.34500122070312,179.19219970703125,1.2244504302322647,17.322112711879498
15,146.05450439453125,179.27000427246094,1.2274185244448605,16.85154070638933
16,145.6175079345703,178.87350463867188,1.2283791089121257,16.65719746194057
17,145.67025756835938,179.09779357910156,1.2294739953696827,16.504228882908563
18,145.8719940185547,179.4174041748047,1.2299647055759249,16.457376892365602
19,146.41400146484375,179.47140502929688,1.2257803436400905,17.136199456215053
20,146.5,179.3800048828125,1.2244368933980376,17.3438742792506
21,146.95449829101562,180.3175048828125,1.2270295021914044,17.020880580839048
22,146.6282501220703,180.0157928466797,1.2277019789625376,16.88148742546366
23,146.41500854492188,179.7158966064453,1.2274417656527767,16.89306950586797
24,146.4560089111328,179.35150146484375,1.2246100573017213,17.31289936285154
25,146.43350219726562,178.97500610351562,1.2222271776469036,17.658964428240523
26,146.3574981689453,178.9600067138672,1.2227594004598774,17.5712022558057
27,146.03250122070312,178.25,1.2206186876892948,17.841795496311818
28,146.00350952148438,178.26019287109375,1.2209308766298033,17.792404277906627
29,145.7655029296875,178.36000061035156,1.2236091326518221,17.370798737931153
30,145.50999450683594,177.50999450683594,1.2199161652672363,17.875343617378462
31,145.67649841308594,177.6300048828125,1.2193456516171741,17.980455539224124
32,145.1165008544922,177.39999389648438,1.2224660383340054,17.453319501168437
33,145.28750610351562,177.84500122070312,1.2240901230281334,17.239520533959734
34,144.6790008544922,177.61000061035156,1.2276142326209387,16.651789095662735
35,144.56900024414062,180.83999633789062,1.250890550757752,13.273066586140486
36,144.60350036621094,181.74989318847656,1.2568844649554936,12.409815768855138
37,144.76651000976562,181.60000610351562,1.2544338196124594,12.780100719251832
38,145.37750244140625,182.22970581054688,1.2534931660694455,12.976495866454313
39,145.05648803710938,181.86500549316406,1.253752989295026,12.907167325554097
40,145.2449951171875,182.14500427246094,1.2540535673914377,12.882040326617924
41,145.0605010986328,182.0,1.254648912843962,12.777598695214406
42,145.6894989013672,182.25,1.2509480873661631,13.378037786199426
43,144.45799255371094,179.94000244140625,1.2456216458532243,14.02297207384032
44,144.72500610351562,180.02999877929688,1.243945352819879,14.293992514687913
45,144.19448852539062,179.5,1.24484646976221,14.106702799603935
46,144.0625,179.4969940185547,1.2459661190008136,13.93125314723673
47,144.80551147460938,180.11000061035156,1.2438062527884692,14.322838304904307
48,144.35400390625,179.66000366210938,1.2445792898047268,14.16237257054385
49,142.69300842285156,178.92999267578125,1.2539506641106497,12.646627716564039
50,141.63973999023438,179.30499267578125,1.2659229160413863,10.847551758739966
51,140.91461181640625,179.1300048828125,1.271195389703064,10.04212699332268
52,140.8730010986328,178.27000427246094,1.265466078540092,10.845867659927789
53,139.854248046875,177.08999633789062,1.266246816317909,10.648466300683735
54,138.73300170898438,176.34030151367188,1.2710768118718796,9.882175357987704
55,137.65350341796875,174.8350067138672,1.2701093860502857,9.927930011006081
56,138.75100708007812,173.52000427246094,1.250585548343562,12.72681683594996
57,138.96800231933594,173.1999969482422,1.2463300476194816,13.34021347444016
58,138.687744140625,173.0345001220703,1.2476553079313106,13.12678606636524
59,137.92950439453125,172.77000427246094,1.2525964262024207,12.366100718817078
60,137.22650146484375,172.97000122070312,1.2604708228681072,11.215605740400177
61,137.95150756835938,172.5740966796875,1.2509765186449415,12.591757794128965
62,137.5655059814453,172.00999450683594,1.2503860853754754,12.633964918592595
63,137.2102508544922,172.18499755859375,1.2548989341998313,11.978637697306054
64,136.88198852539062,171.77999877929688,1.2549496148460242,11.939808031492047
65,136.88674926757812,172.1999969482422,1.2579741857382836,11.526246643789447
66,137.15750122070312,172.1699981689453,1.2552721990166824,11.92231672555681
67,136.68350219726562,172.1300048828125,1.2593327074279195,11.321437663856953
68,136.84500122070312,173.02000427246094,1.264350197150533,10.649793699442254
69,137.01100158691406,172.25,1.2571983125802624,11.644239456324753
70,133.6425018310547,168.72999572753906,1.2625474187907717,10.609849646798635
71,135.45571899414062,169.9250030517578,1.254469019939337,11.866410116981909
72,135.2239990234375,168.9167022705078,1.249162156794598,12.561412949668066
73,136.71249389648438,170.6199951171875,1.248020500938101,12.870645776793365
74,138.18850708007812,170.7949981689453,1.2359566057832307,14.691292478787515
75,138.13600158691406,170.58999633789062,1.23494233493183,14.825304039790295
76,138.60848999023438,172.16000366210938,1.2420595857745718,13.894126623202196
77,138.01824951171875,172.1999969482422,1.2476610706008204,13.056096247227002
78,139.6750030517578,174.07339477539062,1.2462745013213723,13.422718923253596
79,139.69900512695312,174.0,1.24553499748889,13.528565804076264
80,139.89700317382812,174.44500732421875,1.2469531395712832,13.351262561285408
