,bac,blk,Ratio,Spread
0,42.88154220581055,888.2697143554688,20.714500194330842,-112.20415745869886
1,42.17792510986328,872.4405517578125,20.684766960093842,-109.41302939007309
2,43.18448257446289,885.6444702148438,20.508396012102942,-103.96542409293076
3,43.272438049316406,886.2959594726562,20.481766210227608,-102.98709718402048
4,43.40924835205078,888.6100463867188,20.47052368149881,-102.76608729436404
5,43.62424850463867,897.0205078125,20.56242889128778,-107.19259291615239
6,43.68288040161133,896.291259765625,20.518135514996022,-105.37689500665303
7,43.614479064941406,884.5263061523438,20.280565654247418,-94.87941910883816
8,43.516746520996094,888.4544677734375,20.416380791352893,-100.61856612228289
9,43.4776611328125,890.20458984375,20.474987997270958,-103.09294097674953
10,45.12920379638672,886.480712890625,19.64317201097178,-68.76595560304494
11,46.89801788330078,891.818603515625,19.01612570780266,-41.32769670943034
12,46.106449127197266,867.0735473632812,18.805905980120514,-31.25042056644676
13,47.03483581542969,870.6904296875,18.511607717824152,-17.66428470480022
14,48.06093978881836,867.5596923828125,18.051242780413858,4.480173432531078
15,47.81663131713867,849.1538696289062,17.758546477207574,18.35895682391848
16,48.09025573730469,863.5925903320312,17.95774584875254,8.990500414624453
17,47.74822235107422,860.5979614257812,18.02366494606097,5.64724593879092
18,47.65049743652344,843.5534057617188,17.702929688938504,20.880957583288623
19,46.81983947753906,825.0989990234375,17.62284980535363,23.943260841662582
20,45.20738220214844,808.9588012695312,17.89439604470365,10.20460295914339
21,45.3832893371582,802.6387329101562,17.68577695960404,19.78423296557074
22,44.70899200439453,803.6597290039062,17.9753488722115,6.268497960495697
23,43.89787292480469,778.7394409179688,17.739798970485847,16.15873827220972
24,43.53628921508789,765.0299682617188,17.572236450427447,23.168059781512884
25,44.396270751953125,776.43505859375,17.488745010403658,27.698439233487452
26,44.8555793762207,773.4403686523438,17.242902207665338,39.20412434140533
27,44.43536376953125,766.1383666992188,17.241635978786558,38.71952528495913
28,44.82625198364258,785.759521484375,17.529003356584536,26.341534518882472
29,45.090110778808594,800.149658203125,17.74556869306204,16.840704927514626
30,45.871910095214844,803.0762329101562,17.506928123185556,28.400882377001526
31,45.82304763793945,799.7315673828125,17.452605372338226,30.84012589456282
32,45.37351989746094,783.4551391601562,17.266792193567458,38.78679886272883
33,47.18141555786133,787.3930053710938,16.68862614784136,68.34926426816688
34,47.40618133544922,794.2963256835938,16.75512144846895,65.6108569261086
35,48.25638961791992,785.0302734375,16.267903165842736,90.63128041697306
36,48.158660888671875,790.4849243164062,16.414179915504008,83.36571483210892
37,47.93389892578125,756.6389770507812,15.78504970401694,113.04681981368529
38,46.829612731933594,751.0967407226562,16.03892701445459,98.12661768167894
39,46.34098815917969,739.2540893554688,15.952488687037846,100.91504895104256
40,46.70256805419922,759.5558471679688,16.263684821067862,87.31337159909631
41,46.59507369995117,761.72412109375,16.347739376889283,83.15322580090836
42,45.021705627441406,741.3834228515625,16.467244244066983,74.33939187721765
43,44.91421127319336,735.0830078125,16.36637908080616,78.64793504387345
44,44.5233154296875,724.8347778320312,16.27989225053806,81.65285963247632
45,43.76106262207031,712.20458984375,16.2748467969002,80.15849254270964
46,42.607906341552734,711.5239868164062,16.699341692893814,59.47109372735329
47,43.99559783935547,730.0755615234375,16.59428664179582,66.63346168630576
48,43.19425582885742,723.288818359375,16.745023255526416,58.5713263017731
49,41.50362777709961,695.01416015625,16.745865298544743,55.518623300164364
50,42.17792510986328,717.6008911132812,17.013660326915197,45.42663125445816
51,41.7261962890625,717.280029296875,17.190160932183804,37.37695176753007
52,40.213871002197266,681.8089599609375,16.954571717895146,44.82461260068081
53,37.650794982910156,662.7031860351562,17.6013065948796,16.436552404927657
54,37.89629364013672,648.8045043945312,17.12052662868776,34.88432756273235
55,40.30225372314453,678.5398559570312,16.83627572339369,49.731449647341975
56,39.938907623291016,682.4060668945312,17.086247659326947,39.13243044926256
57,39.60502243041992,672.4615478515625,16.979198762807837,42.89005224590349
58,40.459381103515625,682.72900390625,16.874430238057343,48.45387423172738
59,40.753990173339844,692.65380859375,16.995975256598687,43.98817968674385
60,42.030616760253906,715.596435546875,17.02559921089657,44.70146106321309
61,42.2564811706543,725.2080688476562,17.162055352381987,39.27509841409906
62,42.128822326660156,722.9177856445312,17.159696039902144,39.199861470657794
63,42.06990051269531,718.2587890625,17.072985205794655,42.76703602418573
64,43.385807037353516,731.0220336914062,16.849335845292085,54.38755751507816
65,42.315406799316406,720.8329467773438,17.03476348924025,44.742113199307965
66,42.2957649230957,722.6143798828125,17.084792796553188,42.59671585554045
67,42.94389724731445,725.3157348632812,16.889844223643202,51.90526181582155
68,42.76713180541992,733.9681396484375,17.161967816495494,39.97739094515546
69,42.65911102294922,756.83251953125,17.741403920116824,15.111384467682374
70,42.22702407836914,760.8650512695312,18.01843885227246,3.072275664365552
71,40.47901916503906,747.9548950195312,18.47759433028766,-16.408123329648188
72,40.16477584838867,753.4263916015625,18.75838656352886,-27.702552919708378
73,40.09603500366211,765.6317749023438,19.09494978324954,-41.181705024945785
74,39.41843032836914,748.2094116210938,18.98120765815003,-36.31536575787683
75,38.98634719848633,729.4168090820312,18.709544789319256,-25.5292695974567
76,38.681915283203125,732.9992065429688,18.949403130027004,-34.752794663256594
77,38.95688247680664,720.4805297851562,18.494306627695412,-17.138972001226502
78,38.878318786621094,712.9243774414062,18.337325267437738,-11.038605924278581
79,38.46586990356445,701.6195068359375,18.24005302869601,-7.376418831939727
80,38.122161865234375,700.5526123046875,18.376518487624352,-12.678439009363583
