,hon,ba,Ratio,Spread
0,204.11500549316406,197.14999389648438,0.9658770232014473,-23.151678424567766
1,203.4373016357422,197.92999267578125,0.9729287160433249,-24.51223169955006
2,203.83999633789062,198.9199981689453,0.9758634308411692,-25.15726908140613
3,199.75999450683594,193.94000244140625,0.970865076964995,-23.672403829344123
4,200.7100067138672,194.22000122070312,0.967664763708487,-23.13857537170276
5,203.05999755859375,196.0,0.9652319627525034,-22.905456275419514
6,203.02000427246094,194.4250030517578,0.9576642644083078,-21.364719545423615
7,201.5800018310547,192.30999755859375,0.9540132741925949,-20.48329105200796
8,199.5,188.7899932861328,0.9463157558202145,-18.745118771246897
9,199.6300048828125,189.50999450683594,0.9493061657644238,-19.353751407646886
10,200.75,189.6490020751953,0.9447023764642357,-18.53331600794866
11,200.64999389648438,189.75,0.9456765799748407,-18.71998408551423
12,197.75,185.3000030517578,0.9370417347750079,-16.75426471017693
13,197.82000732421875,187.9250030517578,0.9499797598518767,-19.3192929889583
14,198.9499969482422,188.47999572753906,0.9473737050449569,-18.906280909977884
15,199.1300048828125,187.5,0.941595919260602,-17.772081521755243
16,198.1699981689453,185.33999633789062,0.9352575972669851,-16.43446688328814
17,200.49000549316406,188.17999267578125,0.9386003667010596,-17.28703070571081
18,201.91000366210938,190.55999755859375,0.9437868065095499,-18.45059523361309
19,201.6999969482422,195.32000732421875,0.9683689156145074,-23.39050709146395
20,201.27999877929688,192.8800048828125,0.9582671206904421,-21.3102957630793
21,202.0399932861328,195.06739807128906,0.9654890346142062,-22.846640233435355
22,202.99000549316406,198.23060607910156,0.9765535283252023,-25.196021004309618
23,203.4199981689453,199.2050018310547,0.9792793413831911,-25.802063856537078
24,202.79629516601562,198.0500030517578,0.9765957651722762,-25.181359781863566
25,204.47999572753906,200.24000549316406,0.9792645230684345,-25.929021413673357
26,202.0,204.23500061035156,1.011064359457186,-32.048502990744176
27,203.2100067138672,207.01600646972656,1.0187293914183,-33.792957516004726
28,202.88499450683594,207.6699981689453,1.0235848081014594,-34.725370675981345
29,203.0749969482422,208.75,1.027945355839174,-35.64260705964839
30,204.3350067138672,207.85000610351562,1.017202139986569,-33.663226752669125
31,205.14999389648438,208.44000244140625,1.0160370881930514,-33.5550649384218
32,205.2100067138672,208.2899932861328,1.015008949230045,-33.353645848633796
33,205.08999633789062,204.60000610351562,0.9976108525860631,-29.766465463615678
34,206.4250030517578,204.2100067138672,0.9892697284478894,-28.232833584616746
35,206.7449951171875,206.0731964111328,0.9967505926531672,-29.821902321621653
36,206.67999267578125,207.00489807128906,1.0015720215164585,-30.80928827392947
37,207.07000732421875,207.3000030517578,1.001110714827855,-30.770287501488813
38,207.2550048828125,208.0749969482422,1.0039564403566192,-31.38680337965261
39,207.5500030517578,207.52000427246094,0.9998554624001167,-30.57910074608583
40,195.0,205.49020385742188,1.0537959172175482,-39.30025093103465
41,195.66000366210938,207.0,1.057957661891257,-40.24465543682306
42,195.99000549316406,206.43499755859375,1.053293493406193,-39.39695717702197
43,195.0449981689453,207.2899932861328,1.0627803595690317,-41.061492712432205
44,194.38999938964844,207.74000549316406,1.0686764038553032,-42.07260912718608
45,193.18499755859375,207.3699951171875,1.0734270141980946,-42.73486265625687
46,191.75,206.33999633789062,1.0760886380072523,-42.934153447641314
47,189.61000061035156,205.0,1.081166601656602,-43.42738596453507
48,189.14999389648438,204.26210021972656,1.0798948285005632,-43.08355058695964
49,191.16000366210938,205.75999450683594,1.0763757614826857,-42.85957153215768
50,191.4197998046875,206.5399932861328,1.0789897048104375,-43.41701614286942
51,191.4333953857422,206.80999755859375,1.080323509604306,-43.675373771126836
52,192.00999450683594,207.7100067138672,1.081766640571787,-44.081439726441666
53,191.46499633789062,206.49000549316406,1.0784739218272452,-43.328310773996215
54,191.72000122070312,210.26170349121094,1.0967124043002852,-46.88155903250388
55,191.85499572753906,211.1999969482422,1.1008313656224815,-47.70420954759499
56,191.5800018310547,210.1898956298828,1.0971390208840237,-46.929681542182955
57,193.00999450683594,212.375,1.1003316203528424,-47.88978377068589
58,193.77000427246094,214.02499389648438,1.1045310893193911,-48.888715877619696
59,193.52000427246094,212.58999633789062,1.0985427430984378,-47.66788062949809
60,192.49000549316406,211.8699951171875,1.1006804980568805,-47.83022708222581
61,191.5500030517578,210.4199981689453,1.0985121107624767,-47.18548251278771
62,191.9499969482422,211.65789794921875,1.1026720568601553,-48.080727824877734
63,192.3699951171875,212.19000244140625,1.1030306587685093,-48.25304120404363
64,194.3699951171875,211.83999633789062,1.089880134071981,-46.18973661675083
65,193.76499938964844,211.6999969482422,1.0925605636471407,-46.56800635844457
66,194.36000061035156,212.07000732421875,1.0911196061856976,-46.42830938978302
67,194.5,213.27000427246094,1.0965038780075111,-47.508375967018004
68,195.61000061035156,216.1280975341797,1.1048928830826983,-49.41558804738319
69,195.24000549316406,215.22999572753906,1.102386753083117,-48.83444227738372
70,194.89999389648438,214.72500610351562,1.10171889598704,-48.62072332988928
71,195.36000061035156,216.0399932861328,1.1058558180342546,-49.54164610980846
72,196.00999450683594,216.19000244140625,1.1029539742876047,-49.13483848642637
73,196.3300018310547,215.52999877929688,1.0977945131624056,-48.200700792626186
74,196.6199951171875,215.86000061035156,1.097853758371303,-48.28228009496244
75,195.9600067138672,221.02999877929688,1.1279342274264965,-54.017656829267345
76,195.5500030517578,221.4149932861328,1.1322679101545658,-54.75388066242082
77,195.82000732421875,223.0800018310547,1.1392094448331913,-56.18759025203236
78,194.3000030517578,220.35000610351562,1.1340710377900436,-54.7597050321644
