,tsla,bkng,Ratio,Spread
0,369.6303405761719,2413.110107421875,6.528441641615162,543.5994844695008
1,368.7561950683594,2402.050048828125,6.5139245955795735,547.6481983008578
2,371.0932312011719,2394.2548828125,6.451895862025465,574.1882596489806
3,370.8066711425781,2402.570068359375,6.479306483230901,563.5746336846057
4,369.1741943359375,2392.43505859375,6.480504583743211,560.6158763306
5,364.8800048828125,2393.0,6.558320455977173,525.6081076583998
6,364.6066589355469,2394.6201171875,6.567680700562322,521.7955377744622
7,363.1983337402344,2407.02001953125,6.6272881671665145,498.09974316374775
8,362.0579833984375,2398.409912109375,6.624380685095883,497.5633305557265
9,365.5278015136719,2392.767578125,6.546061799448387,531.0363756188387
10,363.8916931152344,2389.52001953125,6.566569297240197,521.1610388278161
11,363.3433532714844,2385.360107421875,6.5650302556644595,520.9228276761007
12,365.0133361816406,2391.5400390625,6.5519250997240395,528.1374920446813
13,362.9499816894531,2388.64990234375,6.581209595947918,514.4778786560812
14,357.9283447265625,2378.39501953125,6.644891511311329,484.4552244867685
15,359.7133483886719,2388.030029296875,6.638702844901374,489.1373689767341
16,358.5610656738281,2389.0400390625,6.662854023408486,478.88513202431824
17,361.6666564941406,2390.125,6.608640738875309,502.70948851455825
18,364.4673156738281,2387.699951171875,6.551204589518512,527.5980595998524
19,361.8433532714844,2384.760009765625,6.590586750328902,509.49172795205624
20,361.8533630371094,2384.510009765625,6.589713550682365,509.8220142626995
21,360.8066711425781,2418.0,6.701649923331077,467.9367195086846
22,360.5299377441406,2424.929931640625,6.726015450515899,458.78716510917894
23,364.2266540527344,2413.239990234375,6.625654557079656,500.1277222271918
24,363.183349609375,2412.5,6.642650337893478,492.49957800437033
25,361.4525146484375,2413.830078125,6.678138843418432,477.2868218475349
26,359.5066833496094,2410.4150390625,6.704785058803606,465.09474062673127
27,356.7766418457031,2395.929931640625,6.715489890946404,457.6827359220118
28,356.3385925292969,2386.510009765625,6.697309973713876,463.58915260502073
29,358.4199523925781,2400.0,6.696055797059185,466.7933299270183
30,356.0266418457031,2400.110107421875,6.741377822118291,447.4869614506145
31,355.9300231933594,2404.97998046875,6.7568899046266795,441.84212968576213
32,354.4599914550781,2409.139892578125,6.796648283741335,425.89138957734787
33,354.5,2414.31005859375,6.810465609573343,421.04212402895865
34,352.413330078125,2399.22998046875,6.808000083132142,419.3854436888908
35,384.0016784667969,2419.090087890625,6.299686234574088,652.8891058547595
36,388.6119689941406,2415.300048828125,6.215197270119444,693.657355127242
37,389.0,2436.2099609375,6.262750542255784,675.8597614319795
38,391.8866882324219,2439.10009765625,6.22399323809044,696.1231686463232
39,395.2320251464844,2445.929931640625,6.188592462197599,716.1256071397286
40,397.52001953125,2461.7099609375,6.1926691486892,718.6971192082672
41,399.8833312988281,2462.77001953125,6.158721373887052,736.5927075124539
