,tjx,sbux,Ratio,Spread
0,72.7132339477539,106.10820007324219,1.4592694384832796,-10.42346290952577
1,71.20043182373047,105.58072662353516,1.4828663804303788,-11.914474272863872
2,72.81148529052734,107.80780029296875,1.4806427840717922,-11.99196941904387
3,72.69359588623047,109.14599609375,1.5014527038195988,-13.487461384613214
4,72.44800567626953,109.7613754272461,1.5150365341692025,-14.430524095311556
5,72.97846984863281,111.56843566894531,1.5287856254091554,-15.529802493783238
6,73.44998931884766,112.88707733154297,1.5369243532697907,-16.219310395547396
7,74.12781524658203,113.67827606201172,1.53354413163085,-16.106107076803482
8,74.19658660888672,113.5415267944336,1.5302796527951654,-15.877598319877707
9,74.57969665527344,114.25458526611328,1.5319797530717696,-16.079484974651194
10,74.21623229980469,113.9713134765625,1.5356655807608606,-16.28117236776319
11,75.36557006835938,111.58795928955078,1.4806225069131216,-12.364292550369102
12,73.81346130371094,107.87617492675781,1.461470211820759,-10.723438628435689
13,74.13764953613281,108.55992126464844,1.4643021722955902,-10.974630692822815
14,73.06688690185547,105.07279968261719,1.4380358071605341,-8.916194383864026
15,71.21024322509766,103.56855010986328,1.4544052290690832,-9.889206711565963
16,72.89988708496094,101.624755859375,1.394031732051063,-5.690973221186612
17,72.114013671875,101.45870208740234,1.4069207484282904,-6.5734858969335495
18,71.32813262939453,100.02281951904297,1.4022912956201978,-6.186179955957558
19,69.92337799072266,97.7957534790039,1.3986131146578662,-5.833434330456699
20,67.69345092773438,95.46124267578125,1.4101990867283478,-6.474245837642487
21,67.30052185058594,94.62120056152344,1.4059504734835817,-6.158476767580682
22,66.14134216308594,93.49789428710938,1.4136074538156465,-6.581827889830153
23,66.26904296875,94.0741958618164,1.4195798165695297,-6.987742252123057
24,67.84080505371094,95.82264709472656,1.4124632957828527,-6.639040230266447
25,67.46752166748047,94.75794982910156,1.4044972675315441,-6.072403374594048
26,67.88009643554688,93.36114501953125,1.375383211309651,-4.125112886584292
27,68.39091491699219,93.10718536376953,1.3613969849178962,-3.1895840218384577
28,70.1198501586914,94.95330047607422,1.3541572074267287,-2.728834625765218
29,70.69943237304688,96.03753662109375,1.3583919049639592,-3.0397522521167715
30,71.51477813720703,96.46732330322266,1.3489145294996525,-2.38164844532905
31,70.75836944580078,95.46124267578125,1.3491159197627114,-2.384820404074007
32,68.57756042480469,93.7127914428711,1.366522676840148,-3.5461548061318253
33,67.95869445800781,92.79460906982422,1.3654560289877655,-3.45370604057601
34,68.12568664550781,92.98020935058594,1.3648333533048804,-3.4164938404367446
35,69.19644927978516,92.71646118164062,1.3399020057626936,-1.7240603984189717
36,70.4683609008789,94.87516021728516,1.346351170999095,-2.1856873253297393
37,69.64999389648438,93.56945037841797,1.3434236694619572,-1.9718991222375748
38,67.7371826171875,92.01830291748047,1.3584607354798948,-2.972956246532648
39,67.03712463378906,91.93976593017578,1.3714753792383707,-3.8284848487067804
40,67.92451477050781,92.78406524658203,1.3659878993624848,-3.488767111085481
41,66.15960693359375,93.44182586669922,1.4123697252386853,-6.5013893543214625
42,64.25664520263672,91.35072326660156,1.4216541025215716,-6.9493493935114135
43,65.22291564941406,91.63542175292969,1.4049574576746617,-5.944783281950736
44,64.33553314208984,91.40962982177734,1.420826491324667,-6.902998225162152
45,61.62407684326172,88.0128173828125,1.4282212714791565,-7.123997576323648
46,63.78337860107422,89.34797668457031,1.400803448236678,-5.578067715320161
47,65.8440933227539,90.8893051147461,1.3803714278397885,-4.36984859814959
48,65.17362213134766,90.11373138427734,1.3826718300644183,-4.488863721005872
49,63.00445556640625,88.49386596679688,1.4045652037025376,-5.763249771559233
50,65.19334411621094,91.0758285522461,1.3970111487132508,-5.424646458093365
51,64.7890853881836,89.85848236083984,1.3869385842145021,-4.746690111602151
52,61.663516998291016,88.38587188720703,1.43335761873032,-7.444428308787552
53,57.51251983642578,82.91759490966797,1.4417312116648344,-7.514697712935517
54,59.159114837646484,82.46598815917969,1.3939692705933058,-4.866090475456547
55,60.332435607910156,86.00025177001953,1.425439747351159,-6.834828682809489
56,61.180381774902344,85.56828308105469,1.398622901633426,-5.27147180157961
57,60.56907272338867,81.21919250488281,1.3409350490769545,-1.7380318759208833
58,60.391597747802734,77.84200286865234,1.288954188523428,1.402358421369597
59,60.85500717163086,81.60206604003906,1.3409260771245128,-1.7393919717858792
60,61.663516998291016,85.813720703125,1.391644928483455,-4.872277124705521
61,61.37757873535156,86.05915832519531,1.402126967182365,-5.499233275898975
62,61.56491470336914,87.9637222290039,1.4287962982297462,-7.153840625326952
63,60.13523864746094,85.27376556396484,1.41803321117385,-6.371456246576061
64,60.273277282714844,86.28495788574219,1.4315624066867685,-7.198467911512141
65,58.646400451660156,84.64544677734375,1.4433187054184775,-7.729647949055023
66,59.22813034057617,85.52902221679688,1.4440608157810177,-7.837039294484997
67,60.431034088134766,85.85298919677734,1.4206771486247662,-6.556009224656664
68,61.131080627441406,86.76600646972656,1.4193435741552682,-6.534976177622754
69,63.40870666503906,89.56396484375,1.4124868579464633,-6.293968983261097
70,61.131080627441406,89.36760711669922,1.4619013143468396,-9.13657682459541
71,59.73098373413086,89.30870819091797,1.4951822757254558,-10.94578362861232
72,60.03664016723633,89.8192138671875,1.4960732915264694,-11.04846143470934
73,61.20009994506836,86.4813003540039,1.4130908353356826,-6.158179733479459
74,60.84514617919922,82.58380126953125,1.3572783772481707,-2.7342844167186953
75,59.68168640136719,81.83767700195312,1.37123600113415,-3.5405283371868435
76,60.47047424316406,81.60206604003906,1.3494530522763981,-2.252462295987756
77,60.69725036621094,80.03128051757812,1.31853222402526,-0.3790964472155607
78,60.9930419921875,79.20661926269531,1.2986172959341946,0.8402303725672469
79,61.9494514465332,78.33287811279297,1.2644644348529839,2.9900789049177647
80,62.80725860595703,79.44224548339844,1.264857713052033,3.02525694201796
81,61.83113098144531,78.04817199707031,1.2622795468595183,3.116913704848527
82,61.56491470336914,78.14634704589844,1.269332499239569,2.6635345577785174
83,64.51300811767578,79.73676300048828,1.2359796160030767,5.006667935066899
84,65.8440933227539,78.70594024658203,1.1953379001026265,7.813516270014473
85,65.015869140625,77.51802825927734,1.192293962749479,7.896354495935396
86,61.83113098144531,76.49702453613281,1.2371927105633655,4.6680611657860265
87,62.50160217285156,76.5559310913086,1.2248634983722342,5.503743463935278
88,60.55921173095703,74.24884033203125,1.2260536128160378,5.21916308149005
89,60.6085090637207,73.3750991821289,1.210640227183052,6.158680128931762
90,62.452301025390625,75.1814956665039,1.2038226683743503,6.81239790136871
91,60.42116928100586,73.27693176269531,1.2127691773375002,6.006885904152837
92,61.4268798828125,73.99359893798828,1.2045801297274095,6.632107098679311
93,61.15080261230469,72.97258758544922,1.193321828465515,7.284757137535861
94,63.17206954956055,80.14908599853516,1.268742445356418,2.805172320201861
95,60.84514617919922,76.0650634765625,1.250141847840057,3.7844533762500547
96,59.5633659362793,75.12258911132812,1.2612213552822726,3.0166882376462625
97,58.311161041259766,72.1479263305664,1.2372918844733005,4.320572981227924
98,55.41236877441406,70.54769134521484,1.2731397863971,2.0530396220725167
99,54.50543212890625,68.78055572509766,1.2619027689282512,2.6100778895479224
100,55.50653076171875,69.10682678222656,1.2450215467237873,3.6195415954811083
101,56.68604278564453,74.74214172363281,1.3185281252788543,-0.4419871452776234
102,55.62547302246094,71.59822082519531,1.2871480804538014,1.2868485109026424
103,55.694854736328125,72.88347625732422,1.308621354744004,0.09416694122408709
104,59.65960693359375,70.47116088867188,1.1812206702453187,7.796527829103935
105,60.86885452270508,71.11378479003906,1.1683115338323389,8.767365367981823
