,nvda,acn,Ratio,Spread
0,308.75,412.1600036621094,1.3349311859501518,103.17717839185086
1,308.3699951171875,412.4049987792969,1.3373707082706725,102.2958529887972
2,309.04998779296875,413.80499267578125,1.3389581265830284,102.03452849720126
3,308.04998779296875,414.42999267578125,1.3453335792835912,99.73499663025102
4,310.5870056152344,415.6449890136719,1.3382562100121693,102.76831748276508
5,308.44000244140625,414.7699890136719,1.344734748186448,100.04809224974638
6,309.5,415.2699890136719,1.3417447140991015,101.3230919405011
7,305.5766906738281,414.55999755859375,1.356647971559762,95.46337690500108
8,302.8601989746094,415.8900146484375,1.3732078895031834,89.5845078985095
9,301.8900146484375,415.75,1.3771571758812786,88.09991797595653
10,301.5899963378906,415.7799987792969,1.3786266249808627,87.56752897498028
11,303.2986145019531,415.05999755859375,1.368486296055668,91.1486657598562
12,304.6449890136719,415.04998779296875,1.3624054317674732,93.41322255020394
13,303.2200012207031,415.2799987792969,1.3695666417368992,90.79702409453442
14,295.9949951171875,415.29998779296875,1.4030642228546708,78.67853212161508
15,297.3399963378906,413.25,1.3898231152542015,82.98076731973832
16,297.0447998046875,414.6000061035156,1.395749080193031,81.13644521436082
17,297.8478088378906,414.6600036621094,1.3921875244944173,82.42111187131466
18,299.4100036621094,415.1499938964844,1.3865601977848077,84.54706665247879
19,299.3599853515625,416.1600036621094,1.3901657670559384,83.45329963191203
20,299.9700012207031,415.3399963378906,1.3846051093365965,85.29479796835214
21,303.0299987792969,414.2900085449219,1.367158400863995,91.46884918597634
22,303.30828857421875,414.7449951171875,1.3674040926042828,91.47986774355444
23,302.5899963378906,414.2900085449219,1.3691464144845693,90.73205107630558
24,300.6449890136719,414.4200134277344,1.3784364568567233,87.34506944763704
25,300.5199890136719,415.32000732421875,1.382004600383917,86.23575906778386
26,298.0599060058594,414.79998779296875,1.3916665054065154,82.63629120710884
27,295.8800048828125,413.95001220703125,1.3990469290785028,79.83595289570358
28,296.6622009277344,415.260009765625,1.3997739127769113,79.83576754053404
29,296.7349853515625,414.2200012207031,1.3959257305974486,80.99765592257368
30,295.2300109863281,415.510009765625,1.4074111516558083,77.18751984412351
31,295.5,416.4800109863281,1.409407820596711,76.66962383054043
32,294.1400146484375,416.010009765625,1.4143264739510166,74.86228624146655
33,295.4599914550781,416.6300048828125,1.4101063322685337,76.45263435063406
34,294.2099914550781,414.6199951171875,1.4092655149697537,76.36947928257119
35,302.9599914550781,408.82501220703125,1.3494356474051143,96.81661602854273
36,304.1296081542969,407.0400085449219,1.338376789471989,100.56018012561115
37,302.3349914550781,407.3299865722656,1.3472803283929111,97.26505924646442
38,300.7900085449219,406.739990234375,1.3522390328122547,95.26793246740475
39,301.1117858886719,407.864990234375,1.3545301424540463,94.68175888357676
40,300.25,407.2200012207031,1.3562697792529663,93.88365996417944
41,301.2300109863281,407.2900085449219,1.3520897443495676,95.45471226652857
42,294.6355895996094,410.3500061035156,1.392737403723544,81.35214595177557
43,285.8299865722656,407.92999267578125,1.4271770347393045,69.02689650250862
44,287.70001220703125,407.4800109863281,1.416336439683924,72.60829570939079
45,286.6700134277344,408.0299987792969,1.4233438436774473,70.3335421375695
46,287.1099853515625,404.3089904785156,1.4082024698076747,74.7912974453644
47,291.5799865722656,406.94000244140625,1.3956376335196437,79.645444971848
48,292.989990234375,404.4800109863281,1.3805250161029992,84.46653249164488
49,288.5849914550781,400.1549987792969,1.3866105675200577,81.41523386886625
50,286.6000061035156,403.3900146484375,1.407501765728292,74.85629677310469
51,284.06988525390625,402.1549987792969,1.4156903623199772,71.85454465233896
52,283.2868957519531,402.42999267578125,1.4205739789254148,70.26840988334656
53,280.760009765625,399.69000244140625,1.4236001871315738,68.7770490094649
54,275.64990234375,398.8949890136719,1.4471073112016877,61.015024715730235
55,275.9599914550781,397.25,1.4395202648955943,63.17926782791538
56,278.6300048828125,386.1099853515625,1.3857444589069092,78.79030504627933
57,280.8299865722656,382.80999755859375,1.3631378978828734,85.77423228494455
58,280.0,383.19000244140625,1.3685357230050224,84.0043884377324
59,277.6799011230469,379.3299865722656,1.3660692943137251,83.97932480293939
60,280.885009765625,377.9599914550781,1.3456039956366987,90.71637647916184
61,282.5299987792969,378.81500244140625,1.3407956821509919,92.61595201701043
62,281.79998779296875,378.010009765625,1.3414124419456657,92.19851803296142
63,275.239990234375,374.6300048828125,1.361103103381903,84.59359795679238
64,274.70001220703125,373.760009765625,1.3606115513527386,84.5593826597398
65,274.2099914550781,374.1300048828125,1.364392314435791,83.36883217793984
66,274.2300109863281,372.6099853515625,1.3587498465663526,84.92237505222936
67,273.4096984863281,371.17999267578125,1.3575962913193518,84.97872830590295
68,273.489990234375,370.45001220703125,1.3545285949572181,85.84315986541058
69,272.2799987792969,370.75,1.361649778397863,83.51700282217591
70,259.8699951171875,364.17999267578125,1.4013930023416343,69.30606354522239
71,263.04998779296875,365.1600036621094,1.3881772309737017,73.65105163115855
72,258.60009765625,363.6300048828125,1.4061479797512524,67.72956757209197
73,264.22650146484375,368.7900085449219,1.3957343661608095,71.9911563838035
74,268.15960693359375,370.510009765625,1.3816771809983186,76.85726560659877
75,268.82989501953125,370.69500732421875,1.3789203291445198,77.7946868079445
76,274.1700134277344,372.8699951171875,1.3599955387370195,84.56189746279993
77,273.2300109863281,368.81500244140625,1.3498334282900608,87.0428260954353
78,277.3599853515625,370.01568603515625,1.334062970785601,92.7579161859582
79,276.19000244140625,371.7449951171875,1.3459755669325983,89.06943343708302
80,275.85150146484375,374.5199890136719,1.3576869693471763,85.72760886835094
