,nke,bkng,Ratio,Spread
0,166.83999633789062,2399.97998046875,14.384919882209902,535.8634777844012
1,165.22500610351562,2385.054931640625,14.435193484855173,522.1985687047107
2,165.0800018310547,2402.330078125,14.552520302147682,502.3564308182389
3,164.52499389648438,2392.0,14.53882442630568,502.86127709345635
4,164.6699981689453,2371.8798828125,14.403837427501756,525.5483856830537
5,165.1885986328125,2384.89501953125,14.437406935284228,521.7139641892935
6,165.4499969482422,2386.3701171875,14.423512609275113,524.8663662393809
7,166.41000366210938,2410.0,14.482302427523734,518.2313549477639
8,166.42999267578125,2404.93994140625,14.450159509958416,523.6452763992164
9,166.36000061035156,2398.2900390625,14.416266111225712,529.0561184923694
10,166.3300018310547,2410.97998046875,14.495159946656162,515.8351126752467
11,166.0,2405.760009765625,14.492530179310995,515.2131047344536
12,165.722900390625,2412.489990234375,14.55737248471938,503.57766663526206
13,165.67999267578125,2401.830078125,14.496802174690671,513.4779891600114
14,165.8699951171875,2413.110107421875,14.548201473792819,505.5615478815424
15,166.1300048828125,2402.050048828125,14.458857390165747,521.2245248686144
16,166.3090057373047,2394.2548828125,14.396423526182177,532.1885192687499
17,166.4499969482422,2402.570068359375,14.434185115103707,526.3692824281128
18,167.25999450683594,2392.43505859375,14.30368968770934,550.8435715359377
19,167.28500366210938,2393.0,14.304928401313852,550.7213638882944
20,167.5800018310547,2394.6201171875,14.289414554378807,554.323560157255
21,167.72999572753906,2407.02001953125,14.350563887458854,544.5789798678683
22,167.5500030517578,2398.409912109375,14.314591873618069,550.0027008245073
23,167.2100067138672,2392.767578125,14.309954440822118,549.6261247361125
24,166.75999450683594,2389.52001953125,14.32909629553446,544.9071769181345
25,166.61000061035156,2385.360107421875,14.317028381750522,546.4117669731462
26,166.4600067138672,2391.5400390625,14.367054803580453,537.5765132781579
27,166.42999267578125,2388.64990234375,14.352280282779489,539.9353154617164
28,168.91000366210938,2378.39501953125,14.080841678797393,594.09350381803
29,169.02999877929688,2388.030029296875,14.127847403081006,586.5827516958956
30,168.96640014648438,2389.0400390625,14.139142675652298,584.4468637692752
31,168.70640563964844,2390.125,14.167363657223731,578.7592545627721
32,168.6300048828125,2387.699951171875,14.159401542039804,579.8317909263804
33,169.02999877929688,2384.760009765625,14.108501609110318,589.8527712271456
34,168.78500366210938,2384.510009765625,14.127499232924594,585.765655163579
35,168.10000610351562,2418.0,14.384294540185802,540.1492440070796
36,168.27999877929688,2424.929931640625,14.410090023954522,536.405698831691
37,167.96499633789062,2413.239990234375,14.367517297352393,542.5191937994585
38,168.52000427246094,2412.5,14.315807849728639,553.0844158836161
39,168.22500610351562,2413.830078125,14.348818490395375,546.5320243021555
40,168.05999755859375,2410.4150390625,14.342586421983697,547.0259389805368
41,167.4600067138672,2395.929931640625,14.307475430443898,550.8894880606393
42,166.61000061035156,2386.510009765625,14.323930142386363,545.2618646293962
43,166.7353973388672,2400.0,14.394064117784923,533.9917560473872
44,166.72999572753906,2400.110107421875,14.395190841029002,533.7860246166368
45,167.32000732421875,2404.97998046875,14.373534993986585,539.3610486070023
46,167.11000061035156,2409.139892578125,14.41649143545567,531.4834154971994
47,167.0,2414.31005859375,14.45694645864521,524.365923266935
48,166.6999969482422,2399.22998046875,14.392501646017873,534.1350871588892
49,164.52999877929688,2419.090087890625,14.703033524820178,475.8597899794162
50,163.7550048828125,2415.300048828125,14.749473156906435,465.93021488717375
51,163.67999267578125,2436.2099609375,14.883981365781008,443.69237162629804
52,163.32000732421875,2439.10009765625,14.934484375905091,434.42946197707613
53,163.91000366210938,2445.929931640625,14.922395686615703,438.0442549056223
54,164.27999877929688,2461.7099609375,14.98484282462591,428.8142000923898
55,164.6699981689453,2462.77001953125,14.955790653525964,434.65824896430365
56,165.8000030517578,2499.919921875,15.077924462369278,417.51267317782083
57,166.00999450683594,2474.3701171875,14.9049466843131,446.7799287414299
58,166.50999450683594,2453.179931640625,14.732929028713118,476.8215479686081
59,166.47500610351562,2445.85009765625,14.69199584312013,483.531986889844
60,166.41000366210938,2457.1298828125,14.765517869957085,471.10147213526386
61,166.75,2468.0,14.800599700149926,466.2502650205332
62,166.3699951171875,2465.489990234375,14.819318762964055,462.03309874934564
63,165.1699981689453,2459.60009765625,14.891324846661501,446.67960451960687
64,165.375,2457.844970703125,14.862252279383975,452.0638516965745
65,164.75999450683594,2445.330078125,14.841770816055366,453.69138360317163
66,164.56500244140625,2450.364990234375,14.889952018241747,445.2045528231241
67,163.5399932861328,2445.1201171875,14.951205928628537,432.303824750786
68,163.0399932861328,2425.02001953125,14.873774039449176,443.5524887267328
69,162.27000427246094,2413.31005859375,14.872188297608346,441.6314362860752
70,161.1199951171875,2425.31005859375,15.052818595418575,409.27297674678664
71,162.2100067138672,2441.659912109375,15.052461691937282,412.2194539487049
72,162.67999267578125,2436.52001953125,14.977379697743148,425.6794456719416
73,162.22999572753906,2433.534912109375,15.000523800767596,420.69831680640743
74,161.9600067138672,2440.199951171875,15.066682205582685,409.2536980460535
75,161.55999755859375,2440.300048828125,15.104605630753921,402.07229137096954
76,161.0399932861328,2429.909912109375,15.088859993877154,403.25686142739494
77,159.19000244140625,2455.27001953125,15.423518951417641,345.14661146298874
78,158.97000122070312,2443.1298828125,15.368496345550282,353.39209575246
79,158.2082061767578,2453.574951171875,15.508518871837932,329.4610707741539
80,157.64999389648438,2448.77001953125,15.532953468676652,324.3840444580363
81,157.4499969482422,2438.199951171875,15.485550958590194,331.413593370154
82,157.42999267578125,2441.949951171875,15.511338784096509,327.3094603881326
