,adi,avgo,Ratio,Spread
0,173.875,666.56298828125,3.833575777318476,-73.10029696724737
1,173.72999572753906,666.9349975585938,3.838916790192919,-73.97009149859949
2,173.27000427246094,669.47998046875,3.863796179147179,-78.09417935112506
3,173.27999877929688,667.3200073242188,3.851108102638957,-75.89989605807492
4,173.3800048828125,667.7150268554688,3.851165117377734,-75.95160457651096
5,173.0800018310547,666.8699951171875,3.852958100659871,-76.13645349476533
6,172.66000366210938,664.469970703125,3.84843019002521,-75.17824104709032
7,173.71499633789062,675.64501953125,3.8893879847716906,-82.7316048849872
8,174.27999877929688,673.6799926757812,3.865503772058835,-78.8269808091226
9,174.5399932861328,672.8599853515625,3.8550476179319366,-77.1144381862562
10,174.63999938964844,672.6699829101562,3.8517520915086987,-76.58112473203599
11,175.17999267578125,672.990478515625,3.8417085663496913,-75.04787706126538
12,175.02000427246094,672.0499877929688,3.8398467111608596,-74.65661062444283
13,175.4199981689453,674.280029296875,3.843803650296943,-75.51351284090563
14,174.77000427246094,671.0650024414062,3.8397035305625846,-74.5298504230091
15,174.19000244140625,671.6599731445312,3.8559042639112606,-77.11590976026142
16,174.50999450683594,671.0599975585938,3.845395786384641,-75.41743322075038
17,174.58999633789062,669.5999755859375,3.835271147437539,-73.68277291422422
18,174.80999755859375,668.25,3.8227218656416513,-71.5775550056209
19,175.0399932861328,669.75,3.826268428296721,-72.28800253443629
20,174.4199981689453,669.260009765625,3.837060066457355,-73.92639391017045
21,175.41000366210938,671.8800048828125,3.8303402933452335,-73.14779857536203
22,175.89999389648438,670.8900146484375,3.8140422849772837,-70.47572057115477
23,175.3300018310547,671.0599975585938,3.8274111136165785,-72.6024295850132
24,175.46499633789062,673.5399780273438,3.838600245545936,-74.61898733017998
25,175.27000427246094,673.056884765625,3.8401144996798413,-74.80528244697044
26,175.3800048828125,673.8499755859375,3.842228058074229,-75.22075210594997
27,175.4499969482422,672.2100219726562,3.8313481542604895,-73.34052268922395
28,176.4550018310547,672.89501953125,3.8134085888679286,-70.57543838209031
29,176.3699951171875,670.739990234375,3.803027775720625,-68.7122286842978
30,176.25399780273438,671.47998046875,3.8097290775797243,-69.85042616911701
31,176.23500061035156,671.0399780273438,3.8076430658118015,-69.47563920084977
32,176.22000122070312,671.77001953125,3.812109947099055,-70.25717211848749
33,175.83999633789062,669.02001953125,3.804709016517917,-68.81169110889314
34,174.77999877929688,665.5900268554688,3.808159008491248,-69.02056468855258
35,175.3881072998047,666.780029296875,3.80174026370611,-68.12299102472937
36,175.42999267578125,664.0800170898438,3.7854417420922712,-65.27919048535549
37,175.22000122070312,664.8300170898438,3.794258717373475,-66.75007027759617
38,175.8300018310547,665.0499877929688,3.7823464759556704,-64.87596951913079
39,175.92999267578125,665.0050048828125,3.779941070698163,-64.48772797806683
40,176.47500610351562,666.75,3.7781554154411072,-64.36174617189627
41,175.83999633789062,665.52001953125,3.7848045575046534,-65.31169110889314
42,177.00999450683594,668.9299926757812,3.7790521068568697,-64.70517683665074
43,176.17999267578125,664.3200073242188,3.770689266327459,-62.94450526934432
44,176.61000061035156,663.9149780273438,3.7592150825712074,-61.06330147565669
45,176.11500549316406,663.0050048828125,3.7646139409088977,-61.852597366170386
46,176.5500030517578,663.0449829101562,3.755564834036148,-60.399272013395176
47,177.08999633789062,663.8699951171875,3.7487718608933314,-59.37054094418707
48,177.13999938964844,663.3200073242188,3.74460883826209,-58.64889764481134
49,177.22999572753906,666.6099853515625,3.7612706732576004,-61.62992718976628
50,174.52000427246094,659.7575073242188,3.780411936583523,-64.08058045595024
51,175.0449981689453,664.2750244140625,3.794881495402314,-66.79584568328622
52,175.5500030517578,667.7761840820312,3.8039087010733303,-68.56337378578499
53,175.3000030517578,667.3900146484375,3.807130650484865,-69.03542950232
54,176.11000061035156,670.0499877929688,3.8047242375262584,-68.9147615415392
55,175.50999450683594,670.8099975585938,3.822061526715314,-71.73453262023557
56,176.72999572753906,659.8099975585938,3.7334352600551695,-56.546389697054934
57,176.0850067138672,658.739990234375,3.741033961538858,-57.690565545195824
58,175.91000366210938,657.5900268554688,3.7382184819834223,-57.141370247760875
59,175.7100067138672,654.8599853515625,3.7269362035707005,-55.09789838757641
60,174.78500366210938,649.469970703125,3.7158220504927666,-52.883327270996375
61,173.69000244140625,644.9600219726562,3.7132823588406096,-52.13240888864382
62,172.8300018310547,642.97998046875,3.720303035680563,-53.104663996456594
63,173.09500122070312,637.6400146484375,3.6837575328672876,-46.854981612283865
64,173.4550018310547,639.7855224609375,3.6884812528155813,-47.764643113322364
65,173.72999572753906,640.72998046875,3.6880791816377383,-47.76507440875574
66,173.58999633789062,639.1199951171875,3.681778953858314,-46.63569304598903
67,173.86000061035156,638.2996215820312,3.6713425706960865,-44.88842168176009
68,173.52000427246094,637.6799926757812,3.674965289157651,-45.43596640802767
69,173.47000122070312,636.9000244140625,3.67152833303866,-44.827653652715895
70,169.6199951171875,627.5800170898438,3.6999176698257754,-48.72433459324171
71,168.14999389648438,624.52001953125,3.7140650740416548,-50.71070510795724
72,168.61000061035156,626.3049926757812,3.7145186549351696,-50.91652092821292
73,168.0800018310547,624.364990234375,3.714689335034363,-50.79595161452713
74,167.97999572753906,622.0800170898438,3.7032982075963847,-48.85428948280972
75,169.35000610351562,621.5599975585938,3.670268527647195,-43.63116050915826
76,168.83999633789062,618.8800048828125,3.6654822216667218,-42.70198066405945
77,166.3699951171875,608.9000244140625,3.6599149022344215,-41.201268869133656
78,167.47000122070312,611.0700073242188,3.648832643876977,-39.59504016596114
