,gs,spgi,Ratio,Spread
0,340.760009765625,418.0400085449219,1.226787171512438,-58.33658857732428
1,341.8699951171875,416.5,1.218299370955999,-55.62488876691151
2,338.0849914550781,415.9100036621094,1.2301936322937068,-59.03031067891192
3,337.8900146484375,416.6000061035156,1.2329455978063544,-59.926129008782425
4,339.1499938964844,418.010009765625,1.2325225336527954,-60.006109101158984
5,340.2300109863281,418.05999755859375,1.228756970458415,-58.91603987538468
6,339.6300048828125,417.5,1.229278903505761,-58.98940374785923
7,336.875,415.739990234375,1.2341075776901669,-60.13755412419658
8,337.3900146484375,417.70001220703125,1.2380331191552223,-61.553930935838196
9,337.8157043457031,417.760009765625,1.236650648242543,-61.16457400575018
10,336.5899963378906,418.2300109863281,1.2425503298870535,-62.92842236125966
11,336.2300109863281,418.0,1.2431965807388825,-63.078408905112155
12,334.3999938964844,417.8800048828125,1.2496411857356968,-64.89016454197792
13,335.6300048828125,418.760009765625,1.2476834718988783,-64.47178010180545
14,333.2550048828125,420.2099914550781,1.2609262735689233,-68.42879195307432
15,333.94500732421875,419.2300109863281,1.2553863713833229,-66.72045067071087
16,333.4150085449219,418.4200134277344,1.2549525447393277,-66.46991539650566
17,332.45001220703125,417.9200134277344,1.2570912861554573,-66.98855747024606
18,333.4599914550781,415.9949951171875,1.2475109631652108,-63.997413501736446
19,332.44000244140625,414.3999938964844,1.2465407016399113,-63.47910416397906
20,330.1000061035156,410.1700134277344,1.2425628774423885,-61.719204283704926
21,328.3599853515625,408.6000061035156,1.2443660139223212,-61.98594833099429
22,331.9100036621094,410.1499938964844,1.2357265203552732,-59.78856644836759
23,330.625,409.45001220703125,1.2384121352197544,-60.44502389110471
24,328.5299987792969,407.3800048828125,1.2400085422837939,-60.58648235608325
25,331.42999267578125,408.239990234375,1.2317533091633397,-58.38525837393297
26,329.3999938964844,406.7799987792969,1.2349119803175514,-59.06811667386381
27,330.1400146484375,407.7300109863281,1.2350214845071579,-59.236969156467296
28,331.4100036621094,416.7099914550781,1.2573850724190474,-66.87635983050149
29,327.55999755859375,414.4800109863281,1.2653560082903168,-68.71041364583078
30,327.4599914550781,416.2149963378906,1.2710407597838962,-70.55096460492143
31,327.6700134277344,416.2900085449219,1.2704550049915755,-70.40427937191339
32,329.0199890136719,416.4800109863281,1.2658197826668276,-69.16925886104167
33,329.2300109863281,414.5299987792969,1.259089344672503,-66.99754921397118
34,328.3900146484375,414.29998779296875,1.2616095779785002,-67.65423134549843
35,326.5299987792969,415.45001220703125,1.27231805273682,-70.76767297446258
36,325.29998779296875,413.94500732421875,1.2725023758306027,-70.56105741463506
37,324.010009765625,411.9101867675781,1.2712884613211066,-69.88792688857563
38,325.510009765625,414.7349853515625,1.27410823909895,-71.12933800193957
39,324.6700134277344,413.3699951171875,1.2732004127914207,-70.65104088541995
40,324.2200012207031,413.06500244140625,1.2740268980513159,-70.82107733646507
41,323.9700012207031,411.8800048828125,1.2713522959868777,-69.89997768964139
42,317.8900146484375,408.8599853515625,1.2861680660329358,-73.29794119843541
43,317.1600036621094,408.2099914550781,1.287079035003323,-73.41854080139586
44,317.8999938964844,409.7799987792969,1.289021725847314,-74.20742061528739
45,318.1000061035156,411.5899963378906,1.2939012525637978,-75.80628695882484
46,316.239990234375,410.0899963378906,1.2967683057223742,-76.2697041737265
47,316.1549987792969,410.3399963378906,1.2979076652978778,-76.60942044378015
48,316.29998779296875,411.05999755859375,1.2995890402235781,-77.17637247273285
49,309.19000244140625,414.7900085449219,1.341537582941504,-88.41162460703367
50,309.093994140625,413.94000244140625,1.3392042883016375,-87.66296406387312
51,310.1099853515625,410.114990234375,1.3224823759526472,-82.76548002106927
52,312.7149963378906,413.04998779296875,1.320851230769456,-82.95064974194258
53,312.5,413.9100036621094,1.32451201171875,-84.0376139495134
54,314.1499938964844,414.7099914550781,1.32010186061544,-83.09588196761979
55,314.17999267578125,414.9800109863281,1.3208352557782623,-83.3342350380214
56,318.04998779296875,413.07000732421875,1.2987581297852533,-77.33909685596728
57,318.9200134277344,412.7200012207031,1.294117596399209,-76.07069895964736
58,322.3756103515625,415.114990234375,1.2876749260952984,-74.81798872484984
59,322.69000244140625,415.5899963378906,1.287892383382262,-74.96112516441832
60,321.44000244140625,413.8800048828125,1.2875808914239188,-74.57062326819056
61,322.5799865722656,414.739990234375,1.285696594638128,-74.22725089341378
62,321.6600036621094,413.06500244140625,1.2841665041927752,-73.52338937586262
63,326.739990234375,402.6499938964844,1.2323254144913762,-57.745989437977016
64,324.2449951171875,405.3900146484375,1.2502583563454013,-63.11970619513943
65,324.6099853515625,406.4100036621094,1.2519947691133253,-63.75441456613919
66,324.1600036621094,406.8699951171875,1.2551517476575904,-64.68940293394309
67,322.9735107421875,407.489990234375,1.261682387815552,-66.56185006672007
68,322.0400085449219,406.989990234375,1.26378704333441,-67.04724718868476
69,320.82000732421875,405.7799987792969,1.264821362494447,-67.12507883160862
70,324.19000244140625,405.9200134277344,1.2521052789130964,-63.707754783641576
71,324.32000732421875,405.07501220703125,1.24899791273772,-62.72552149456192
72,321.9200134277344,403.625,1.2538052409425828,-63.8089227977033
73,321.9049987792969,402.82000732421875,1.2513630072591648,-63.019779459396545
74,319.6000061035156,398.67999267578125,1.2474342461265546,-61.31289582609503
75,318.2200012207031,396.7449951171875,1.2467632254266223,-60.83461989472818
76,319.6099853515625,397.510009765625,1.2437346390425648,-60.13237890505633
77,317.19000244140625,394.1199951171875,1.24253599446279,-59.296878002656854
78,319.260009765625,394.7300109863281,1.2363903993992456,-57.72181143095713
