,dow,alb,Ratio,Spread
0,53.18000030517578,220.60499572753906,4.148269922181037,7.609597667679687
1,52.599998474121094,216.13499450683594,4.109030433017468,9.542901278791227
2,52.95000076293945,218.3249969482422,4.123229344711385,8.883669814060376
3,52.9286003112793,217.38999938964844,4.1072312154705095,9.725070298190111
4,53.290000915527344,217.08999633789062,4.073747281070813,11.605696030455512
5,53.39500045776367,218.16000366210938,4.085775855263407,10.994914994048237
6,53.52000045776367,218.1300048828125,4.0756727021135575,11.571614118449823
7,54.38999938964844,221.10000610351562,4.065085651491947,12.406642628163588
8,54.43000030517578,221.1300048828125,4.062649341227086,12.551591963453127
9,54.334999084472656,222.85000610351562,4.101408113710627,10.41609314159988
10,54.3473014831543,222.80999755859375,4.099743528713322,10.509907491360714
11,54.040000915527344,222.3000030517578,4.113619527861337,9.675891387216474
12,54.220001220703125,223.47000122070312,4.121541796191888,9.293143049939552
13,54.20000076293945,224.14999389648438,4.135608685263199,8.525676316865095
14,54.09000015258789,225.4199981689453,4.167498567813561,6.774573071276741
15,54.2400016784668,226.4499969482422,4.174962941384688,6.400621379693696
16,54.25870132446289,225.18499755859375,4.15020986610064,7.747405592697341
17,54.34000015258789,225.0800018310547,4.142068479923172,8.20797009937673
18,54.068599700927734,223.6199951171875,4.135856973439438,8.48097904857051
19,54.150001525878906,224.9250030517578,4.153739551498694,7.531990360343862
20,54.22999954223633,225.24000549316406,4.15342075224874,7.566867464139968
21,55.09000015258789,224.30999755859375,4.0717007975549375,12.258176442465818
22,55.25,225.80499267578125,4.08696819322681,11.4629570996535
23,55.279998779296875,226.89999389648438,4.104558590935816,10.499158622904936
24,55.27000045776367,227.94000244140625,4.124117976362129,9.415421391321708
25,55.2599983215332,228.1199951171875,4.128121643975798,9.191683344908604
26,55.189998626708984,228.27000427246094,4.136075556305424,8.735523331094164
27,55.13999938964844,227.89999389648438,4.13311564053569,8.88685690582296
28,55.59000015258789,229.1300048828125,4.121784570136321,9.624970498665824
29,55.619998931884766,230.89999389648438,4.151384364089199,7.98618422894851
30,55.6150016784668,231.59500122070312,4.164254144226213,7.269320903384319
31,55.70000076293945,232.82000732421875,4.1798923543126385,6.416067030386962
32,55.810001373291016,232.83050537109375,4.171841957390085,6.8866679566393785
33,55.654998779296875,232.2899932861328,4.173748960219948,6.749260268570573
34,55.880001068115234,233.02000427246094,4.170007154946542,7.003319913813165
35,56.56999969482422,233.51499938964844,4.1278946552833995,9.526104695374165
36,56.42190170288086,231.6739959716797,4.106100449993351,10.71938632690496
37,56.415000915527344,232.0500030517578,4.11326773528226,10.313197944205548
38,56.769901275634766,232.9499969482422,4.103406765095479,10.965397242509205
39,56.71500015258789,234.00999450683594,4.126068833240726,9.665283980584583
40,56.73500061035156,234.0449981689453,4.125231262027038,9.717754375768415
41,56.63999938964844,232.6699981689453,4.107874305723743,10.677256774618293
42,56.79999923706055,229.22999572753906,4.035739415608519,14.817034990399726
43,56.7400016784668,232.19000244140625,4.092174754544004,11.59462278862339
44,56.65999984741211,230.0,4.0593011051782595,13.434729000856812
45,56.81999969482422,231.5800018310547,4.075677632433171,12.554502944177308
46,56.920101165771484,232.0800018310547,4.07729426121636,12.49230701387615
47,57.02000045776367,232.0050048828125,4.068835549285293,13.004223781381093
48,57.06999969482422,232.52000427246094,4.074294822425741,12.707901192980422
49,57.30540084838867,235.34500122070312,4.10685550989075,10.912455379872064
50,57.08000183105469,235.7550048828125,4.130255734409397,9.516645953260713
51,56.94729995727539,236.6999969482422,4.156474444369197,7.991268606301595
52,56.874298095703125,236.3000030517578,4.154776603205418,8.071981359467209
53,56.780799865722656,235.22999572753906,4.142773548168037,8.733064566909981
54,56.848201751708984,235.3090057373047,4.139251523997956,8.948843631779802
55,56.779998779296875,234.36000061035156,4.127509785995344,9.59955605029402
56,56.59000015258789,235.72000122070312,4.165400257733054,7.408576921612685
57,56.65999984741211,235.85000610351562,4.162548654053479,7.584722897341187
58,56.334999084472656,234.35000610351562,4.159936272513553,7.66329866327488
59,56.61000061035156,234.4219970703125,4.1409997269536625,8.794055129296517
60,56.689998626708984,233.7449951171875,4.123213984469222,9.820936627623873
61,56.78879928588867,234.38999938964844,4.1273984013937675,9.608047190923777
62,56.720001220703125,233.7899932861328,4.121826309143275,9.90715788660362
63,57.81999969482422,231.75999450683594,4.008301551886414,16.748113029233544
64,57.39500045776367,231.27000427246094,4.029445115914755,15.379325427046702
65,57.09000015258789,238.16000366210938,4.171658837371952,7.155375860625192
66,57.084999084472656,236.50790405273438,4.143083259102047,8.78560278468428
67,57.025001525878906,237.00999450683594,4.156247052431499,8.021106842673568
68,57.1510009765625,237.08999633789062,4.14848370608803,8.492176556992668
69,56.869998931884766,236.55999755859375,4.159662423098164,7.793184017886013
70,57.849998474121094,247.82000732421875,4.2838377504033955,0.8193029558053198
71,57.78010177612305,239.82000732421875,4.1505639476620235,8.513602564467625
72,58.15999984741211,240.27000427246094,4.131189905481955,9.725128869652117
73,58.4900016784668,242.68499755859375,4.149170637619227,8.753432502901525
74,58.630001068115234,242.32000732421875,4.1330377436407675,9.730724454358501
75,58.60499954223633,243.7519989013672,4.159235573847183,8.189386134600916
76,58.41999816894531,242.4499969482422,4.150119899817506,8.682265570741613
77,59.34000015258789,246.5800018310547,4.155375820643658,8.5759839035643
78,59.37799835205078,243.33999633789062,4.098150882337484,11.982178426806065
79,59.58679962158203,244.3300018310547,4.100404844407176,11.905386742530261
80,59.28950119018555,240.33999633789062,4.0536687189683285,14.595126995346
