,abt,dhr,Ratio,Spread
0,120.86000061035156,271.45001220703125,2.2459871821627457,19.941272314062704
1,120.96890258789062,270.7250061035156,2.237971911060521,20.931029685394098
2,121.05999755859375,272.7250061035156,2.2528086205479654,19.15249039281463
3,119.7699966430664,266.6400146484375,2.2262671964754834,22.101364528563867
4,120.04000091552734,266.7699890136719,2.2223424440108013,22.627796732476273
5,122.26000213623047,270.3999938964844,2.211679937606955,24.394830094657838
6,121.72000122070312,271.0,2.2264212724466037,22.482029400646528
7,121.04010009765625,269.0899963378906,2.2231475033545607,22.739127501408465
8,119.87000274658203,267.6199951171875,2.2325852088529996,21.364508595229953
9,119.91999816894531,269.6600036621094,2.2486658420575343,19.446043770218186
10,120.55999755859375,270.9700012207031,2.247594614366246,19.691946789738328
11,120.44000244140625,270.0299987792969,2.2420291705877853,20.340229465121926
12,120.88999938964844,275.989990234375,2.282984462137465,15.474224228224562
13,122.6500015258789,278.79998779296875,2.2731348090048127,16.942962533342953
14,123.29000091552734,277.8599853515625,2.253710627692666,19.43886555286304
15,123.52999877929688,277.92999267578125,2.2498987729477835,19.95231630848753
16,123.55999755859375,277.0799865722656,2.242473227962559,20.875252353508817
17,124.27999877929688,279.07000732421875,2.2454941266921504,20.63562438888329
18,125.36000061035156,281.1499938964844,2.2427408465828336,21.181226997609034
19,126.25489807128906,285.0350036621094,2.2576154114921234,19.471799739320662
20,127.08999633789062,286.0199890136719,2.250531098082956,20.51701925483002
21,127.48500061035156,285.4549865722656,2.2391260556584034,22.04231538685531
22,127.5999984741211,285.2799987792969,2.2357366942849555,22.496874138195043
23,127.8499984741211,285.114990234375,2.230074256059431,23.26965692606132
24,127.41999816894531,284.92999267578125,2.236148146054707,22.409282044878754
25,127.45999908447266,285.7799987792969,2.2421151799153822,21.65652204597001
26,126.7699966430664,286.82501220703125,2.262562276582019,18.9340457724137
27,127.0999984741211,285.7200012207031,2.247993742335715,20.84132321089999
28,126.8550033569336,286.32501220703125,2.257104604706799,19.640705337077012
29,126.68000030517578,285.9049987792969,2.256907152593491,19.635269375631086
30,126.44000244140625,285.1700134277344,2.2553781075722887,19.786796647350403
31,126.93000030517578,286.2900085449219,2.255495216706841,19.858033852950545
32,127.19000244140625,287.2799987792969,2.2586680813347786,19.500134024621108
33,128.92999267578125,290.0299987792969,2.2495153591502324,20.980219014332878
34,129.47999572753906,292.67999267578125,2.260426338688326,19.667335871445406
35,129.9199981689453,292.239990234375,2.24938419298892,21.17702691572919
