,shw,lin,Ratio,Spread
0,341.4800109863281,341.6099853515625,1.0003806207129342,74.39396091924023
1,343.2300109863281,342.25,0.9971447398101585,75.89212437959965
2,344.0799865722656,342.35418701171875,0.9949843070568,76.82645119123141
3,344.6300048828125,342.6199951171875,0.9941676298141583,77.23266429207628
4,345.79998779296875,343.18939208984375,0.9924505616099444,78.09277123151294
5,345.739990234375,343.4700012207031,0.9934344042407907,77.73885611987278
6,345.54998779296875,343.5,0.9940674638536032,77.47670930581428
7,347.95001220703125,344.1600036621094,0.9891076062309008,79.74909402240583
8,349.32000732421875,344.95001220703125,0.9874899947739566,80.63296751675763
9,348.2799987792969,343.7449951171875,0.9869788570173299,80.56728546162215
10,348.635009765625,343.3599853515625,0.9848694931194412,81.38605335258957
11,348.25,343.70001220703125,0.9869347084193287,80.575615381388
12,347.8349914550781,343.69000244140625,0.988083461654239,80.0785610408898
13,348.4100036621094,343.8800048828125,0.9869980806185746,80.59111774997793
14,349.4100036621094,344.7699890136719,0.9867204298680454,80.92294968128824
15,350.6700134277344,344.5199890136719,0.9824620749463373,82.71244985141949
16,350.0299987792969,344.3299865722656,0.9837156465819799,82.12047211534095
17,350.9649963378906,344.8800048828125,0.9826621129782988,82.71284883997335
18,350.7699890136719,345.260009765625,0.9842917597838391,82.09458087618965
19,351.80999755859375,346.0299987792969,0.983570680710021,82.59529100749701
20,351.55999755859375,345.4200134277344,0.982535031933387,82.8998223435171
21,351.0249938964844,344.4049987792969,0.9811409579594218,83.26116092426976
22,350.5199890136719,344.32000732421875,0.982312045293339,82.7291293020535
23,350.1700134277344,344.55999755859375,0.9839791653939026,82.0615332754128
24,350.19000244140625,344.1499938964844,0.9827521959427369,82.49595983549342
25,350.6300048828125,345.1099853515625,0.9842568535083159,82.07357043071933
26,351.3699951171875,345.32000732421875,0.9827817176280206,82.76768041227116
27,350.4100036621094,344.2900085449219,0.9825347591300823,82.62474621220794
28,351.0400085449219,344.95001220703125,0.9826515605354104,82.73449263516416
29,350.5899963378906,345.1300048828125,0.9844262770982891,82.00466781665973
30,352.0950012207031,345.739990234375,0.9819508627947131,83.23352160456132
31,352.8949890136719,346.56500244140625,0.9820626906889279,83.38594733251894
32,351.92999267578125,346.20001220703125,0.9837184082402752,82.57188954132427
33,352.6499938964844,346.7900085449219,0.9833829988572674,82.86160225967053
34,352.1499938964844,346.4700012207031,0.9838705302449873,82.57070155280441
35,341.8500061035156,343.8999938964844,1.005996746398618,72.5560183514224
36,336.9599914550781,340.7699890136719,1.011306973098323,69.71132479252897
37,338.4599914550781,339.489990234375,1.0030431921210798,72.82404766508036
38,335.7650146484375,338.79559326171875,1.009025891564237,70.22567868820836
39,338.45001220703125,339.1650085449219,1.0021125611230686,73.13683654898144
40,338.6690979003906,339.010009765625,1.0010066222969498,73.55951774741636
41,339.1199951171875,338.7200012207031,0.9988204945085997,74.40043975420828
42,336.1700134277344,342.8999938964844,1.0200195740248459,66.61611206714674
43,334.4599914550781,341.42999267578125,1.0208395664616863,65.99678097499539
44,334.3550109863281,342.55999755859375,1.0245397445908209,64.73850926925003
45,334.4100036621094,342.67999267578125,1.024730088583199,64.68570508663375
46,334.25,343.260009765625,1.0269559005703066,63.91019295241883
47,334.7900085449219,344.5199890136719,1.0290629356325143,63.31000481826637
48,335.7099914550781,344.79998779296875,1.0270769311884094,64.15405593551999
49,338.0799865722656,349.3900146484375,1.0334537048195083,62.45972718149462
50,341.0899963378906,350.07000732421875,1.026327394771884,65.45741278464159
51,342.1549987792969,351.5400085449219,1.0274291177948818,65.28864865309852
52,340.8599853515625,351.0199890136719,1.0298069708934312,64.22639997761725
53,339.07000732421875,349.1499938964844,1.0297283344280792,63.90937119006539
54,337.010009765625,347.9700012207031,1.0325212638719552,62.57242576072647
55,336.42999267578125,346.55999755859375,1.0301102907093507,63.27375522613183
56,335.489990234375,342.6700134277344,1.0214016018431529,66.01522927560235
57,335.57000732421875,341.6000061035156,1.0179694211272905,67.18300276544029
58,335.510009765625,341.7200012207031,1.0185091093389917,66.98970166747195
59,335.2300109863281,340.57000732421875,1.0159293504844005,67.79758855802352
60,334.5899963378906,339.9599914550781,1.016049478992087,67.62562424967929
61,334.0707092285156,338.7550048828125,1.014021868798718,68.1961374908329
62,333.55999755859375,338.0199890136719,1.0133708822632266,68.30715763852551
63,327.67999267578125,334.2799987792969,1.0201416206391518,64.86286346144409
64,327.2300109863281,335.3399963378906,1.0247837456201452,63.25307104699427
65,326.42999267578125,335.4800109863281,1.027724224224505,62.13558117670075
66,325.04998779296875,335.3999938964844,1.0318412751644457,60.529486134851616
67,324.5299987792969,336.2799072265625,1.0362059239252528,59.014241875717424
68,324.6400146484375,336.7699890136719,1.037364384604191,58.65857924461758
69,323.2300109863281,336.3800048828125,1.040683084644144,57.32579825339368
70,321.95001220703125,331.75,1.0304394701705022,60.39188006810368
71,322.8949890136719,333.3999938964844,1.032533812044905,59.89647401235063
72,320.70849609375,332.2200012207031,1.0358939824393927,58.404974518751054
73,322.2749938964844,332.94500732421875,1.033108412473236,59.593940591969805
74,322.8999938964844,334.2799987792969,1.0352431251096919,59.0225841757477
75,322.07000732421875,333.0899963378906,1.034216129298182,59.19849569177469
76,323.2699890136719,335.4200134277344,1.037584758335079,58.334635504414244
77,320.67999267578125,333.2850036621094,1.039307132575222,57.30514614344386
78,320.94000244140625,334.0899963378906,1.0409733713356133,56.81783757562422
79,320.2149963378906,333.9100036621094,1.0427681635177628,56.112006148959004
80,321.5809020996094,334.6000061035156,1.0404846927131064,57.09088930663082
