,cmcsa,chtr,Ratio,Spread
706,42.0099983215332,490.6400146484375,11.679124833407778,-36.0550313666935
707,42.1150016784668,490.44000244140625,11.645256628166441,-34.691084723919545
708,42.290000915527344,492.7300109863281,11.65121778953227,-35.041273017453676
709,42.78499984741211,491.69000244140625,11.492111819445212,-28.51433225148932
710,42.54499816894531,486.6000061035156,11.437302316273161,-26.08469103329483
711,42.400001525878906,482.75250244140625,11.3856718176474,-23.84443680454237
712,42.39390182495117,482.1600036621094,11.373333968007902,-23.31955159651457
713,42.290000915527344,481.6300048828125,11.388744252922812,-23.94126691393805
714,42.55220031738281,484.4200134277344,11.384135480999936,-23.824864447222154
715,42.61000061035156,485.8999938964844,11.403426119136011,-24.66414395795519
716,42.650001525878906,481.95001220703125,11.300117115226751,-20.270762701067696
717,42.82500076293945,484.6700134277344,11.317454869660281,-21.050943670383077
718,42.665000915527344,480.6300048828125,11.265205544807426,-18.7844911102886
719,42.540000915527344,479.94000244140625,11.282087261691276,-19.480080603432185
720,42.244998931884766,475.25,11.249852337936765,-18.06009711571673
721,42.244998931884766,474.9599914550781,11.242987417774511,-17.770088570794854
722,42.47999954223633,479.0,11.27589466011523,-19.20517751317746
723,42.60499954223633,476.3900146484375,11.181551925054471,-15.209600227065122
724,42.584999084472656,478.8800048828125,11.245274513987761,-17.921290245157337
725,42.70000076293945,480.95001220703125,11.263466126784275,-18.71653438422979
726,42.650001525878906,479.6499938964844,11.246189372477403,-17.97074439052082
727,42.709999084472656,479.8599853515625,11.235307788288317,-17.5156787793575
728,42.685001373291016,478.8999938964844,11.219397411010583,-16.83278034024326
729,42.72999954223633,479.010009765625,11.21015714713849,-16.444003409702844
730,43.064998626708984,481.760009765625,11.186811218585216,-15.48062717348776
731,43.023101806640625,477.135009765625,11.09020479067316,-11.320042341247783
732,43.0,474.2699890136719,11.029534628224928,-8.711099004932889
733,42.94499969482422,470.95001220703125,10.96635267327271,-6.00078603228698
734,42.814998626708984,467.8599853515625,10.927478695741465,-4.351786628524875
735,43.679901123046875,476.9599914550781,10.919438441755519,-3.8645773472582317
736,43.36000061035156,475.94000244140625,10.976475916556666,-6.390600895578158
737,39.84000015258789,443.04998779296875,11.120732582732922,-12.51886019825278
738,39.064998626708984,435.2699890136719,11.14219900973131,-13.329548327128832
739,39.875,437.0350036621094,10.960125483689263,-6.1159120171158445
740,39.880001068115234,435.92999267578125,10.931042652963091,-4.9554655136309105
741,39.79499816894531,431.20001220703125,10.835532907337218,-1.1677196969064578
742,39.7599983215332,435.94000244140625,10.964286238546194,-6.295673981559018
743,39.400001525878906,435.5799865722656,11.055329180283554,-9.926127364597361
744,37.334999084472656,437.6300048828125,11.721709270506437,-34.86615149624973
745,36.744998931884766,435.25,11.84514934418246,-39.026142235908736
746,37.03499984741211,437.92999267578125,11.824760212774308,-38.491551475156
747,37.04499816894531,434.05499267578125,11.716966233774793,-34.50572272575246
748,37.3650016784668,433.30999755859375,11.596680800052189,-30.213573354000147
749,37.74570083618164,434.6050109863281,11.514026799304565,-27.288637322377696
750,37.494998931884766,431.82000732421875,11.516736088156287,-27.28259795282858
751,37.14500045776367,428.30499267578125,11.530622893995988,-27.64722380716651
752,37.41080093383789,426.3399963378906,11.396173984403209,-22.7358995024924
753,37.48139953613281,427.92498779296875,11.416995979043968,-23.538324126127833
754,37.33660125732422,427.57330322265625,11.45185391342444,-24.791690173846433
755,37.31999969482422,424.4100036621094,11.372186686297571,-21.81241454210695
756,37.34000015258789,424.6499938964844,11.372522553861145,-21.830704992764737
757,37.5099983215332,426.55999755859375,11.371901270220008,-21.856323920643234
758,37.494998931884766,438.1400146484375,11.68529209573746,-33.60260527704733
759,37.70000076293945,435.3252868652344,11.547089603594275,-28.51548642442569
760,37.86000061035156,440.5,11.63497075801842,-31.916643574363917
761,37.95500183105469,441.364990234375,11.62863835968126,-31.72857040730983
762,37.8849983215332,439.05999755859375,11.589283806541424,-30.199548116993782
763,37.83700180053711,440.1199951171875,11.631999740289672,-31.791574414616633
764,37.689998626708984,437.510009765625,11.608119546483186,-30.81108035912993
765,38.01750183105469,444.6600036621094,11.696192075905623,-34.33078786776932
766,38.26539993286133,456.2099914550781,11.92225854833669,-43.132890777110134
767,38.18000030517578,456.7550048828125,11.963200660867821,-44.62453648752168
768,38.3849983215332,460.17999267578125,11.988537522421348,-45.77717549598199
769,38.279998779296875,456.6499938964844,11.929206072583685,-43.41106886751774
770,38.53499984741211,456.7900085449219,11.853899321491719,-40.724464129698816
771,38.4900016784668,451.9599914550781,11.742269985608413,-36.39323983953611
772,38.8849983215332,462.16668701171875,11.885475297957937,-42.221502093720204
773,38.900001525878906,458.6499938964844,11.790487812484002,-38.5385024270154
774,38.880001068115234,456.4549865722656,11.74009706873686,-36.56519488651381
775,38.81999969482422,457.69000244140625,11.790056827394283,-38.465310106806015
776,39.06999969482422,458.2900085449219,11.729972155736506,-36.29413234122197
777,39.108001708984375,460.2099914550781,11.767668286394521,-37.792872976842574
778,38.939998626708984,459.4599914550781,11.799178419588696,-38.90514270308486
779,38.32780075073242,461.6199951171875,12.043999031391495,-47.8511978796075
780,38.11000061035156,459.8999938964844,12.067698413302173,-48.545453601748676
781,37.994998931884766,460.6300048828125,12.123437763706832,-50.55022777322304
782,38.154998779296875,461.7200012207031,12.101166714523265,-49.86666812628633
783,38.040000915527344,461.2699890136719,12.125919503471636,-50.69137681949124
784,38.224998474121094,462.8399963378906,12.108306469946372,-50.210735142918764
785,38.27000045776367,463.05999755859375,12.099816880578446,-49.931901279030654
786,39.244998931884766,475.0849914550781,12.10561866187473,-51.14929499999053
787,39.20500183105469,476.4100036621094,12.151765882197717,-52.91766448954601
788,38.97999954223633,468.75421142578125,12.025505821719367,-47.75596310635362
789,38.95000076293945,467.70001220703125,12.007702260484761,-47.03429242072437
790,38.834999084472656,467.2099914550781,12.030642525285447,-47.819034853917486
791,38.6349983215332,464.67999267578125,12.027436595404017,-47.50599162688238
792,38.595001220703125,464.3500061035156,12.031350988905503,-47.619362337140984
793,38.04999923706055,455.3160095214844,11.966255417897838,-44.6265685779002
794,38.1349983215332,451.2349853515625,11.832568643297131,-39.603352040862916
795,38.15999984741211,450.20001220703125,11.797694287400853,-38.291243595457644
796,38.21500015258789,450.875,11.798377553309184,-38.35656755443168
