,schw,jpm,Ratio,Spread
0,80.02999877929688,152.97500610351562,1.9114708039092092,-18.50546629456368
1,79.47000122070312,152.3699951171875,1.917327202424817,-18.85329113211721
2,79.75499725341797,153.01010131835938,1.918501743936829,-19.00847659485449
3,79.70500183105469,152.99000549316406,1.919453007697643,-19.073447978840324
4,79.94000244140625,153.3800048828125,1.9186890192458486,-19.063593839235313
5,80.0,153.52000427246094,1.9190000534057616,-19.101507385300597
6,80.66999816894531,153.9499969482422,1.9083922206844268,-18.39149820302133
7,82.52999877929688,155.75,1.8871925639610063,-17.026710289555627
8,82.3499984741211,156.39999389648438,1.899210647170004,-17.98297469820405
9,82.89140319824219,156.72000122070312,1.890666524801049,-17.381781905663747
10,82.88999938964844,156.69500732421875,1.8903970138499882,-17.35917658944631
11,83.06999969482422,156.28199768066406,1.8813289786300722,-16.639896433727603
12,83.1449966430664,156.22500610351562,1.878946568176252,-16.455297552100195
13,83.2300033569336,156.10000610351562,1.8755256494953811,-16.18565863180469
14,83.5999984741211,156.77000427246094,1.8752393197828834,-16.2261101234344
15,84.11000061035156,156.8000030517578,1.8642254418490656,-15.388340288030765
16,84.16999816894531,156.49000549316406,1.859213602203705,-14.976256885853832
17,84.41999816894531,156.58999633789062,1.854892202491112,-14.650872740431158
18,84.10919952392578,156.35000610351562,1.858893046045934,-14.939706388310487
19,84.25,156.55999755859375,1.858278902772626,-14.910125838896295
20,84.37000274658203,156.69000244140625,1.857176690061848,-14.83594605312793
21,85.37999725341797,157.75,1.8476224534392907,-14.177437998137169
22,85.66000366210938,157.6199951171875,1.840065239069196,-13.571002221969355
23,85.47000122070312,157.64999389648438,1.8445067467519507,-13.924290147832284
24,85.56999969482422,157.64500427246094,1.8422929161468284,-13.749153124032052
25,85.5199966430664,157.8000030517578,1.8451825215845767,-13.989232093924574
26,85.47000122070312,157.52000427246094,1.8429858666517178,-13.794300523808847
27,85.13999938964844,157.25999450683594,1.8470753539370597,-14.095788860720337
28,85.5,157.67999267578125,1.8442104406524122,-13.903246005337582
29,85.38999938964844,157.8249969482422,1.8482843199009886,-14.23541631197735
30,85.69000244140625,158.14999389648438,1.845606131294317,-14.049958079474653
31,85.62000274658203,157.91000366210938,1.8443120602260572,-13.929072323084842
32,85.69999694824219,158.05999755859375,1.8443407606426496,-13.942956088596492
33,85.57499694824219,157.72779846191406,1.8431528377069253,-13.823444486991423
34,85.81999969482422,158.14999389648438,1.8428104691081975,-13.828767757906252
35,86.02999877929688,159.4499969482422,1.8534232152821306,-14.77145737570844
36,85.55000305175781,159.0399932861328,1.859029662335763,-15.178166425093497
37,85.44000244140625,158.55999755859375,1.8558051618424558,-14.885336731733265
38,85.61000061035156,158.92999267578125,1.8564419056500296,-14.966079971158752
39,85.52999877929688,158.72000122070312,1.8557231788377202,-14.892211628467852
40,85.56500244140625,158.80999755859375,1.8560158128592898,-14.922649236658646
41,85.5199966430664,158.67999267578125,1.85547239130588,-14.869221717948012
42,85.1449966430664,158.82989501953125,1.8654049125793841,-15.657186546921867
43,84.9186019897461,158.4199981689453,1.865551180271132,-15.63250019003981
44,84.80000305175781,158.27999877929688,1.8665093523957828,-15.69429688870527
45,84.9000015258789,158.5749969482422,1.8677855606387233,-15.819147657873788
46,84.72000122070312,158.53990173339844,1.8713397007678023,-16.090322955194086
47,85.05000305175781,158.92999267578125,1.868665337719779,-15.918915795040409
48,85.0,158.60000610351562,1.8658824247472428,-15.674009413370431
49,85.0199966430664,158.97500610351562,1.8698542975828314,-16.01498512598089
50,84.9749984741211,159.0800018310547,1.8720800787010554,-16.196545236207317
51,84.83000183105469,158.66000366210938,1.8703288958792277,-16.023258849726194
52,84.62999725341797,158.72000122070312,1.875457950747988,-16.423564189288033
53,84.81999969482422,158.8800048828125,1.873143190927263,-16.260278704831354
54,84.7699966430664,158.6699981689453,1.8717707261101255,-16.135352181559814
55,84.5,158.44000244140625,1.8750296146911982,-16.36475573155956
56,84.1500015258789,158.27369689941406,1.880851978959735,-16.793972579493403
57,84.05999755859375,158.36000061035156,1.883892519744213,-17.033418037220162
58,83.86000061035156,158.1199951171875,1.88552341958449,-17.13370734360969
59,84.12000274658203,158.6199951171875,1.8856394429163585,-17.191313719058417
60,84.16000366210938,158.72999572753906,1.88605024739326,-17.233252773216368
61,84.19999694824219,158.74000549316406,1.885273292714508,-17.175213964062255
62,84.0999984741211,158.33999633789062,1.8827586113050212,-16.945352208565613
63,85.1500015258789,161.72000122070312,1.899236621523171,-18.53877694018549
64,85.11000061035156,162.0500030517578,1.9040066019227402,-18.93684032743379
65,85.16500091552734,162.25,1.9051253244385096,-19.043254258586575
66,85.33000183105469,162.02999877929688,1.8988631817927404,-18.54250398661522
67,85.49500274658203,161.67999267578125,1.8911045965460829,-17.911748831831336
68,85.60299682617188,161.62179565429688,1.888038989832227,-17.669799888180155
69,85.83999633789062,161.7100067138672,1.8838538398502562,-17.354756287899495
70,88.75,166.83999633789062,1.8798872826804578,-17.53337479550682
71,89.30000305175781,167.27999877929688,1.8732362045087756,-17.03754706601892
72,89.84500122070312,167.89999389648438,1.8687739063416575,-16.730227820220552
73,89.94999694824219,167.8800048828125,1.8663703232742936,-16.53158858027813
74,90.3550033569336,168.33599853515625,1.8630512122297278,-16.298463844191918
75,90.49500274658203,168.1605987548828,1.8582307713254829,-15.884855107948074
76,89.95999908447266,167.7899932861328,1.8651622387031996,-16.424558349196406
77,89.94999694824219,167.48500061035156,1.861978947111288,-16.13658430781719
78,90.11000061035156,167.14999389648438,1.8549549746344436,-15.529331369175527
