,t,tmus,Ratio,Spread
0,19.966917037963867,110.23999786376953,5.521132664304959,27.267609043949385
1,19.966012954711914,110.20999908447266,5.519880175098427,27.291053340819154
2,19.987991333007812,109.125,5.4595280827340025,28.53539272277572
3,19.848941802978516,109.41999816894531,5.512636353869799,27.232304094126242
4,19.845165252685547,110.03500366210938,5.544675605420766,26.589919117405962
5,19.882930755615234,110.12999725341797,5.538921731763091,26.768720361659398
6,19.860271453857422,109.7300033569336,5.525100883534044,27.004437356806555
7,19.837614059448242,105.45999908447266,5.31616346443862,31.110178555952295
8,19.89055824279785,105.625,5.3103084745369395,31.329015875047695
9,20.064199447631836,104.56999969482422,5.211770345871764,33.642891646884856
10,19.939577102661133,105.37000274658203,5.2844652724615395,31.939393293816373
11,19.99501609802246,105.375,5.270063273938637,32.33632132779464
12,19.981117248535156,104.9800033569336,5.253960629485312,32.63055317456104
13,19.992446899414062,105.7699966430664,5.290497815260737,31.92269833909682
14,19.830060958862305,106.27999877929688,5.3595396907642385,30.23541989401567
15,19.792295455932617,107.43499755859375,5.428122159847345,28.806626279156767
16,19.822507858276367,109.13999938964844,5.505862334370567,27.320660316551702
17,19.845165252685547,109.16000366210938,5.500584261818495,27.464919117405962
18,19.886707305908203,109.61000061035156,5.511721921797843,27.31609648828202
19,19.8975830078125,110.19000244140625,5.5378586634437825,26.81494203866037
20,19.89426040649414,110.97000122070312,5.577990784944127,26.010854845042836
21,19.89803695678711,111.73500061035156,5.61537808242131,25.273234938950615
22,19.95090675354004,110.92060089111328,5.559677174644295,26.470933599953717
23,19.96978759765625,111.22000122070312,5.569413328850651,26.308416860122882
24,19.9768123626709,110.73500061035156,5.543176689053423,26.844346075493398
25,19.981117248535156,111.20999908447266,5.565754792446635,26.400557447021974
26,19.962310791015625,111.25,5.5730021020447165,26.224212234593544
27,19.984893798828125,110.87000274658203,5.547690363662739,26.767933268468788
28,20.143505096435547,109.91500091552734,5.456597567767743,28.872845752839957
29,20.313444137573242,110.44000244140625,5.436793568508074,29.579879502924136
30,20.319108963012695,111.02999877929688,5.4643143546012345,29.030952390367837
31,20.381420135498047,111.68000030517578,5.479500425520605,28.832698515144266
32,20.336103439331055,111.30999755859375,5.473516492019537,28.874161287073854
33,20.256797790527344,110.95999908447266,5.477667311087082,28.64920443453672
34,20.256797790527344,110.12999725341797,5.436693321040006,29.479206265591408
35,20.1812686920166,108.38999938964844,5.370821876650691,30.6716282862589
36,20.298337936401367,107.55000305175781,5.298463518970511,32.36036095834779
37,20.377643585205078,107.87000274658203,5.293546444442655,32.6153165901818
38,20.411630630493164,107.27999877929688,5.255826970483685,33.451722081450775
39,20.441843032836914,107.7699966430664,5.272029360070382,33.18076008613087
40,20.441843032836914,108.4800033569336,5.306762368866442,32.47075337226368
41,20.536252975463867,108.51000213623047,5.283826716873577,33.12521402582785
42,20.385196685791016,107.86499786376953,5.291339569902413,32.675080440106704
43,20.569561004638672,107.11499786376953,5.207451818714744,34.76169704644129
44,20.460725784301758,106.73999786376953,5.2168236351451664,34.34765628320874
45,20.504606246948242,106.44999694824219,5.191516270354396,34.95578467282396
46,20.630664825439453,107.2249984741211,5.197360307162913,35.094690948820265
47,20.672204971313477,107.16999816894531,5.1842557829541445,35.45085174509227
48,20.634441375732422,106.91999816894531,5.181627950184824,35.42707073755226
49,20.385196685791016,105.72000122070312,5.1861163201036256,34.82007708317311
50,20.61178207397461,105.5,5.118431760114968,36.68279200516036
51,20.653324127197266,106.3499984741211,5.149292085823339,36.13396785015748
52,20.623111724853516,105.88999938964844,5.134530656789164,36.374931066180515
53,20.599472045898438,105.45999908447266,5.119548639377426,36.63354686671209
54,20.645771026611328,105.40499877929688,5.105403844856911,37.024208577869295
55,20.626888275146484,105.37000274658203,5.108380931773565,36.92230719280314
56,20.581571578979492,107.08000183105469,5.202712602395161,34.88376813367807
57,20.632326126098633,107.70500183105469,5.220206445593861,34.626731799047
58,20.649547576904297,107.20999908447266,5.1918812596350925,35.24658775624973
59,20.626888275146484,106.45999908447266,5.161224401101121,35.832310854912514
60,20.600452423095703,106.05000305175781,5.147945339921875,36.05065050273395
61,20.495315551757812,104.69499969482422,5.108240438183685,36.64342563108928
62,20.40030288696289,104.08000183105469,5.10188512434139,36.56959440704636
63,20.2379150390625,104.41000366210938,5.159128470525789,35.06230243911897
64,20.347431182861328,104.44000244140625,5.132834779133015,35.82628102690796
65,20.336103439331055,103.66000366210938,5.097338532495153,36.52415518355823
66,20.173715591430664,102.7300033569336,5.092269834545053,36.27686535186134
67,20.120845794677734,102.20999908447266,5.079806292810451,36.41357068255743
68,20.0,101.72000122070312,5.086000061035156,36.027452728572506
69,20.10573959350586,101.58999633789062,5.052785840850348,36.924055494914676
70,19.848941802978516,105.23999786376953,5.302045766892082,31.412304399302023
71,19.792295455932617,104.27999877929688,5.268716759583315,31.96162505845364
72,19.560422897338867,102.76000213623047,5.253465258678566,31.800576723257244
73,19.581268310546875,104.23999786376953,5.323454855456105,30.471707448135213
74,19.592145919799805,104.5999984741211,5.3388740009542515,30.190568047238706
75,19.724319458007812,105.41999816894531,5.344670998326697,30.328808792815572
76,19.901813507080078,106.66999816894531,5.359812970360586,30.365616863913054
77,19.611026763916016,105.87000274658203,5.398493613877535,29.057447364536777
78,19.743202209472656,105.37999725341797,5.33753319929314,30.505707126123916
79,19.830060958862305,105.43499755859375,5.316927556466917,31.080421114718796
80,19.860271453857422,105.9800033569336,5.336281712118759,30.754437356806555
81,19.988670349121094,106.36000061035156,5.32101429223021,31.305314888255474
