,pg,cost,Ratio,Spread
0,162.8699951171875,540.760009765625,3.320194179268807,20.58943362606196
1,162.82000732421875,536.5250244140625,3.295203293694096,24.65106615989525
2,163.36000061035156,537.60498046875,3.290921758448401,25.44375444788811
3,163.07000732421875,538.239990234375,3.3006682164687495,23.803076092231137
4,163.27000427246094,537.969970703125,3.2949712539075704,24.766665642399786
5,163.19000244140625,537.4400024414062,3.293339018328499,25.01919531335095
6,162.72999572753906,536.1599731445312,3.294782690477242,24.70396594231265
7,161.11000061035156,511.9750061035156,3.177797803761044,43.270947039286554
8,161.25999450683594,510.44500732421875,3.1653542398116636,45.32111010377234
9,161.24000549316406,509.5820007324219,3.160394339939576,46.11479673487774
10,161.2899932861328,513.9299926757812,3.186372459970629,41.94015760924758
11,161.19000244140625,514.77001953125,3.1935604673644242,40.75337220231977
12,160.25999450683594,515.239990234375,3.2150256326908666,37.05822418302232
13,160.52000427246094,518.7999877929688,3.2319958508870714,34.39991527342333
14,157.74000549316406,512.5700073242188,3.2494610718549257,30.989129606002777
15,157.0500030517578,518.3499755859375,3.3005410093185974,22.816299800414228
16,157.8800048828125,516.22998046875,3.269761619604238,27.81466076631459
17,158.1699981689453,518.1699829101562,3.276032047219764,26.880326914940312
18,157.82000732421875,519.5499877929688,3.292041336214281,24.286587728020365
19,158.58999633789062,521.4000244140625,3.2877232893250823,25.10679832556336
20,158.6699981689453,522.1900024414062,3.291044359157298,24.5942588889872
21,158.8000030517578,529.4600219726562,3.3341310566605524,17.775083682234524
22,158.8343963623047,525.8699951171875,3.3108067720902636,21.484383202893056
23,158.9600067138672,526.639892578125,3.3130339100078974,21.15009025830095
24,158.69000244140625,525.4500122070312,3.311172752682043,21.4036220000542
25,158.6519012451172,526.0701293945312,3.3158766158229196,20.65137355923609
26,158.4600067138672,525.6300048828125,3.317114619538972,20.426026448316563
27,159.0,525.7899780273438,3.306855207719143,22.138697646465673
28,158.3699951171875,522.7899780273438,3.3010670843331145,22.95390181667146
29,158.5850067138672,522.0800170898438,3.292114607226557,24.409502117609506
30,158.27000427246094,516.7849731445312,3.265211089872019,28.6121481480249
31,158.39999389648438,518.75,3.274936994877709,27.097912701052948
32,158.02999877929688,517.719970703125,3.276086658876506,26.8448348171285
33,158.3699951171875,518.5689697265625,3.274414255950706,27.17491011745271
34,158.33999633789062,516.97998046875,3.26499932061093,28.659866518227474
35,158.52000427246094,510.0400085449219,3.217511953054679,36.22408850028266
36,159.11500549316406,505.0400085449219,3.17405644413983,43.287495024866004
37,160.19000244140625,504.8999938964844,3.1518820538202124,47.15549482649162
38,159.7899932861328,502.9599914550781,3.1476313448141746,47.70830431406016
39,159.50999450683594,502.07000732421875,3.1475771087353532,47.627279835233296
40,159.8300018310547,502.8699951171875,3.1462803563547275,47.93704640533478
41,159.8000030517578,502.989990234375,3.1476219063116098,47.713018431109546
42,156.35499572753906,493.17498779296875,3.154200385463635,45.58106960134016
43,157.05999755859375,492.2799987792969,3.134343603918903,48.92093658740059
44,156.3300018310547,492.4508972167969,3.150072867964186,46.21848376864732
45,156.63999938964844,489.0899963378906,3.1223825219844334,50.65442611427754
46,156.60679626464844,489.70001220703125,3.126939723481039,49.929265027988365
47,156.4499969482422,488.5848083496094,3.1229454642383034,50.50070406398588
48,156.77000427246094,488.05999755859375,3.113223092794984,52.135269218071855
49,162.47500610351562,491.4800109863281,3.024957639781209,68.49964881569467
50,163.42999267578125,488.8299865722656,2.991066563540913,74.46147403879381
51,163.4499969482422,492.510009765625,3.01321516648044,70.85082372212644
52,162.86000061035156,494.5,3.0363502280901318,66.81478341134122
53,162.55999755859375,492.67999267578125,3.030757874477685,67.59440924918174
54,162.72500610351562,493.7799987792969,3.034444493830189,67.06663677537442
55,162.0,490.1600036621094,3.0256790349512923,68.17238104348125
56,162.6417999267578,493.94000244140625,3.036980669568594,66.61808216238664
57,163.19000244140625,499.4200134277344,3.060359127128834,63.039184327022824
58,163.28500366210938,498.4700012207031,3.0527604497728538,64.31865155334053
59,163.16000366210938,494.3132019042969,3.0296224001562164,68.04196299342259
60,163.24000549316406,492.6600036621094,3.0180102124704984,69.97259982637767
61,162.65499877929688,487.2149963378906,2.995389013521695,73.38886060635882
62,161.92999267578125,482.8299865722656,2.981720548453277,75.25961952290315
63,164.63999938964844,488.5899963378906,2.9676263250072035,78.89765019902738
64,163.8000030517578,491.5899963378906,3.0011598728881412,72.98462436996878
65,163.22999572753906,485.37860107421875,2.973587047593906,77.21928951792204
66,163.02000427246094,485.17999267578125,2.9761991164279644,76.68966791709515
67,163.02000427246094,484.9649963378906,2.9748802823446865,76.90466425498578
68,162.30999755859375,482.5,2.9727065939103228,76.9074261723146
69,162.5800018310547,481.6000061035156,2.9622339812984575,78.74376869813936
70,162.5,483.04998779296875,2.9726153094951924,77.01634841791876
71,161.32000732421875,478.3299865722656,2.965100203664909,77.64424948580147
72,160.658203125,470.2300109863281,2.926896989010054,83.4491522968447
73,159.8000030517578,473.42999267578125,2.962640698588982,77.2730159897033
74,159.08999633789062,476.44000244140625,2.9947829116137332,71.8007718035165
75,160.1699981689453,482.2349853515625,3.01076975004337,69.7511304947215
76,161.3000030517578,488.75,3.0300681385800736,67.15486318137509
77,159.27999877929688,478.57501220703125,3.0046146149847672,70.32467207646441
78,159.7100067138672,475.79998779296875,2.979149507177726,74.59092230140247
79,159.5399932861328,477.7799987792969,2.9947349811053643,72.02132123719291
80,159.25,477.40380859375,2.9978261136185242,71.39184283270781
81,159.5,478.9700012207031,3.002946716117261,70.69262595840318
