,hd,bkng,Ratio,Spread
0,378.45849609375,2210.4599609375,5.840693190277686,326.47140514529843
1,379.8436584472656,2208.75,5.814892392909712,337.4911626779663
2,380.8874206542969,2365.75,6.211152880649253,187.5063792094593
3,385.9305114746094,2385.179931640625,6.180335217671815,201.97149938633905
4,387.325439453125,2402.25,6.202148775437524,194.27686323671836
5,394.17315673828125,2394.510009765625,6.074766809540776,248.04095664153968
6,396.2508544921875,2386.909912109375,6.023734422398414,269.6054415235986
7,400.7574768066406,2384.679931640625,5.950431544390616,302.12482234481837
8,399.87957763671875,2395.919921875,5.99160361235461,284.98439547043796
9,404.8251953125,2399.22998046875,5.926582654067993,314.91426321610385
10,398.61151123046875,2461.419921875,6.174984546424348,210.96161091641764
11,402.7084045410156,2464.929931640625,6.1208802792432735,234.98717724877955
12,397.245849609375,2413.300048828125,6.075079327326397,249.90275348600156
13,395.80218505859375,2429.969970703125,6.139354613071166,223.52983666220283
14,383.9503173828125,2434.580078125,6.3408726804036855,139.26229626553962
15,377.95123291015625,2426.39990234375,6.419875611096461,107.12210378388548
16,377.1806640625,2469.419921875,6.5470480254147105,58.92302403919169
17,379.8436584472656,2436.10009765625,6.413428376334097,110.14106502171629
18,377.4830627441406,2458.97998046875,6.514146522477104,71.3954132733634
19,362.8707275390625,2450.949951171875,6.754333610191893,-18.785332646413252
20,357.7202453613281,2384.2099609375,6.6650126512388015,13.337819121304195
21,350.86279296875,2377.090087890625,6.774984796128963,-25.631841505557503
22,341.0008544921875,2433.639892578125,7.136755994943939,-148.4645920281309
23,340.5326843261719,2345.860107421875,6.888795746768741,-63.831419257402985
24,354.8816833496094,2349.6201171875,6.62085485790707,28.849440824046752
25,350.17022705078125,2329.02001953125,6.651108060062167,17.783431111881356
26,348.5119323730469,2370.6298828125,6.802148398967814,-34.971974859995015
27,347.6827697753906,2359.64990234375,6.78678987707135,-29.564868292206
28,357.5446472167969,2412.93994140625,6.748639534080805,-16.57237174222425
29,357.973876953125,2456.1298828125,6.861198654264145,-56.877422776114116
30,359.65167236328125,2465.639892578125,6.855633052882351,-55.11082373323595
31,364.5582580566406,2440.97998046875,6.6957198925651555,2.5266773685052915
32,355.85711669921875,2437.52001953125,6.8497155322919,-52.49448917901779
33,350.84326171875,2442.929931640625,6.963023658122799,-91.6029564847299
34,348.5802001953125,2483.050048828125,7.123324983567198,-146.9333069074032
35,352.56982421875,2541.3798828125,7.208160506770185,-178.44853099776216
36,355.4279479980469,2626.97998046875,7.391033809426786,-244.83893026628672
37,346.37567138671875,2628.3798828125,7.588234682562296,-307.07997066202546
38,341.6934509277344,2530.010009765625,7.404326898558859,-240.17970836239917
39,342.9322814941406,2545.659912109375,7.423214580493993,-247.50332277329605
40,344.590576171875,2635.159912109375,7.6472199019018126,-325.85778008266965
41,341.49835205078125,2703.260009765625,7.915880101710262,-414.7409848750544
42,339.4010925292969,2623.949951171875,7.731118163520282,-349.5267898475808
43,338.3573913574219,2616.409912109375,7.732681415981085,-349.0015570939831
44,308.41082763671875,2518.219970703125,8.165147734921195,-452.0850738180265
45,300.8802795410156,2469.830078125,8.208680482126168,-454.30864964899314
46,305.55267333984375,2295.0,7.510979939774379,-248.07500661392257
47,308.8790283203125,2281.4599609375,7.386257245576379,-212.1782465555834
48,308.0791320800781,2172.25,7.050948194165171,-108.34445778658116
49,312.39068603515625,2072.0,6.632720156601655,20.883871164528983
50,319.3359375,2163.52001953125,6.775059633027523,-23.9565094955951
51,316.3998107910156,2102.06005859375,6.64368304563297,17.769488582672267
52,316.3022766113281,1985.0400390625,6.275769053353084,134.13397241324222
53,314.84881591796875,1817.1600341796875,5.771532057002029,292.24514162137444
54,308.9668273925781,1899.530029296875,6.148006390612615,170.34179028243082
55,311.2828063964844,2035.469970703125,6.538973335104555,49.96774509789296
56,312.0090026855469,2030.3599853515625,6.507376286824093,59.9585588391233
57,310.88043212890625,2017.4000244140625,6.489311696458109,65.333298954708
58,312.421142578125,1999.949951171875,6.401455210963392,93.13862106564468
59,322.4112854003906,2080.179931640625,6.451945157742623,80.05325898470758
60,324.737060546875,2202.43994140625,6.78222540321459,-26.575013833323254
61,330.0853576660156,2161.139892578125,6.547215265345979,50.67140487942109
62,334.3836669921875,2186.31005859375,6.538327898188971,54.39054951262372
63,323.22576904296875,2161.389892578125,6.686935571312063,4.31751341499333
64,323.57904052734375,2201.9599609375,6.805014185557007,-33.87818658672492
65,311.1355895996094,2159.75,6.941507407684587,-75.30174108886919
66,309.8892822265625,2261.989990234375,7.299348896424937,-185.91827152351422
67,304.8844299316406,2247.929931640625,7.37305585642613,-205.4962602939049
68,308.4172668457031,2276.820068359375,7.382271724424679,-210.64189299090864
69,311.78326416015625,2371.919921875,7.607592178702051,-283.1185859377337
70,302.705810546875,2327.989990234375,7.690602258438901,-300.19900916795285
71,293.7461242675781,2348.449951171875,7.99482872166386,-380.87780048664644
72,296.2583923339844,2367.830078125,7.992448954680234,-383.3727553648761
73,299.8795471191406,2374.969970703125,7.919746423251604,-366.1745518318407
74,299.1729736328125,2298.0,7.68117511450226,-293.9535229553241
75,292.97088623046875,2222.139892578125,7.584848860477059,-259.77818413456424
76,297.10235595703125,2213.199951171875,7.4492844193129235,-223.070275532433
77,305.3063659667969,2167.419921875,7.099163867780977,-122.15038175556398
78,300.998291015625,2169.2099609375,7.20671852859422,-152.89536708147804
79,300.5763244628906,2181.3798828125,7.257324364154353,-167.90136284048933
80,304.6293029785156,2260.110107421875,7.419214387203165,-219.3911665062196
