,nem,ctva,Ratio,Spread
0,59.91960144042969,46.58000183105469,0.7773750277254958,16.068520613661896
1,60.04159927368164,46.63999938964844,0.7767947548674374,16.138241922946428
2,60.119998931884766,46.63999938964844,0.775781773424364,16.221603361695507
3,60.01499938964844,46.80500030517578,0.7798883742594663,15.944957662129214
4,60.119998931884766,46.959999084472656,0.7811044564002366,15.90160366687129
5,60.08000183105469,46.800498962402344,0.7789696660463763,16.018575339871724
6,60.209999084472656,47.0099983215332,0.7807672983947354,15.94730053843312
7,60.709999084472656,47.34000015258789,0.7797727041095557,16.148942853919856
8,60.68000030517578,47.31999969482422,0.7798286001456727,16.13704596085038
9,60.400001525878906,47.29999923706055,0.7831125503663183,15.859326994510193
10,60.470001220703125,47.43000030517578,0.784355868161239,15.80375578242093
11,60.150001525878906,47.31999969482422,0.7866998918439808,15.573504463475816
12,60.21500015258789,47.41999816894531,0.7875113850167004,15.54261826820085
13,60.29999923706055,47.38999938964844,0.7859038140836727,15.662995578940249
14,60.625,47.209999084472656,0.7787216343830541,16.18856539059255
15,60.869998931884766,47.2400016784668,0.7760802120487907,16.419067292689284
16,60.93000030517578,47.364601135253906,0.7773609206962445,16.358266593691404
17,60.86000061035156,47.41999816894531,0.77916525950346,16.22843970397404
18,60.70500183105469,47.29999923706055,0.7791779558577234,16.18363024839031
19,60.72999954223633,47.42499923706055,0.7809155210692459,16.085210022043604
20,60.6150016784668,47.36000061035156,0.7813247430326474,16.027932766476916
21,61.10900115966797,47.470001220703125,0.7768086586241472,16.44319602127556
22,61.10900115966797,47.369998931884766,0.7751722010332749,16.54319831009392
23,61.33000183105469,47.39500045776367,0.7727865488790028,16.753184210863957
24,61.189998626708984,47.2599983215332,0.7723484128483795,16.739322578919563
25,61.38999938964844,47.31999969482422,0.7708095807996261,16.891979675469706
26,61.51499938964844,47.21500015258789,0.7675363833382902,17.129890254341383
27,61.59000015258789,47.130001068115234,0.76522164233401,17.29463677201985
28,61.45000076293945,47.400001525878906,0.7713588435700376,16.875776602204247
29,61.45000076293945,47.25,0.7689178098187512,17.025778128083154
30,61.5,47.150001525878906,0.7666666914777058,17.1789402056338
31,61.790000915527344,47.29999923706055,0.7654960112676488,17.337297072915696
32,61.845001220703125,47.31999969482422,0.7651386330474105,17.375777795761415
33,62.10499954223633,47.36000061035156,0.762579517904078,17.612230051741513
34,62.0099983215332,47.290000915527344,0.7626189678367676,17.581216060763516
35,61.68000030517578,47.71500015258789,0.7735894928097781,16.80533379616957
36,61.220001220703125,47.40999984741211,0.774420106208348,16.621222459996737
37,61.07500076293945,47.04999923706055,0.7703642840658083,16.82704578111653
38,61.02000045776367,46.95000076293945,0.7694198690712387,16.868563074628234
39,61.130001068115234,47.029998779296875,0.7693439875273816,16.905527419489594
40,61.02000045776367,47.02000045776367,0.77056702892537,16.798563379804015
41,60.970001220703125,46.900001525878906,0.7692307788564292,16.865398708259228
42,61.22999954223633,48.29999923706055,0.7888289988266831,15.74185416858503
43,61.025001525878906,47.790000915527344,0.7831216668673251,16.03388049922018
44,61.15999984741211,47.689998626708984,0.7797579912637445,16.277424922910633
45,61.0,47.869998931884766,0.78475408085057,15.927298653086519
46,61.06999969482422,47.7599983215332,0.782053357789372,16.111729119464037
47,60.724998474121094,47.904998779296875,0.788884314253418,15.59989290262744
48,60.43000030517578,47.779998779296875,0.7906668631144216,15.411224803107013
49,61.119998931884766,48.189998626708984,0.7884489441895176,15.73489241771781
50,61.334999084472656,47.77000045776367,0.7788375506776024,16.383497731920862
51,61.68989944458008,48.16999816894531,0.7808409253806525,16.36086141885233
52,61.25680160522461,47.970001220703125,0.7830967331570858,16.10035050474837
53,61.01499938964844,47.83000183105469,0.7839056348359046,15.983244429333164
54,60.5099983215332,47.5099983215332,0.7851594718128789,15.766286215133386
55,60.34000015258789,47.25,0.7830626430313908,15.84552747378151
56,58.40999984741211,47.290000915527344,0.8096216579192913,13.753379828114427
57,58.439998626708984,47.459999084472656,0.8121149931509734,13.615279010002256
58,58.9900016784668,47.66999816894531,0.8081030142832892,13.990091731623524
59,58.599998474121094,47.810001373291016,0.8158703518465934,13.435402685832239
60,58.720001220703125,48.099998474121094,0.8191416463588611,13.273003100580619
61,58.959999084472656,48.15999984741211,0.8168249761743167,13.46818864620064
62,58.689998626708984,47.900001525878906,0.8161527116492433,13.441098641866718
63,59.15999984741211,48.2599983215332,0.8157538614943773,13.580848641920705
64,58.939998626708984,48.400001525878906,0.8211741203527307,13.20692071513743
65,58.849998474121094,48.52000045776367,0.8244690181105108,12.991225674630295
66,59.224998474121094,48.29999923706055,0.8155339887119739,13.609960005239488
67,59.54999923706055,48.349998474121094,0.8119227387669015,13.905530274655456
68,59.369998931884766,48.43000030517578,0.815731870919175,13.634136226356022
69,59.439998626708984,48.41999816894531,0.8146029489843913,13.718568218612456
70,59.380001068115234,47.25,0.7957224511632995,14.824771685891479
71,59.16999816894531,47.40999984741211,0.801250655983537,14.441478214278535
72,59.51499938964844,47.0,0.78971688619684,15.218313820763571
73,59.83000183105469,47.029998779296875,0.7860604603038139,15.523253449706482
74,60.22999954223633,47.28499984741211,0.785073886880133,15.69356526515062
75,60.244998931884766,47.21099853515625,0.7836500850225719,15.783515252823046
76,60.43000030517578,47.38999938964844,0.7842131251088132,15.80122419275545
77,60.255001068115234,47.63999938964844,0.7906397567862263,15.365149552690534
78,60.345001220703125,47.61000061035156,0.788963454259034,15.490844440609786
79,60.18000030517578,47.7400016784668,0.7932868301159001,15.185399830666379
