,tsm,avgo,Ratio,Spread
0,120.77999877929688,583.72998046875,4.833002039811316,174.03735044576936
1,120.21549987792969,580.8699951171875,4.831905999700703,173.32613167183038
2,119.72000122070312,578.989990234375,4.836201005101982,172.07145047362079
3,119.54000091552734,579.4249877929688,4.847122162918653,170.49771228882142
4,119.19000244140625,577.1599731445312,4.842352221850677,170.5485224602028
5,118.9800033569336,576.6400146484375,4.84652881475006,169.73995827006289
6,118.7699966430664,574.489990234375,4.836995928869657,170.56141173185407
7,120.12999725341797,582.5499877929688,4.849329901873396,171.10522151213925
8,119.5,582.1699829101562,4.871715338160303,167.49965833625063
9,119.3499984741211,579.9299926757812,4.859069963050973,168.79069000444807
10,119.30000305175781,587.7000122070312,4.92623635518316,160.7043831284972
11,117.38999938964844,581.2000122070312,4.951018104002836,155.12107713564606
12,117.0,577.7899780273438,4.938375880575587,156.06384800289428
13,116.12999725341797,574.9099731445312,4.9505725199490636,153.4399318147064
14,116.69249725341797,573.8150024414062,4.917325586025189,158.09346094146943
15,117.86000061035156,583.8400268554688,4.9536740525367895,155.45444347041442
16,116.86000061035156,577.5800170898438,4.942495413941331,155.38812714957183
17,118.08000183105469,577.760009765625,4.892953936368214,162.92626002184707
18,117.44999694824219,574.8800048828125,4.89467875538686,161.8206485799209
19,118.7699966430664,580.2550048828125,4.885535246975077,164.79639708341657
20,117.11470031738281,571.6400146484375,4.881027002581942,162.93944299178546
21,116.51000213623047,569.4400024414062,4.887477401086843,161.31393732095322
22,116.25,568.27001953125,4.888344254032258,160.8390619341374
23,115.9000015258789,565.1900024414062,4.876531449528988,161.7048745469249
24,108.80999755859375,558.030029296875,5.128481222475702,124.01117064006156
25,108.93000030517578,560.5,5.1455062740265864,122.3003764430862
26,108.40789794921875,558.4569702148438,5.151441737911387,121.04041647394537
27,108.58999633789062,560.3699951171875,5.160420057235567,120.27940535816016
28,110.00499725341797,565.8900146484375,5.144220978841529,123.71114303118635
29,111.08999633789062,575.4099731445312,5.179674067090325,121.05524254698538
30,111.91000366210938,579.969970703125,5.182467623307673,121.68287871469114
31,110.5,580.8800048828125,5.256832623373869,111.8527015853863
32,110.87999725341797,587.0374755859375,5.294349658435274,108.09921741934546
33,111.01000213623047,587.864990234375,5.2956038097625875,108.09415605241283
34,110.44000244140625,584.6599731445312,5.293914887902339,107.69316920361156
35,110.44499969482422,585.0599975585938,5.2972972898293325,107.3247590442078
36,110.69000244140625,584.5599975585938,5.28105506066847,109.3747263111659
37,111.25,588.3599853515625,5.288629081811798,109.11746568148693
38,106.16000366210938,586.677490234375,5.526351450605421,78.59898418625257
39,107.8499984741211,590.9400024414062,5.479276873454977,85.02793024444601
40,106.80999755859375,584.0,5.46765296647095,85.38854776400139
41,106.27999877929688,584.260009765625,5.497365604782427,81.77559289511466
42,105.47000122070312,577.280029296875,5.473404974072935,83.63126467895792
43,105.93000030517578,581.9000244140625,5.493250474253332,81.92137376962104
44,106.97000122070312,588.0,5.496868218098119,82.4007831055343
45,110.69000244140625,579.969970703125,5.239587658425901,113.96475316663465
46,109.55999755859375,576.5900268554688,5.26277874866785,110.19591764631845
47,108.43000030517578,570.9249877929688,5.265378457863163,108.71222560688365
48,107.19000244140625,565.3200073242188,5.273999388452689,106.47257524290445
49,107.7249984741211,568.5900268554688,5.27816231059926,106.58711506957503
50,107.69999694824219,567.6599731445312,5.270751989132681,107.35900097514333
51,108.03990173339844,571.260009765625,5.287491015821899,105.90931286329864
52,108.66000366210938,583.0,5.36535965720105,98.09228963679654
53,109.20999908447266,587.3400268554688,5.378079221492971,97.23171316926233
54,109.38999938964844,586.510009765625,5.3616419511665745,99.20047088531182
55,109.4800033569336,588.1799926757812,5.372487894050933,98.09988242127714
56,109.86000061035156,587.0800170898438,5.343892352341077,101.60384454429881
57,109.625,587.5999755859375,5.36009099736317,99.59719555660219
58,109.5999984741211,585.2899780273438,5.340237100145063,101.74902530982673
59,108.52999877929688,580.1099853515625,5.345157945972667,100.15985100372917
60,108.24600219726562,578.5800170898438,5.345047441432984,99.89316428007602
61,108.31999969482422,577.7999877929688,5.334194880177583,101.14132587608925
62,109.26000213623047,583.6300048828125,5.341662030677204,101.2580707526571
63,109.18000030517578,582.3599853515625,5.333943796700605,102.02197261314065
64,108.87000274658203,578.989990234375,5.318177419193207,103.4308220886552
65,108.79000091552734,578.72998046875,5.319698277400687,103.18471418351375
66,106.82499694824219,596.47998046875,5.583711654658419,73.00345832526547
67,105.4000015258789,599.5,5.6878557051330265,60.9684530804217
68,105.67500305175781,602.5800170898438,5.702200138993233,59.62818531756411
69,105.04000091552734,602.8400268554688,5.739147197268874,55.350944972541605
70,104.52999877929688,595.8499755859375,5.700277265323675,59.11455642348394
71,104.01000213623047,595.2835083007812,5.723329449807043,56.39135538073358
72,105.05999755859375,595.989990234375,5.672853646336526,62.32748687830817
73,101.0199966430664,590.9400024414062,5.84973294474927,41.819111490023396
74,101.83000183105469,586.1199951171875,5.755867471058425,51.763475765186534
75,101.2300033569336,581.7000122070312,5.746320190823036,52.387672676669716
76,100.66999816894531,577.2650146484375,5.734230904421653,53.27989480593603
77,99.9198989868164,577.760009765625,5.7822317238516785,48.039527665408535
78,99.6500015258789,576.1500244140625,5.7817362327328965,47.94205366917074
79,99.29000091552734,570.6500244140625,5.747306064580991,51.16457241675939
80,99.5199966430664,567.7000122070312,5.704381344013873,55.569612594697126
81,99.5999984741211,570.780029296875,5.730723273506674,52.99571317561972
82,101.11000061035156,587.6500244140625,5.811987151287776,45.67848396348884
