,msft,adbe,Ratio,Spread
0,290.6600036621094,460.69000244140625,1.5849790017100385,-45.6861693421078
1,294.5799865722656,463.82000732421875,1.5745129624087195,-43.199907177930015
2,295.5450134277344,462.04998779296875,1.5633827904389515,-40.04726719856848
3,295.8900146484375,465.2449951171875,1.572357876523713,-42.74798180993224
4,296.9800109863281,466.5069885253906,1.5708363232125644,-42.44830756443855
5,295.82000732421875,463.3399963378906,1.5662902605166593,-40.943284444460176
6,296.1099853515625,464.860595703125,1.569891657490746,-42.048424335342645
7,296.8299865722656,465.489990234375,1.5682040605457757,-41.64625336686788
8,297.3399963378906,465.5,1.5655478769530085,-40.92555815087127
9,294.7799987792969,462.3380126953125,1.568417174197314,-41.43134957334473
10,297.8299865722656,467.6300048828125,1.570123983366418,-42.35354058365277
11,295.6300048828125,463.2900085449219,1.5671278317252326,-41.16551836137512
12,295.4200134277344,463.44500732421875,1.5687664554168286,-41.62137765877503
13,293.5304870605469,459.9049987792969,1.5668048773565102,-40.78854537295359
14,295.135009765625,463.0400085449219,1.5689091203128864,-41.62471144430373
15,299.1300048828125,467.67999267578125,1.5634673387545996,-40.54095648145034
16,299.25,476.8399963378906,1.5934502801600354,-49.529039847500826
17,297.1863098144531,467.4848937988281,1.5730364366067202,-43.1306428477036
18,295.8999938964844,467.7749938964844,1.5808550305686304,-45.263683046805056
19,294.30999755859375,466.8999938964844,1.5864224721198263,-46.66671441632815
20,295.2200012207031,467.5899963378906,1.5838696375735248,-46.052929648125996
21,293.7749938964844,466.54998779296875,1.5881201514291037,-47.08322273555126
22,295.010009765625,466.67999267578125,1.5819124003505576,-45.44378650411966
23,296.85009765625,471.55999755859375,1.5885458730913284,-47.687446989381954
24,298.0299987792969,472.4999084472656,1.5854105639787313,-46.936881172426865
25,299.2699890136719,471.8450012207031,1.57665325138615,-44.505405922093985
26,300.0199890136719,473.8500061035156,1.5793947851985366,-45.435865231166986
27,300.0,473.8900146484375,1.5796333821614583,-45.50451258430826
28,300.3900146484375,473.2950134277344,1.5756016856341142,-44.35072667804235
29,300.17999267578125,471.02239990234375,1.5691332247152334,-42.37901739412615
30,298.3399963378906,463.80999755859375,1.554635661499764,-37.80282827781241
31,297.3500061035156,462.3500061035156,1.5549016196843763,-37.7612229885915
32,296.0199890136719,460.70001220703125,1.5563138615809946,-38.016781061293045
33,298.1300048828125,464.4800109863281,1.55797807459502,-38.77370222364982
34,297.80999755859375,462.510009765625,1.5530372168739122,-37.26218427468467
35,295.760009765625,458.260009765625,1.5494319537275276,-35.949258020223965
36,295.95001220703125,459.1199951171875,1.5513430517989335,-36.53702166190277
37,289.95001220703125,455.6549987792969,1.5714950149888192,-41.6683899139278
38,287.8999938964844,453.20001220703125,1.5741577694162132,-42.1505208105728
39,291.7699890136719,456.6099853515625,1.5649655637823892,-40.015845790347896
40,290.3800048828125,452.42999267578125,1.5580617985675929,-37.82732150841065
41,289.4049987792969,448.70001220703125,1.5504224671295823,-35.49425903019619
42,288.70001220703125,449.6300048828125,1.557429809044746,-37.4343053070092
43,289.67999267578125,451.8999938964844,1.5599972567047968,-38.30024942061914
44,280.2300109863281,441.30999755859375,1.5748134755635592,-41.249501077822856
45,282.4700012207031,446.3999938964844,1.5803447869414542,-43.130201960290435
46,281.8163146972656,450.8800048828125,1.5999073913345274,-48.5467675604491
47,282.5849914550781,446.3500061035156,1.5795248141282507,-42.91546450416047
48,282.8900146484375,448.30999755859375,1.5847501655925624,-44.43844086282235
49,281.5,443.6499938964844,1.5760212927050954,-41.769949317928365
50,278.8999938964844,437.739990234375,1.5695231259016993,-39.58504572279003
51,273.95001220703125,424.55999755859375,1.5497717782094587,-33.49702759966635
52,271.2200012207031,427.3999938964844,1.575842459895467,-40.2483855663823
53,280.05999755859375,439.3399963378906,1.56873527161255,-39.52308275878403
54,280.8599853515625,439.3900146484375,1.5644450529271277,-38.426936613357384
55,278.80999755859375,434.8900146484375,1.5598078205823394,-36.86401035889668
56,277.42999267578125,433.4649963378906,1.5624301906119422,-37.4161628997698
57,275.739990234375,431.5199890136719,1.5649525070588641,-37.89246843291369
58,284.79998779296875,444.3299865722656,1.560147491632847,-37.721958958604546
59,284.6700134277344,440.9100036621094,1.548845972054017,-34.488193886931185
60,285.92999267578125,448.3800048828125,1.5681461069781333,-40.15298827564453
61,286.8324890136719,452.6700134277344,1.578168550516458,-43.14996556030451
62,287.6499938964844,450.010009765625,1.5644360136074558,-39.31870022707972
63,288.7550048828125,452.0899963378906,1.5656525036557047,-39.81550724695552
64,288.4800109863281,450.8900146484375,1.5629852935280373,-39.00951685653257
65,283.45001220703125,438.19000244140625,1.5459163294067995,-33.5161218817791
66,281.1199951171875,434.4800109863281,1.5455322230110706,-33.144409827539505
67,282.67999267578125,436.64300537109375,1.5446547922898095,-33.072352916796774
68,283.79998779296875,436.9493103027344,1.5396382279673937,-31.7740101207259
69,285.67498779296875,438.0050048828125,1.5332284015016349,-30.143340766455363
