,abbv,jnj,Ratio,Spread
0,134.2353973388672,169.2550048828125,1.2608820641811858,-13.866197940577756
1,133.9600067138672,169.14999389648438,1.26269024648365,-14.082367522751177
2,134.14999389648438,169.3000030517578,1.2620202068916724,-14.010799813085974
3,134.27999877929688,169.3300018310547,1.2610217707058975,-13.889177446348207
4,134.29220581054688,169.49000549316406,1.2620986040863205,-14.034944381130366
5,134.3000030517578,169.4600067138672,1.2618019572833448,-13.995851892253249
6,134.44000244140625,169.6699981689453,1.2620499485850096,-14.042565880797603
7,134.72000122070312,170.04209899902344,1.2621889656937755,-14.088111777808159
8,134.7696075439453,170.39999389648438,1.2643799815245496,-14.388152174593209
9,134.02999877929688,169.91000366210938,1.2677012997806185,-14.76074745306385
10,133.77999877929688,170.07000732421875,1.2712663243837459,-15.212319290834209
11,134.30499267578125,170.17999267578125,1.267115907497229,-14.710018591872334
12,134.36000061035156,170.1199951171875,1.2661505979784944,-14.58586678076039
13,134.38999938964844,170.3800048828125,1.2678027059797445,-14.810889788978805
14,135.41000366210938,170.39999389648438,1.2584003344515524,-13.641275663099343
15,135.468505859375,170.55999755859375,1.2590380064842965,-13.733049809493131
16,135.42999267578125,171.10000610351562,1.2633834110375255,-14.317975229132308
17,135.6999969482422,171.36500549316406,1.262822471237969,-14.268076006212333
18,135.5,171.6699981689453,1.266937255859375,-14.806319663340524
19,135.5850067138672,171.91000366210938,1.2679130814581947,-14.947184146579836
20,135.3800048828125,171.5500030517578,1.2671738577661802,-14.826271575779366
21,136.24000549316406,172.05999755859375,1.2629183104901371,-14.333270846505194
22,136.35000610351562,172.44500732421875,1.2647231360833247,-14.58998990300298
23,136.22999572753906,172.32000732421875,1.2649197146629878,-14.604954728538495
24,136.63999938964844,172.42999267578125,1.2619291089432205,-14.236764000998782
25,136.5283966064453,172.52999877929688,1.263693144193506,-14.466929384103302
26,136.4156036376953,172.6999969482422,1.2659841861413024,-14.76847491355192
27,135.94000244140625,172.39999389648438,1.2682064940435274,-15.023152554370817
28,135.64999389648438,172.27999877929688,1.2700332217542536,-15.241386486659188
29,135.65640258789062,171.91000366210938,1.267245779650764,-14.863917087624905
30,135.72000122070312,171.89999389648438,1.266578192973537,-14.779733972625216
31,135.80999755859375,172.02000427246094,1.2666225415271417,-14.794784076382022
32,135.77999877929688,171.91000366210938,1.266092246336958,-14.719770223437045
33,135.80999755859375,171.74000549316406,1.2645608466274267,-14.514785297085147
34,135.41000366210938,171.0500030517578,1.2632006382525582,-14.29128481837278
35,134.7899932861328,170.22000122070312,1.262853399357023,-14.184384164175547
36,133.92999267578125,170.1873016357422,1.2707183673767004,-15.15467981532472
37,134.2100067138672,170.30999755859375,1.2689813653142195,-14.950803009199568
38,134.25,170.5500030517578,1.2703910841844157,-15.144165424457917
39,134.6750030517578,170.72999572753906,1.2677185213199864,-14.828488642433676
40,134.93429565429688,170.8800048828125,1.266394166540202,-14.676091913368303
41,135.4199981689453,171.52999877929688,1.2666519059120203,-14.759624225412715
42,134.88999938964844,170.8699951171875,1.266735828381212,-14.717743672031865
43,135.9499969482422,171.80380249023438,1.2637278878030587,-14.41530482762166
44,135.6199951171875,171.9199981689453,1.2676596693606386,-14.916372633714182
45,135.11090087890625,171.22000122070312,1.2672552703512785,-14.810118398652712
46,135.49000549316406,171.42999267578125,1.2652593233855207,-14.577970490675618
47,135.47999572753906,171.52000427246094,1.2660171957592998,-14.679656203763606
48,135.1300048828125,171.0800018310547,1.2660400773271543,-14.647838530737225
49,136.5198974609375,172.01499938964844,1.259999476917767,-13.961842315856437
50,137.50999450683594,172.4550018310547,1.254127035998693,-13.247121599662954
51,138.00999450683594,173.32000732421875,1.2558511283444318,-13.528990741505076
52,137.36849975585938,173.00999450683594,1.2594590085377728,-13.967135741075587
53,137.1750030517578,172.66000366210938,1.2586841612605078,-13.842814820394231
54,136.8800048828125,173.0,1.263880726393245,-14.526859470055705
55,135.8800048828125,172.19000244140625,1.267221049851365,-14.883134614105863
56,135.91000366210938,170.88999938964844,1.257376166470454,-13.548144804941465
57,135.9600067138672,171.57000732421875,1.2619152607523336,-14.169835545197735
58,136.10499572753906,172.0850067138672,1.2643548151484056,-14.515738206017424
59,136.125,172.16000366210938,1.2647199534406566,-14.567404717352154
60,135.67999267578125,172.27999877929688,1.2697524180368613,-15.206399729252603
61,135.5800018310547,172.13409423828125,1.2696127151021606,-15.177111780955862
62,135.19000244140625,171.64999389648438,1.2696944359541715,-15.147857081353742
63,135.24000549316406,172.5500030517578,1.2758798879262072,-15.989549042313136
64,135.5800018310547,173.5800018310547,1.2802773232541445,-16.6230193737293
65,135.27049255371094,173.7449951171875,1.28442642469273,-17.14898488124316
66,135.4600067138672,174.00999450683594,1.28458575138268,-17.19295907913689
67,135.7100067138672,174.0500030517578,1.2825141436970613,-16.94139944839778
68,135.14999389648438,174.02499389648438,1.2876433722207608,-17.569517955168628
69,134.88999938964844,173.97000122070312,1.289717562516749,-17.81774977554749
70,136.01499938964844,173.0399932861328,1.2722125799553707,-15.575685050502777
71,135.39999389648438,172.33900451660156,1.2728139755187706,-15.591960399624831
72,135.7550048828125,172.6699981689453,1.2719236268158132,-15.508914429475418
73,136.5659942626953,172.33999633789062,1.2619539532394957,-14.233077822529303
74,136.44000244140625,173.0749969482422,1.2685062580717024,-15.115019254806661
75,136.4600067138672,172.8625946044922,1.2667637849890692,-14.879286474149232
76,136.3699951171875,173.08999633789062,1.2692674527790981,-15.21166627567657
77,136.32000732421875,170.8699951171875,1.253447666788898,-13.049964453378315
