,intc,qcom,Ratio,Spread
0,48.68757629394531,173.06280517578125,3.554557822532295,4.048980065371572
1,47.706512451171875,172.93556213378906,3.6249885654666216,0.5325493849227803
2,48.831851959228516,175.78404235839844,3.5997824228572552,1.863583087499868
3,49.02421569824219,177.54600524902344,3.621598075976757,0.8160596354063818
4,49.351234436035156,178.87725830078125,3.6245751569320244,0.6993550459317168
5,49.95718765258789,182.391357421875,3.650953266029713,-0.5642322165860003
6,49.7840576171875,180.91329956054688,3.633960513055653,0.2708202326067157
7,49.85138702392578,182.26409912109375,3.6561490061172726,-0.8299177321664581
8,49.76482391357422,178.86744689941406,3.5942545925622147,2.2452388673434234
9,49.53398132324219,179.00448608398438,3.613771421195906,1.2508496880620248
10,51.1786994934082,182.27389526367188,3.561518699535315,4.08992816857988
11,51.11137390136719,183.27232360839844,3.5857444169290087,2.8414523958753852
12,51.813507080078125,182.55776977539062,3.5233625373639805,6.163730722827089
13,51.948158264160156,182.01939392089844,3.503866162017075,7.202201433275113
14,51.39992141723633,176.59649658203125,3.4357347582016304,10.588945663937743
15,53.102352142333984,175.8819122314453,3.31213035083675,17.626362257304656
16,53.77562713623047,181.4810028076172,3.374781708223859,14.52781679989095
17,53.61212158203125,182.47946166992188,3.4036978258864887,12.9220978742405
18,52.84265899658203,180.0029296875,3.406394248615365,12.540843766944754
19,53.573646545410156,184.7014617919922,3.4476178812176865,10.557201363786412
20,52.669532775878906,175.07925415039062,3.3241087384502443,16.821528059714517
21,51.57305145263672,168.8243408203125,3.273499164100386,19.004106837791902
22,50.05337142944336,162.9805145263672,3.25613459936678,19.20383748208547
23,50.05337142944336,161.44369506835938,3.2254309841233164,20.74065694009328
24,49.95718765258789,166.47506713867188,3.3323546612826216,15.352058066617126
25,49.053070068359375,161.95272827148438,3.3015818998849675,16.51650182033537
26,49.71672821044922,163.46995544433594,3.2880272159578396,17.464102753043925
27,46.2156867980957,157.7925567626953,3.4142640236430952,10.138624313754711
28,45.907901763916016,163.28396606445312,3.5567725770641876,3.504100576109855
29,46.956295013427734,172.04478454589844,3.663934398927771,-1.3629825871207482
30,47.08133316040039,173.38583374023438,3.6826874283599804,-2.2396397709031044
31,47.61994934082031,184.22183227539062,3.8685852216452017,-11.075216378848616
32,46.43690490722656,175.31419372558594,3.7753203852805304,-6.561408003214475
33,46.52897262573242,175.67636108398438,3.7756337862235148,-6.58163561011157
34,46.69373321533203,171.38894653320312,3.6704914071194255,-1.682299791168142
35,47.304298400878906,174.81495666503906,3.6955406289630335,-2.8406691993124378
36,48.370365142822266,180.06166076660156,3.7225615360755886,-4.127998584744099
37,47.35275650024414,170.39053344726562,3.598323435434791,1.7637275284391114
38,46.16069793701172,161.1598358154297,3.4912781439166993,6.567116484641978
39,46.112239837646484,161.63949584960938,3.505349044390711,5.907482940484178
40,46.94571304321289,169.3431396484375,3.6072120044818456,1.299360844806123
41,46.7421875,168.9515838623047,3.6145416570909243,0.9350222219126101
42,46.1025505065918,163.27418518066406,3.541543437110251,4.2368074081113525
43,43.650596618652344,164.096435546875,3.7593171287091853,-5.692006221980116
44,43.31139373779297,162.38340759277344,3.7492076236530747,-5.238778669929453
45,43.27262496948242,158.20367431640625,3.655975906892124,-1.203032702222239
46,45.278770446777344,164.4292449951172,3.6314865305009674,0.02222625962209346
47,46.23823165893555,167.31687927246094,3.6185830052202466,0.6980334771348486
48,46.228538513183594,168.35447692871094,3.64178670456344,-0.3755645482290868
49,45.37568664550781,160.2299346923828,3.53118479383376,4.581483582312663
50,47.36244583129883,166.36349487304688,3.5125613120914423,5.826752303976
51,46.451446533203125,162.530029296875,3.4989228845801352,6.276764063065278
52,46.587127685546875,159.49270629882812,3.423535946997413,9.818007221932497
53,46.20915985107422,147.54010009765625,3.1928756240788134,20.366839880189296
54,46.03470993041992,148.1888427734375,3.219067590464249,19.07018973492773
55,46.16069793701172,154.43055725097656,3.3454987500774744,13.296395049095104
56,45.22062301635742,152.0714874267578,3.362879086644821,12.16402411668522
57,44.416229248046875,149.74188232421875,3.3713326155619883,11.506108623416019
58,43.030338287353516,138.88035583496094,3.2274985826866587,17.22043239712837
59,43.42769241333008,141.75054931640625,3.2640589780196585,15.826013196826004
60,45.19154739379883,147.88412475585938,3.2723846224427358,16.243399848037647
61,45.685813903808594,150.22354125976562,3.2881879170646067,15.739690477434742
62,45.98625564575195,151.36376953125,3.2915001973036797,15.715303634932916
63,45.928104400634766,152.93646240234375,3.3299101802300823,13.926636884747147
64,46.897254943847656,154.92201232910156,3.303434551011507,15.540514654163978
65,46.78096008300781,150.26284790039062,3.2120513908599837,19.767759660282415
66,50.027610778808594,155.7575225830078,3.11343116647469,26.33115430044429
67,50.23114013671875,155.27587890625,3.0912274434468587,27.568706554024224
68,49.92100524902344,155.74769592285156,3.119883006079857,25.945047739326178
69,50.638179779052734,158.32302856445312,3.1265544941634316,26.033303210486416
70,49.843475341796875,150.125244140625,3.011933720735873,31.279553239824416
71,48.031166076660156,150.21372985839844,3.1274220912865154,24.460146089203924
72,46.625892639160156,144.483154296875,3.098775082228163,24.971532364749798
73,47.68226623535156,151.18682861328125,3.170713989705287,22.19123239536045
74,46.6452751159668,142.97923278808594,3.065245781756442,26.547440443970935
75,46.0734748840332,136.90463256835938,2.9714414402852816,30.49837308087003
76,46.09286117553711,136.8456573486328,2.9689121885377987,30.629349038824465
77,45.56951904296875,134.35879516601562,2.9484356646232106,31.17251714859227
78,45.133399963378906,133.05148315429688,2.9479605627374497,30.860081738303897
