,tgt,bkng,Ratio,Spread
0,204.94000244140625,2629.27001953125,12.82946222411106,-194.0162407572439
1,204.1699981689453,2621.239990234375,12.838516989481324,-195.18085592312633
2,204.07000732421875,2623.97998046875,12.858234362190567,-199.11483987893013
3,206.3300018310547,2615.3798828125,12.675712982128514,-163.5280790036191
4,205.3800048828125,2594.830078125,12.634287741913242,-154.322216800847
5,204.3699951171875,2613.239990234375,12.786808497675604,-184.79268627460448
6,204.22999572753906,2606.0,12.760123657235127,-179.22443301476147
7,205.5050048828125,2637.044921875,12.832022866687614,-195.04443174481236
8,204.6300048828125,2617.639892578125,12.792062894574991,-186.0878040901776
9,204.39999389648438,2617.070068359375,12.803669992694592,-188.26454806260932
10,202.77000427246094,2609.0,12.866794619653414,-199.65823543406992
11,198.9949951171875,2574.75,12.938767623194433,-210.48573469970512
12,197.22000122070312,2540.419921875,12.881147480736958,-197.35091273812628
13,195.47000122070312,2521.60009765625,12.900189706394578,-199.42789180385677
14,195.42999267578125,2496.830078125,12.776084386736104,-175.13561552570997
15,196.94000244140625,2535.050048828125,12.872194665389806,-195.32451364031482
16,196.33999633789062,2518.22998046875,12.825863438109732,-185.66913643217055
17,194.9199981689453,2512.419921875,12.889492845661637,-196.8153192102905
18,193.7899932861328,2512.010009765625,12.962537266083794,-209.8988298132786
19,195.4149932861328,2547.6298828125,13.03702361815288,-226.11452838170732
20,193.3249969482422,2505.0048828125,12.957480524275663,-208.44623828924165
21,191.8300018310547,2484.3349609375,12.950711240285875,-205.62809862859928
22,190.91000366210938,2484.85009765625,13.015819234146438,-217.12896149508202
23,190.00999450683594,2469.830078125,12.998421922674934,-212.85597869067766
24,189.31500244140625,2185.06005859375,11.541927636031037,63.61511942596729
25,188.63999938964844,2187.6201171875,11.596798792756703,52.994828838498904
26,187.94000244140625,2201.60009765625,11.714377296247186,30.656163497089835
27,187.52999877929688,2214.385009765625,11.808164156027772,12.97538517456263
28,188.19500732421875,2235.969970703125,11.881133312166135,-0.6686884796627641
29,190.1199951171875,2275.43994140625,11.968440983830755,-17.15232133439082
30,191.55999755859375,2291.10009765625,11.960222002798135,-15.617364585969485
31,192.99000549316406,2289.5,11.863308642069015,3.0585013582589777
32,195.1300048828125,2259.27490234375,11.578305979649736,58.83739688558984
33,197.00999450683594,2272.77490234375,11.536343158797907,67.78641022849382
34,198.08999633789062,2262.9599609375,11.423898242077161,90.49768638355994
35,199.16000366210938,2282.52001953125,11.460734974697655,83.71461782818272
36,198.96499633789062,2266.06005859375,11.389239817567873,97.84599036955018
37,199.3000030517578,2281.0400390625,11.445258425159775,86.86633527146472
38,198.63999938964844,2170.18994140625,10.925241381768465,189.83530910249368
39,200.6649932861328,2209.56005859375,11.011188460974296,174.64570569048368
40,199.24000549316406,2180.27001953125,10.942932942280285,186.9199221287244
41,198.08399963378906,2184.449951171875,11.027897029595584,168.93608932291903
42,197.7899932861328,2158.97998046875,10.915516728621668,190.89532127669457
43,199.0800018310547,2169.77001953125,10.898985330392867,195.50931352764104
44,199.6699981689453,2171.659912109375,10.876245465139355,200.66458518463827
45,223.05999755859375,2118.909912109375,9.499282414153065,532.7152800815519
46,223.6199951171875,2124.530029296875,9.500626400530598,533.7821107921794
47,220.75999450683594,2110.715087890625,9.561130369684195,513.4456978281377
48,219.27220153808594,2094.06005859375,9.550048040312248,512.3349459844402
49,221.89999389648438,2085.929931640625,9.400315407911659,551.8436215009441
50,220.40499877929688,2080.93994140625,9.441437140407167,538.9818295209615
51,219.5500030517578,2072.75,9.44090171345322,536.962240911523
52,220.94000244140625,2162.89990234375,9.78953507035176,463.4103636026479
53,223.77999877929688,2181.0,9.746179336389273,479.22274869013785
54,224.7913055419922,2180.52001953125,9.700197319793213,491.7787740047783
55,225.14999389648438,2185.469970703125,9.70672898044991,491.1119313953363
56,223.97000122070312,2179.81005859375,9.732598324387805,482.6815150344664
57,225.4199981689453,2170.280029296875,9.627717358378813,509.5260020402065
58,224.8300018310547,2162.260009765625,9.617310822202565,510.50085733633426
59,226.19500732421875,2145.8701171875,9.486814685134481,543.1903220703929
60,224.97999572753906,2122.56005859375,9.434439056369554,551.9918901931841
61,225.77999877929688,2113.35009765625,9.360218394376375,570.7547119304367
62,227.25,2133.5,9.388338833883388,568.1581389221036
63,225.63999938964844,2117.409912109375,9.384018426861042,565.0231605027801
64,223.7100067138672,2102.179931640625,9.396897181847505,557.2070396650792
65,223.82000732421875,2102.070068359375,9.391788042051045,558.630423583866
66,223.5,2006.3599853515625,8.977002171595357,650.5192893895118
67,222.72000122070312,1986.5999755859375,8.919719669080495,660.9653099819355
68,223.6999969482422,1984.3399658203125,8.870540871216159,674.9274785692836
69,224.0399932861328,1983.9200439453125,8.855204889296473,679.4073070673375
70,223.36749267578125,1973.20751953125,8.833906384020562,682.0894812167088
71,223.39500427246094,1986.4000244140625,8.891873078734449,669.2254931475289
72,224.0399932861328,1985.449951171875,8.862033613061916,677.877399840775
73,219.82000732421875,1885.22998046875,8.576243825195451,727.7063896813933
74,218.6699981689453,1875.1300048828125,8.575159009394968,724.0740709284163
75,214.7100067138672,1864.0,8.681477070065279,687.9176972712338
76,212.59500122070312,1849.43505859375,8.699334640863826,677.2272936853441
77,212.44000244140625,1843.0,8.67539059885072,681.8115071360647
78,211.8300018310547,1838.0,8.676769032301191,679.5274712743907
79,211.0399932861328,1815.989990234375,8.604956633846243,692.1039649507064
80,211.38999938964844,1830.280029296875,8.65830944974449,681.9933594273683
81,208.16079711914062,1833.050048828125,8.805933077682157,640.6633372603477
