,ups,ba,Ratio,Spread
0,199.9720458984375,192.6300048828125,0.963284663200606,-16.105869150451852
1,195.94529724121094,188.47999572753906,0.9619010937298382,-15.52831321753304
2,200.46571350097656,199.52000427246094,0.99528243901663,-22.557896228543754
3,201.76278686523438,201.69000244140625,0.9996392574420736,-23.577156093657422
4,205.39263916015625,204.22000122070312,0.9942907499302409,-22.886820396802435
5,208.2191162109375,203.1699981689453,0.975750939040212,-19.32922178656507
6,207.80287170410156,206.1300048828125,0.9919497415624211,-22.65851254478521
7,207.72544860839844,203.66000366210938,0.9804287583754209,-20.257199591285698
8,207.04788208007812,202.7100067138672,0.9790489266413591,-19.908326510835323
9,207.47378540039062,201.32000732421875,0.9703394910142692,-18.140473965060195
10,206.66067504882812,207.86000061035156,1.0058033564500846,-25.401842967145953
11,210.3292694091797,213.6300048828125,1.015693181851982,-27.917141555250467
12,207.6867218017578,213.07000732421875,1.025920220010981,-29.70156092429825
13,209.70008850097656,211.33999633789062,1.0078202534325893,-26.18533009544349
14,211.17141723632812,215.5,1.020497957632342,-29.039999471958325
15,204.94737243652344,209.30999755859375,1.0212865628390602,-28.371848726271324
16,204.5021209716797,216.02000427246094,1.0563215835906967,-35.47687389441542
17,204.45372009277344,217.4499969482422,1.0635658615043615,-36.94980689017494
18,203.7277374267578,223.89999389648438,1.0990157586027218,-44.0438815634886
19,199.92364501953125,225.9600067138672,1.1302315276004113,-49.47881130148484
20,199.0040740966797,225.00999450683594,1.130680341737738,-49.344624562136815
21,197.23269653320312,217.0800018310547,1.1006288797279125,-42.98616366629214
22,195.80978393554688,214.19000244140625,1.093867722727836,-41.35854470495859
23,195.48068237304688,205.44000244140625,1.0509478478766174,-32.90051722112868
24,197.59083557128906,204.1999969482422,1.0334487242682295,-29.788424782782826
25,195.4709930419922,204.10000610351562,1.044144724121137,-31.569117069614563
26,192.6251983642578,194.27000427246094,1.0085388927418144,-24.263849020586875
27,188.58876037597656,189.75,1.0061575229706603,-23.324894156857013
28,191.8992156982422,190.57000732421875,0.9930734038219646,-21.207929797416156
29,195.73236083984375,200.24000549316406,1.0230296341084275,-27.477236023919986
30,223.3000030517578,208.33999633789062,0.9330048969573921,-11.119749972012372
31,224.67453002929688,207.52000427246094,0.923647216466419,-9.080304260944686
32,221.3640899658203,206.38999938964844,0.9323553762559955,-10.887257524490437
33,217.58900451660156,206.4499969482422,0.948807121053263,-14.29643759377366
34,217.85035705566406,211.9199981689453,0.9727778326055098,-19.534571916435155
35,217.9858856201172,213.27000427246094,0.9783661160710442,-20.764339709091033
36,217.8600616455078,215.86000061035156,0.9908195149673158,-23.46596463416354
37,213.6106719970703,218.75,1.0240593222935985,-30.125940010606413
38,206.6510009765625,212.3000030517578,1.0273359531214465,-29.850428057627298
39,207.13499450683594,210.0399932861328,1.0140246643799293,-27.161028629520857
40,210.3002166748047,217.72999572753906,1.0353293932370184,-32.04290742180511
41,208.41268920898438,218.92999267578125,1.050463834552083,-34.91748208809064
42,203.96006774902344,213.5800018310547,1.0471657721445198,-33.51777054724262
43,204.1258087158203,209.02999877929688,1.024025330722898,-28.820725327892077
44,203.7455596923828,198.74000549316406,0.9754323274245771,-18.868081592156116
45,199.36781311035156,196.4199981689453,0.9852141883114572,-20.431926033942815
46,202.0100555419922,198.42999267578125,0.9822777987135064,-20.09777435916483
47,204.7010498046875,201.47999572753906,0.9842645942450136,-20.760379551398685
48,205.15931701660156,205.33999633789062,1.0008806781184325,-24.213814389395978
49,200.44032287597656,194.91000366210938,0.9724091483464178,-17.970421687688983
50,206.17332458496094,197.80999755859375,0.9594354553713336,-15.784207784173233
51,207.11904907226562,188.85000610351562,0.9117944822044072,-5.9851879268460815
52,205.1300506591797,180.83999633789062,0.8815870505407002,0.26022106655663835
53,196.15032958984375,169.1699981689453,0.8624507464386365,3.963585059707682
54,198.32456970214844,173.8000030517578,0.876341258739537,1.2625237878742008
55,201.6103057861328,178.55999755859375,0.8856689982307219,-0.5824294635381909
56,202.00030517578125,178.38999938964844,0.8831174746712038,-0.06643140861400865
57,198.80230712890625,176.22999572753906,0.8864585037902454,-0.743629518991512
58,199.19232177734375,175.52000427246094,0.8811584839532941,0.31237535936683913
59,205.26657104492188,179.88999938964844,0.8763726040431598,1.33133625024827
60,212.45230102539062,188.99000549316406,0.8895644084861075,-1.3936297380552536
61,216.76182556152344,190.19000244140625,0.877414655226848,1.2296998052367054
62,214.28529357910156,192.8300018310547,0.8998751086008296,-3.607430673035694
63,213.09580993652344,185.89999389648438,0.8723775186000133,2.267290469735442
64,212.9593048095703,191.0399932861328,0.8970727691704389,-2.993813618061083
65,209.21530151367188,186.0399932861328,0.8892274701713221,-1.3154206458388988
66,209.29330444335938,189.0500030517578,0.9032778356410347,-4.256227726807865
67,209.966064453125,188.9499969482422,0.8999073133097912,-3.559362005435205
68,214.06105041503906,188.16000366210938,0.8790015899543115,0.863623314824863
69,216.8885498046875,193.8000030517578,0.8935464930088685,-2.267873517151529
70,214.69480895996094,194.91000366210938,0.90784683899115,-5.324118409646119
71,209.09832763671875,191.5,0.9158370713165456,-6.8792043120873965
72,201.47381591796875,190.75999450683594,0.9468227602563749,-12.90351757262708
73,200.07957458496094,191.17999267578125,0.9555197879261753,-14.560459580593701
74,192.27957153320312,182.64999389648438,0.9499188730246577,-12.950472058175265
75,189.5300750732422,178.72000122070312,0.9429638074676981,-11.459779255409998
76,187.88232421875,177.97000122070312,0.947241854499809,-12.171631819563473
77,186.19557189941406,175.1999969482422,0.940946098561829,-10.898081453584027
