,intc,ma,Ratio,Spread
0,55.060001373291016,371.43499755859375,6.746004146283452,140.08794400846895
1,55.30849838256836,370.3999938964844,6.696981562117834,143.47425950792805
2,55.41999816894531,369.9750061035156,6.675839377974425,144.95427314741514
3,55.27000045776367,368.80999755859375,6.6728784965441,144.69998334785222
4,55.380001068115234,371.5299987792969,6.708739465756411,143.0208225702091
5,55.474998474121094,372.0799865722656,6.707165332250342,143.36971290019514
6,55.70000076293945,372.1499938964844,6.681328344686452,145.428707235465
7,55.22999954223633,368.0,6.663045501540832,145.13148690984698
8,55.185001373291016,368.3399963378906,6.674639615324237,144.3657118971631
9,54.939998626708984,368.6000061035156,6.70913751942326,141.7874534737501
10,54.87009811401367,366.8599853515625,6.685972833313879,142.8660662537712
11,55.06999969482422,367.0299987792969,6.66479028170019,144.58754823932847
12,54.93000030517578,367.7149963378906,6.694247119879274,142.57785778781246
13,54.790000915527344,366.30999755859375,6.6857089147224755,142.6581636741872
14,54.310001373291016,363.989990234375,6.702080298848616,140.4363513247409
15,53.91999816894531,362.1700134277344,6.716803147747927,138.56606580730292
16,54.40999984741211,364.4800109863281,6.698768829415165,140.89252946911105
17,54.3650016784668,366.2749938964844,6.737330683125145,138.67176788416154
18,53.959999084472656,362.1400146484375,6.711267990970846,138.97455858319879
19,53.935001373291016,361.57000732421875,6.703810106942367,139.30803423092382
20,53.59000015258789,360.8399963378906,6.733345685957522,136.7735976631407
21,53.67499923706055,369.20001220703125,6.8784353508125005,129.2178544653922
22,53.81999969482422,372.2200012207031,6.916016412696095,127.56987911801096
23,53.83000183105469,370.30999755859375,6.879249209777304,129.5745243268572
24,53.54999923706055,368.6600036621094,6.884407262642302,128.575096342323
25,53.125,369.0150146484375,6.946164981617647,124.19868590385991
26,52.68000030517578,365.55999755859375,6.939255798042918,123.4430565432692
27,52.040000915527344,364.0,6.99461940038883,118.94729453697627
28,52.5,363.2300109863281,6.918666875930059,124.06985622601368
29,53.02000045776367,367.17999267578125,6.925311005387127,125.04018820682452
30,52.560298919677734,363.4599914550781,6.915105106432424,124.41043217574926
31,52.51499938964844,359.3893127441406,6.843555496926886,128.05248069313225
32,52.439998626708984,358.3599853515625,6.83371462120979,128.37214086588082
33,52.15999984741211,355.70001220703125,6.819402094470656,128.38272822456773
34,52.02000045776367,354.8599853515625,6.821606732581291,127.89806218711428
35,51.29169845581055,338.1300964355469,6.5922967383670645,137.73666044599904
36,51.10499954223633,337.6300048828125,6.6065944214278725,136.47018198332748
37,50.16999816894531,332.70001220703125,6.631453544938915,132.55306698827243
38,50.36000061035156,337.9949951171875,6.711576469832532,129.05591251437417
39,50.560001373291016,340.2200012207031,6.729034651498819,128.72334029867918
40,51.26580047607422,342.1400146484375,6.6738451652211,133.48169209550488
41,51.91999816894531,349.4800109863281,6.731125256382638,132.33180156085123
42,51.0,339.1650085449219,6.650294285194547,133.94165865152647
43,51.040000915527344,339.5199890136719,6.652037282984911,133.9651721793754
44,50.95000076293945,341.8699951171875,6.709911481804344,130.7635726310992
45,51.23429870605469,343.1600036621094,6.697856949909923,132.16362913333845
46,51.459999084472656,345.7099914550781,6.718033377489728,131.74924841673575
47,51.1349983215332,341.2900085449219,6.674293922900217,133.09403077108024
48,51.0099983215332,338.79998779296875,6.641834913567303,134.40128485504223
49,51.939998626708984,349.4200134277344,6.727378179945752,132.58104611774448
50,52.224998474121094,353.07000732421875,6.760555627381675,131.62775878047287
51,52.39500045776367,352.69000244140625,6.73136748468424,133.61634510124392
52,52.34989929199219,351.82000732421875,6.720547930032707,134.05958697393496
53,52.47999954223633,353.0799865722656,6.727896144284529,134.0306336417767
54,51.689998626708984,345.5299987792969,6.684658695284941,134.10552743019971
55,51.689998626708984,344.29998779296875,6.660862776944704,135.33553841652784
56,48.06999969482422,344.427001953125,7.1651134624452695,100.95561165799754
57,48.38859939575195,352.1600036621094,7.277747404547228,96.23724280252728
58,48.3849983215332,356.57501220703125,7.369536521164692,91.7881604131662
59,47.82500076293945,352.70001220703125,7.37480411041301,90.36438884147745
60,48.13999938964844,353.0,7.332779486405762,93.04496005758361
61,48.224998474121094,354.3299865722656,7.347433857616588,92.51924615671012
62,48.04999923706055,350.5400085449219,7.295317671400782,94.65335806790117
63,46.38999938964844,361.1400146484375,7.784867846517434,68.34621205727044
64,47.178001403808594,365.4057922363281,7.745257988118793,71.5366146026478
65,47.0,370.0899963378906,7.874255241231715,65.16813748284184
66,47.04499816894531,371.1300048828125,7.888830254600746,64.55390761271318
67,46.57500076293945,370.31500244140625,7.950939267317681,60.921731927191246
68,47.070098876953125,377.6499938964844,8.023140016843955,58.271424845238215
69,47.7400016784668,382.54998779296875,8.013195943508283,59.71014058414781
70,47.66999816894531,379.95001220703125,7.9704222110616785,61.64773362845003
71,47.50960159301758,378.92999267578125,7.975861298981553,61.150059370362186
72,48.154998779296875,381.1300048828125,7.914650909443497,65.05688139970218
73,48.08539962768555,381.5,7.93380117361754,64.02832982934396
74,48.33000183105469,383.1650085449219,7.928098365986762,64.67777994891972
75,48.25,382.67999267578125,7.93119155804728,64.40580782486242
76,48.83000183105469,386.3800048828125,7.912758353350793,66.19385028299357
77,48.50849914550781,394.5400085449219,8.13342023552297,54.99174533980843
78,48.779998779296875,390.82000732421875,8.011890469544044,61.28071229825153
79,48.7400016784668,390.67999267578125,8.01559251583659,61.04226904526425
80,48.654998779296875,391.0,8.036173256803654,59.91795295447915
81,48.54999923706055,388.9100036621094,8.010504835708332,61.014429622678136
82,48.75,390.05999755859375,8.00123071915064,61.75686961401439
