,amzn,hd,Ratio,Spread
0,169.22000122070312,314.9599914550781,1.8612456517140394,151.03113775712
1,169.58248901367188,317.32000732421875,1.8711838065935933,149.6693259699593
2,169.00050354003906,316.6700134277344,1.8737814787203277,148.71667203470452
3,169.02499389648438,316.7450866699219,1.873954137598759,148.7090393360251
4,169.34100341796875,317.3399963378906,1.8739702135496956,148.98434378397667
5,170.03500366210938,317.9949951171875,1.870173718754414,150.24045453728667
6,169.3155059814453,317.7099914550781,1.8764376576938844,148.54413486728635
7,168.18099975585938,312.8699951171875,1.8603171319671454,150.25997428905958
8,166.46249389648438,311.54998779296875,1.8715926963506135,146.8476303534323
9,167.15150451660156,309.5,1.8516136058425985,150.794987456125
10,167.41400146484375,307.93829345703125,1.8393819558855538,153.07954737602165
11,166.6719970703125,306.7449951171875,1.8404111098985847,152.22954431417668
12,165.88926696777344,306.7900085449219,1.8493662317799053,150.02908069308813
13,166.35000610351562,308.4599914550781,1.8542830185598602,149.62786240051827
14,165.11700439453125,302.8800048828125,1.8343356336523025,151.81245921657637
15,165.05450439453125,303.2250061035156,1.8371204543361883,151.29534804807946
16,164.75149536132812,302.6300048828125,1.836887757644283,151.05593536661235
17,165.17050170898438,300.75,1.8208457132974902,154.08978281935106
18,165.218994140625,300.4100036621094,1.8182534352340718,154.56331563529068
19,165.12950134277344,300.010009765625,1.8168165429317717,154.71686791951663
20,162.95350646972656,299.30999755859375,1.8367815706635282,149.42471430255296
21,164.49449157714844,299.2200012207031,1.819027484457545,153.7582125026741
22,164.7624969482422,301.8800048828125,1.8322130974844588,151.83623108740318
23,164.27450561523438,300.6000061035156,1.8298640131511605,151.7724192611352
24,163.1824951171875,300.9100036621094,1.8440090859378915,148.45528778559537
25,164.09295654296875,302.510009765625,1.8435283033395213,149.36247317743147
26,163.15460205078125,301.6700134277344,1.8489825578676642,147.61846723272254
27,163.60250854492188,301.8900146484375,1.8452651938741191,148.6318926251882
28,166.22000122070312,302.95989990234375,1.822644072178056,154.76995181575188
29,166.34750366210938,303.68499755859375,1.8256059806911735,154.39596517604605
30,167.15249633789062,303.8399963378906,1.8177413020724074,156.45772235519888
31,167.07550048828125,304.04998779296875,1.8198358640517431,156.03570287361498
32,167.2239990234375,304.75,1.8224058853973906,155.7446198687149
33,167.4499969482422,305.6199951171875,1.8251418374862847,155.4969686081617
34,168.36898803710938,305.739990234375,1.8158925452886154,157.9076536242206
35,165.8489990234375,303.8599853515625,1.8321484431065003,152.84821566568877
36,165.25,305.3999938964844,1.8481088889348525,149.658708070329
37,164.68800354003906,305.8399963378906,1.857087278755763,147.67110272677593
38,165.13999938964844,307.17498779296875,1.8600883427896122,147.58079898496635
39,164.4499969482422,306.1700134277344,1.8617818127664432,146.68567280351232
40,163.6405029296875,304.8900146484375,1.8631696260395973,145.7365200104437
41,164.0550079345703,304.9700012207031,1.8589496599965643,146.79798039418847
42,158.3144989013672,297.4700012207031,1.8789814153789688,138.4900010339574
43,158.89625549316406,296.30999755859375,1.8648016382698296,141.25202224235255
44,158.33358764648438,296.0400085449219,1.8697233666295638,139.9725595165478
45,159.10751342773438,297.4075012207031,1.8692234880270675,140.73627205368194
46,157.80450439453125,296.6700134277344,1.8799844438281796,137.88558677977966
47,158.60150146484375,297.45001220703125,1.8754552098169464,139.3003259870955
48,158.72525024414062,298.5400085449219,1.8808602165422796,138.55110398431424
49,158.5500030517578,294.8349914550781,1.8595710235264442,141.77353251204568
50,157.35475158691406,295.95001220703125,1.8807821767210178,137.367077084657
51,155.39100646972656,299.45001220703125,1.9270742819042774,128.45939597106542
52,156.43199157714844,300.9599914550781,1.9239030867075038,129.8160390028986
53,156.48199462890625,301.8949890136719,1.9292634256714931,129.01873780634594
54,157.85775756835938,304.1300048828125,1.9266079131468137,130.57224174018012
55,157.74349975585938,302.8599853515625,1.919952237780326,131.52762277311956
56,156.27017211914062,310.2099914550781,1.98508766739294,120.12042718738269
57,156.1824951171875,310.3739929199219,1.9872521097005191,119.71498437487702
58,156.69569396972656,310.8739013671875,1.9839339135078466,120.62830197110475
