,t,chtr,Ratio,Spread
0,19.966917037963867,624.864990234375,31.29501610320187,-157.5316624353619
1,19.966012954711914,619.3099975585938,31.01821074459629,-151.9989458223639
2,19.987991333007812,623.25,31.181222245717912,-155.39741435775431
3,19.848941802978516,623.5999755859375,31.417290744051687,-159.17348599648795
4,19.845165252685547,617.219970703125,31.101780350234158,-152.88653302150425
5,19.882930755615234,611.9000244140625,30.775142353762554,-146.63606765415358
6,19.860271453857422,610.3300170898438,30.731202164474976,-145.62437177690776
7,19.837614059448242,606.7000122070312,30.583315634073074,-142.55263134515508
8,19.89055824279785,606.6900024414062,30.501406498285785,-141.23810902523098
9,20.064199447631836,602.9450073242188,30.050788166152522,-133.21469997626576
10,19.939577102661133,605.25,30.354204448961127,-138.5903116185719
11,19.99501609802246,605.010009765625,30.258040643711283,-136.98433817563506
12,19.981117248535156,604.5250244140625,30.254815929193402,-136.84181204243043
13,19.992446899414062,604.9400024414062,30.25842736934496,-136.97763434628774
14,19.830060958862305,608.7999877929688,30.700863151955584,-144.83871074675022
15,19.792295455932617,605.7100219726562,30.6033235670549,-142.6792640047259
16,19.822507858276367,608.3200073242188,30.688347391434164,-144.54483409365787
17,19.845165252685547,608.780029296875,30.676490799918728,-144.44659161525425
18,19.886707305908203,609.7100219726562,30.65917412036912,-144.35301330491853
19,19.8975830078125,611.4400024414062,30.72936055607021,-145.81502307748679
20,19.89426040649414,612.0900268554688,30.767166727930356,-146.5469143720734
21,19.89803695678711,618.5399780273438,31.085477395113752,-152.9038136361196
22,19.95090675354004,620.7249755859375,31.112619754778695,-153.78613148102295
23,19.96978759765625,623.7050170898438,31.232431193361553,-156.30096044169818
24,19.9768123626709,621.0599975585938,31.08904395173275,-153.48285496270393
25,19.981117248535156,618.0800170898438,30.933206056591057,-150.39680471821168
26,19.962310791015625,613.7249755859375,30.744184979935028,-146.50514291692775
27,19.984893798828125,614.1199951171875,30.729209837142005,-146.34373083772664
28,20.143505096435547,612.4299926757812,30.403347865419537,-140.7456422593362
29,20.313444137573242,616.75,30.361665694061884,-140.87845471899732
30,20.319108963012695,619.1849975585938,30.473038885991965,-143.17387441584788
31,20.381420135498047,624.3800048828125,30.63476444388378,-146.8335722568042
32,20.336103439331055,624.969970703125,30.732041296288916,-148.54011397514944
33,20.256797790527344,620.5399780273438,30.63366601396031,-146.06416436786026
34,20.256797790527344,619.0800170898438,30.561593371847906,-144.60420343036026
35,20.1812686920166,612.52001953125,30.3509174214381,-139.90519703242984
36,20.298337936401367,609.1699829101562,30.0108306807584,-133.67064526046886
37,20.377643585205078,608.6199951171875,29.867044860823263,-131.16661439900798
38,20.411630630493164,602.4400024414062,29.51454557194536,-124.14920154868042
39,20.441843032836914,600.77001953125,29.389229658313997,-121.73480337589365
40,20.441843032836914,605.2999877929688,29.610832390241935,-126.2647716376124
41,20.536252975463867,607.7100219726562,29.592059598152154,-126.3486021134056
42,20.385196685791016,587.719970703125,28.830723576622653,-110.08048616928784
43,20.569561004638672,587.344970703125,28.55408389953835,-105.16286121437201
44,20.460725784301758,586.969970703125,28.687641723514545,-107.46949500862456
45,20.504606246948242,586.530029296875,28.604793587985622,-105.94836562686459
46,20.630664825439453,587.6799926757812,28.485751557124775,-103.99232211672319
47,20.672204971313477,586.5,28.37142921202057,-101.78880545073804
48,20.634441375732422,582.75,28.2416174680336,-98.96927753311314
49,20.385196685791016,577.6749877929688,28.337964881919557,-100.03550325913159
50,20.61178207397461,574.9000244140625,27.891815581533724,-91.67761339414852
51,20.653324127197266,587.739990234375,28.45740407765215,-103.49400822834406
52,20.623111724853516,586.0900268554688,28.41908799578264,-102.58846011206833
53,20.599472045898438,583.35498046875,28.318928716665912,-100.43588107162753
54,20.645771026611328,581.530029296875,28.1670289061771,-97.4701511065017
55,20.626888275146484,581.3400268554688,28.18360283436113,-97.74540820423954
56,20.581571578979492,586.530029296875,28.497825204753255,-104.05198654367854
57,20.632326126098633,583.4099731445312,28.276500166723967,-99.68136914521114
58,20.649547576904297,579.9400024414062,28.08487693406156,-95.78707234320416
59,20.626888275146484,575.1500244140625,27.883508978281796,-91.55540576283329
60,20.600452423095703,575.989990234375,27.96006507063979,-93.04673493794752
61,20.495315551757812,572.239990234375,27.92052597527809,-91.8872436568061
62,20.40030288696289,572.1599731445312,28.04664108738201,-94.14828097937885
63,20.2379150390625,572.9000244140625,28.308253261675986,-98.8894702937231
