,ba,cat,Ratio,Spread
0,215.27999877929688,223.9550018310547,1.0402963726353944,46.224031004047106
1,215.4893035888672,224.69000244140625,1.0426967775165914,45.752936364106176
2,217.16000366210938,225.72000122070312,1.0394179287817322,46.82947171080133
3,217.36000061035156,225.2899932861328,1.0364832197898126,47.511649620889045
4,216.44000244140625,225.50999450683594,1.0419053408017083,46.131651121337086
5,216.57000732421875,224.86000061035156,1.0382785843181055,46.94556415960892
6,215.5,224.2100067138672,1.040417664565509,46.246418866104534
7,208.5,222.9250030517578,1.0691846669149057,38.70533870975328
8,209.8699951171875,223.05999755859375,1.0628484430756344,40.29772873651433
9,209.14190673828125,221.94000244140625,1.06119335862774,40.49969970234844
10,209.0832977294922,221.77999877929688,1.060725563388767,40.58580507530223
11,209.52000427246094,222.2899932861328,1.0609487817548233,40.62644036165375
12,209.11990356445312,220.99000549316406,1.0567621815350179,41.42195352823643
13,209.3000030517578,221.6699981689453,1.059101743606418,40.96904273397132
14,212.14999389648438,217.4499969482422,1.0249823389311237,48.782509394303304
15,213.35000610351562,217.72000122070312,1.020482751310854,50.025563453618645
16,214.00999450683594,217.60000610351562,1.0167749716780867,50.97771756608
17,215.76499938964844,219.32000732421875,1.0164762957135154,51.470547802164106
18,216.25,219.83999633789062,1.0166011391347543,51.56208107977329
19,216.82000732421875,219.90499877929688,1.0142283523238933,52.21578326989436
20,216.02000427246094,220.0,1.0184241998371557,51.11208290778569
21,219.0500030517578,220.47000122070312,1.006482529783895,54.46251357221223
22,218.02000427246094,221.2100067138672,1.01463169607785,52.4238144277644
23,218.2949981689453,221.82000732421875,1.0161479153660924,52.160545128832325
24,218.0800018310547,222.22000122070312,1.0189838561761186,51.489468989650106
25,217.54449462890625,222.11000061035156,1.0209865388192576,50.92426510692292
26,217.2100067138672,222.13499450683594,1.0226738531409212,50.477525728381806
27,217.61000061035156,222.44000244140625,1.0221956795069507,50.6768577448463
28,225.32000732421875,225.4600067138672,1.000621335811724,57.37816282916907
29,225.9199981689453,226.6999969482422,1.0034525441997995,56.89468252134634
30,224.8625946044922,225.63999938964844,1.003457243684854,56.6214325813969
31,225.17990112304688,226.0399932861328,1.0038195778521812,56.621520674756425
32,225.73080444335938,226.9199981689453,1.0052681942480932,56.43613277493631
33,223.89999389648438,226.4600067138672,1.0114337333058008,54.58771175252292
34,223.89999389648438,227.00999450683594,1.013890132626754,54.03772395955417
35,222.53509521484375,226.75010681152344,1.0189408847741988,52.57665305945716
36,222.52999877929688,227.41000366210938,1.0219296495285224,51.9103302706838
37,223.25999450683594,227.44000244140625,1.018722601618815,52.8007605597266
38,222.87359619140625,227.25039672851562,1.019638039731501,52.50316856986092
39,223.9499969482422,227.69000244140625,1.0167001810409868,53.420763328697205
40,224.8000030517578,228.75,1.017571160563253,53.43251221522229
41,225.9199981689453,228.9199981689453,1.0132790369348206,54.674681300643215
42,228.92999267578125,229.17999267578125,1.0010920369021024,58.20989590958442
43,226.5,228.75,1.009933774834437,55.57598586612414
44,225.14869689941406,228.3249969482422,1.014107565766846,54.29717257075089
45,225.3936004638672,228.60000610351562,1.014225806025768,54.33095475652078
46,226.6490020751953,228.375,1.007615290202037,56.13885798109533
47,225.77000427246094,229.875,1.0181822015761897,53.53055679778441
48,225.05999755859375,229.8800048828125,1.021416543928309,52.63032637664884
49,220.1195068359375,222.5,1.0108145488706586,53.781019084819775
50,220.6300048828125,221.39500427246094,1.0034673406731545,55.52968603391298
51,221.77999877929688,222.9398956298828,1.0052299434438188,55.43478646521811
52,220.37449645996094,223.19000244140625,1.0127760064194036,53.41252518548043
53,218.92999267578125,222.6199951171875,1.0168547141317035,52.161202298948695
54,218.93499755859375,222.7899932861328,1.0176079465162136,51.997514632175466
55,217.09500122070312,221.7100067138672,1.0212579998029174,50.75750664674348
56,219.10000610351562,219.36000061035156,1.0011866476476186,55.63556148627714
57,220.34060668945312,221.3000030517578,1.0043541514054959,55.25979401011597
58,220.0500030517578,221.32000732421875,1.0057714349231899,54.87337658561955
59,219.65499877929688,220.77999877929688,1.0051216680988462,54.915336442342834
60,218.27000427246094,219.44500732421875,1.0053832548163195,54.50403109664359
61,216.61529541015625,218.69000244140625,1.0095778418016215,53.17266467747743
62,213.99000549316406,216.6300048828125,1.0123370219256935,51.922515256766474
63,206.9949951171875,214.5030059814453,1.0362714608631347,45.2297216025093
64,210.42999267578125,216.89999389648438,1.0307465734253565,47.163816025806796
65,208.2899932861328,215.73989868164062,1.035766986584294,45.62565210000889
66,206.8800048828125,215.1112060546875,1.0397873210440882,44.47653389399591
67,207.30999755859375,214.85000610351562,1.0363706942922073,45.27989833056341
68,205.30999755859375,213.67999267578125,1.0407675963991903,43.92817352445195
69,205.36000061035156,214.08999633789062,1.0425106919633453,43.581217166055865
70,195.8000030517578,210.4600067138672,1.0748723362288923,35.157301110589685
71,196.6999969482422,210.1999969482422,1.0686324362452952,36.552085385710996
72,193.3455047607422,208.0850067138672,1.0762340038438678,34.43750001790795
73,195.9416961669922,208.4499969482422,1.0638368505832967,37.34596734929431
74,198.48500061035156,209.76499938964844,1.0568304846442316,39.237738935452825
75,200.39999389648438,212.27999877929688,1.059281463296596,39.13729543940403
76,204.14999389648438,214.42999267578125,1.0503551265571403,41.71556073138072
77,201.32000732421875,210.47000122070312,1.0454499978323,42.107309516182454
78,201.25340270996094,211.05999755859375,1.0487275977279535,41.433333477129594
79,201.55889892578125,212.1999969482422,1.0527939876590575,40.67852483134581
80,201.49000549316406,213.39999389648438,1.0591095740663146,39.391662281557814
