,fcx,ecl,Ratio,Spread
0,41.58000183105469,229.91000366210938,5.529340873919765,-42.54304378063949
1,41.789798736572266,230.6999969482422,5.520485954060016,-42.36435775169926
2,41.974998474121094,230.72000122070312,5.496605350991239,-41.529253344278004
3,41.89500045776367,231.46499633789062,5.524883489886614,-42.64361722551439
4,41.959999084472656,231.8800048828125,5.526215680224358,-42.758512548814565
5,41.85499954223633,231.17999267578125,5.523354323358553,-42.543306752085414
6,41.9900016784668,231.75,5.519171010627643,-42.48997896783581
7,42.130001068115234,233.67999267578125,5.546641033736754,-43.773563096547576
8,41.82500076293945,233.6300048828125,5.585893619153948,-45.13183004397101
9,41.86000061035156,233.7449951171875,5.583970179383721,-45.08521814157865
10,41.9900016784668,233.97000122070312,5.572040768473868,-44.709980188538935
11,41.939998626708984,233.9149932861328,5.577372459358329,-44.88584754647508
12,42.025001525878906,234.0050048828125,5.5682331085392756,-44.583381713880925
13,42.0,234.17999267578125,5.575714111328125,-44.873807153102916
14,41.970001220703125,234.42999267578125,5.585656084282903,-45.26231823795726
15,41.849998474121094,234.625,5.606332343000819,-46.011405128217206
16,41.86800003051758,235.35000610351562,5.6212383188107635,-46.65329401283307
17,42.0,235.57000732421875,5.608809698195684,-46.263821801540416
18,42.0099983215332,235.34970092773438,5.602230667243336,-45.9973509145419
19,42.06999969482422,236.00999450683594,5.6099357313727705,-46.38060471062286
20,41.98500061035156,235.69000244140625,5.613671525904325,-46.453072461155074
21,42.334999084472656,235.36000061035156,5.559466297394472,-44.507049262426676
22,41.96500015258789,234.91000366210938,5.597760105038937,-45.7654202761984
23,41.8650016784668,234.73500061035156,5.606950703434157,-46.05213258282967
24,41.810001373291016,234.19500732421875,5.601411136853652,-45.76608802780444
25,41.70000076293945,234.47000122070312,5.622781700979883,-46.54897938650396
26,41.650001525878906,234.69000244140625,5.634813777751807,-46.999838286401626
27,41.619998931884766,234.08999633789062,5.624459450876056,-46.538360881052256
28,41.540000915527344,234.4600067138672,5.644198400251546,-47.277740021077705
29,41.779998779296875,234.06500244140625,5.602321907136862,-45.7746118431582
30,41.63169860839844,234.07000732421875,5.622398680533284,-46.4643518397547
31,41.790000915527344,234.6300048828125,5.6145010706528655,-46.29343218073839
32,41.79499816894531,234.83999633789062,5.618854088439281,-46.48035019721539
33,41.935001373291016,234.85000610351562,5.600333812152797,-45.84393380245899
34,41.72999954223633,234.5,5.619458484840258,-46.44046708094649
35,41.95500183105469,231.16000366210938,5.509712634334983,-42.06158476671254
36,41.599998474121094,229.27000427246094,5.511298381779684,-41.81071540996277
37,41.505001068115234,229.61500549316406,5.532225023108306,-42.594340937141936
38,41.41999816894531,229.1750030517578,5.532955412431235,-42.546815925009525
39,41.525001525878906,230.3000030517578,5.546056462110711,-43.18699190139549
40,41.599998474121094,229.88999938964844,5.526202111104896,-42.43071052715027
41,41.47999954223633,229.8699951171875,5.541706790115225,-42.964768207418615
42,42.310001373291016,233.83999633789062,5.526825543558278,-43.10246502290707
43,41.56999969482422,233.82000732421875,5.624729589625932,-46.499229546574924
44,42.02009963989258,233.7449951171875,5.562694927436042,-44.34600505405933
45,42.064998626708984,233.7050018310547,5.55580671486495,-44.098703086754625
46,41.974998474121094,233.48500061035156,5.562477882025473,-44.29425273392644
47,42.23500061035156,233.80999755859375,5.535929778139703,-43.41876156905795
48,42.13999938964844,233.4600067138672,5.5401046534237945,-43.50741264411937
49,43.46500015258789,235.72000122070312,5.423214089340535,-39.64958177908443
50,42.970001220703125,236.4949951171875,5.503723258058536,-42.71009664222501
51,43.30500030517578,237.2100067138672,5.4776585854339785,-41.878342413658174
52,42.90449905395508,235.97000122070312,5.499889438726605,-42.487540924534386
53,42.25,236.02499389648438,5.586390388082471,-45.56450236452142
54,41.75,234.52000427246094,5.61724561131643,-46.36812475906723
55,41.70000076293945,233.22999572753906,5.593045358762208,-45.308973893339896
56,40.654998779296875,232.3022003173828,5.713988618680767,-49.20618676091556
57,40.599998474121094,229.1300048828125,5.643596391484167,-46.28794005745283
58,40.900001525878906,231.32000732421875,5.655745689345617,-47.092761197068
59,40.665000915527344,230.36749267578125,5.665006454919782,-47.22529701548794
60,40.86000061035156,230.8699951171875,5.650269008040553,-46.82744217871715
61,40.79999923706055,230.92999267578125,5.6600489459327425,-47.1644795203315
62,40.529998779296875,230.47000122070312,5.686405333385538,-47.951140668878196
63,40.83000183105469,228.39999389648438,5.593925634428132,-44.49595204286837
64,40.9900016784668,229.8800048828125,5.608197010725544,-45.23720788778681
65,41.400001525878906,230.74000549316406,5.5734298789561585,-44.204147347444064
66,41.98500061035156,230.1199951171875,5.48100492489812,-40.883065136936324
67,41.85900115966797,230.57000732421875,5.508253922369696,-41.91484503633012
68,41.8650016784668,230.63999938964844,5.509136274758059,-41.957131362126546
69,41.88999938964844,229.9600067138672,5.489615900321385,-41.161718653403994
70,41.15999984741211,225.75,5.484693897883816,-40.32228337305048
71,41.310001373291016,225.91000366210938,5.468651565046219,-39.78969638426432
72,40.880001068115234,224.281005859375,5.486325831686566,-40.14610632656445
73,41.01499938964844,224.4600067138672,5.472632209047831,-39.70178968590017
74,41.3650016784668,225.1199951171875,5.442281783693901,-38.74573910823486
75,41.33000183105469,224.3000030517578,5.427050401996897,-38.087349179572556
76,41.630001068115234,225.83999633789062,5.4249337147114165,-38.2421787772262
77,41.8849983215332,223.2899932861328,5.331025480102234,-34.51479627758263
78,42.0099983215332,224.0399932861328,5.333016001842968,-34.687643272940335
79,42.4099006652832,223.5800018310547,5.271882233246482,-32.38121310379168
