,pypl,tsla,Ratio,Spread
0,103.91000366210938,261.6566467285156,2.5181083390138337,22.296369003032474
1,105.0199966430664,266.8466491699219,2.5409127566139524,20.169099465790417
2,106.54000091552734,265.23333740234375,2.4895188203784606,25.976462168467627
3,108.06999969482422,268.5133361816406,2.4846241967233067,26.918091530137325
4,109.55999755859375,268.52667236328125,2.450955443109339,31.01601151208674
5,109.37000274658203,267.0899963378906,2.442077257296563,31.928446959066626
6,109.19000244140625,268.6333312988281,2.460237432845399,29.888448625585873
7,110.20999908447266,268.1233215332031,2.432840248258188,33.21287013475452
8,110.93000030517578,269.9433288574219,2.4334564871070934,33.379516300708836
9,110.80000305175781,284.010009765625,2.563267165551935,18.954142254508632
10,113.22000122070312,289.4800109863281,2.556792155672531,20.1614877803187
11,111.2699966430664,288.3266296386719,2.591234280015038,15.934345750205942
12,110.62000274658203,289.296630859375,2.6152289249361256,13.170857788215379
13,110.31999969482422,285.82666015625,2.5908870644210116,15.813049186667534
14,110.80999755859375,287.86334228515625,2.5978102032981347,15.12838694084487
15,111.94000244140625,290.3333435058594,2.5936513951554643,15.776336189947493
16,109.87999725341797,294.3833312988281,2.679134862188677,6.042307344249843
17,107.83000183105469,289.1700134277344,2.681721306847408,5.5992034710866045
18,107.37999725341797,288.6999816894531,2.688582502084797,4.827566252358644
19,106.68000030517578,287.1666564941406,2.6918509155666754,4.429434471837475
20,107.30000305175781,288.6750183105469,2.690354241381522,4.631806727814046
21,106.37999725341797,287.8899841308594,2.7062416954669506,2.8783275304458806
22,106.5199966430664,288.163330078125,2.7052510247791313,2.991272978347035
23,104.9000015258789,286.57666015625,2.73190329826212,0.10799359863491365
24,105.6500015258789,285.64666748046875,2.703707177992797,3.107413484796006
25,105.44999694824219,283.010009765625,2.6838313699006955,5.19221131275716
26,106.63999938964844,287.9049987792969,2.6997843250854694,3.580720209304695
27,106.19999694824219,289.8299865722656,2.7290959971827276,0.44166171649637764
28,106.7300033569336,291.7416687011719,2.733455069100953,-0.007607500647600851
29,106.58000183105469,293.2966613769531,2.751892065472774,-1.9764898287652164
30,104.13999938964844,287.6666564941406,2.7623070691388425,-3.079028206805254
31,103.8949966430664,285.4800109863281,2.7477743896282236,-1.5684031661856812
32,102.41000366210938,284.1700134277344,2.774826708973884,-4.355852116946017
33,104.16000366210938,285.73333740234375,2.743215508413868,-1.0905126006690358
34,102.98999786376953,284.0482482910156,2.7580178093288406,-2.63374593652319
35,101.80999755859375,280.8800048828125,2.758864665733444,-2.7214021813698315
36,101.33999633789062,279.7933349609375,2.760936896307385,-2.9315766795412292
37,100.80000305175781,281.02972412109375,2.78799321044458,-5.657934906025026
38,99.19000244140625,277.5433349609375,2.7980978740764577,-6.6139178415884095
39,100.2249984741211,279.3999938964844,2.7877275944147577,-5.6147781734881965
