,tgt,hd,Ratio,Spread
0,223.5,321.760009765625,1.4396421018596197,76.54830338187179
1,222.72000122070312,321.5050048828125,1.443538986712823,75.40699366675688
2,223.6999969482422,324.5899963378906,1.4510058147787614,74.07634129090502
3,224.0399932861328,323.54998779296875,1.4441617456207771,75.72499418558658
4,223.36749267578125,322.7799987792969,1.44506255101235,75.29110641858523
5,223.39500427246094,322.2149963378906,1.4423554250340582,75.90535873713975
6,224.0399932861328,324.25,1.4472862422642725,75.02498197855533
7,219.82000732421875,324.8599853515625,1.477845394083794,66.86058993038114
8,218.6699981689453,324.6600036621094,1.4847030062682662,65.00188305021118
9,214.7100067138672,322.0,1.4996972191850964,60.572909109845625
10,212.59500122070312,321.44000244140625,1.5119828810448224,57.34673017279954
11,212.44000244140625,321.8699951171875,1.515110108351479,56.63926647534788
12,211.8300018310547,322.19000244140625,1.5209838061483347,55.22726672808159
13,211.0399932861328,322.8399963378906,1.5297574232774773,53.16303925451888
14,211.38999938964844,324.80999755859375,1.5365438218289686,51.81960136272647
15,208.16079711914062,321.3345947265625,1.5436844937841343,49.514248647890156
16,211.03500366210938,324.9100036621094,1.5396024262511758,51.084099756241585
17,212.47999572753906,324.45001220703125,1.5269673321297983,54.13084335555709
18,210.84500122070312,321.82989501953125,1.5263814325986989,53.82407558115489
19,209.73500061035156,319.4700012207031,1.5232078589220246,54.196902095929886
20,208.72999572753906,316.3900146484375,1.5157860447687164,55.4777794566088
21,215.80999755859375,318.64111328125,1.4764891195308825,65.90094413349777
22,215.32000732421875,318.0299987792969,1.4770109045204622,65.6349027535963
23,217.00999450683594,319.6499938964844,1.4729736048466433,67.04023772157348
24,218.4199981689453,320.2049865722656,1.4660058110823295,69.00936270955208
25,216.72999572753906,318.0199890136719,1.4673556742624079,68.16900286746414
26,216.92149353027344,319.57000732421875,1.4732058226384088,66.96179429524801
27,216.0,317.1199951171875,1.4681481255425348,67.7621951152251
28,211.75999450683594,310.4100036621094,1.4658576299315538,66.88194191538952
29,210.44500732421875,310.17999267578125,1.4739242171609583,64.75792896230718
30,212.88999938964844,313.2850036621094,1.4715815893667692,66.02981984222765
31,213.00999450683594,314.19500732421875,1.4750247191529577,65.33462540579421
32,214.00999450683594,316.29998779296875,1.4779683001340642,65.01979465905544
33,214.2899932861328,317.42999267578125,1.4813103860240908,64.39102951316471
34,214.9199981689453,317.9700012207031,1.4794807553029652,64.97882403407533
35,211.88999938964844,317.70001220703125,1.499362938893623,59.824661575294556
36,212.27999877929688,318.8500061035156,1.5020256639204967,59.37282497777386
37,211.25259399414062,318.20001220703125,1.5062537514491157,58.183610483717814
38,211.0,319.351806640625,1.513515671282583,56.57963498173149
39,209.3300018310547,319.5899963378906,1.526728101764525,53.35189852656919
40,207.02000427246094,317.68499755859375,1.534561834616164,51.12165581850286
41,207.0399932861328,316.80999755859375,1.5301874412290815,52.032439145770866
42,209.22999572753906,321.2799987792969,1.5355350826354277,51.48287018675501
43,209.89500427246094,321.0199890136719,1.529431298883901,52.933344814206976
44,208.66000366210938,318.7449951171875,1.527580703167928,52.9975027113868
45,208.2899932861328,319.114990234375,1.5320706731983966,51.96513362250363
46,208.4199981689453,317.6099853515625,1.5238940031757786,53.70286671014304
47,208.72999572753906,319.6600036621094,1.53145216406448,52.207790442936926
48,208.75999450683594,318.5,1.5256754568920559,53.42149641146523
49,214.41000366210938,324.3070068359375,1.5125553905918299,57.72885189420134
50,213.69000244140625,325.42999267578125,1.5229069631604037,55.316956069268144
51,214.33999633789062,328.03900146484375,1.5304609828756148,53.871533673306146
52,213.02000427246094,326.5950012207031,1.5331658748958399,52.952550488460815
53,213.84500122070312,326.4815979003906,1.526720737154097,54.54282186632918
54,215.64500427246094,329.44000244140625,1.5276959628759532,54.80669228803714
55,215.5,328.7900085449219,1.5257076962641387,55.19710682648514
56,218.14999389648438,332.9486083984375,1.526237074095115,55.78239281009246
57,217.01499938964844,332.20001220703125,1.5307698230137963,54.49917890060209
58,217.55999755859375,333.2300109863281,1.531669492212519,54.4448084419393
59,215.80999755859375,331.0,1.5337565624601401,53.542057414747774
60,212.69000244140625,325.4200134277344,1.530020262787782,53.5367855953038
61,215.40179443359375,329.0299987792969,1.5275174454534712,54.781313924708
62,215.60000610351562,331.1199951171875,1.5358069839673727,53.04614615262744
63,219.5850067138672,329.7099914550781,1.501514135182784,61.589897549572186
64,218.57000732421875,328.57000732421875,1.5032712463463938,60.912880805210875
65,218.67999267578125,329.79998779296875,1.5081397422668472,59.87979058298578
66,219.42999267578125,331.4100036621094,1.5103222655244954,59.61238700535358
67,219.27000427246094,332.6600036621094,1.5171249928410275,58.07598380962469
68,219.8000030517578,334.17999267578125,1.5203821111735363,57.50477196337738
69,220.7100067138672,336.29998779296875,1.5237188055046127,57.01381964894421
70,219.75999450683594,333.69940185546875,1.5184720158203706,57.91374149811992
71,219.6699981689453,332.5950012207031,1.5140665725544764,58.85703521362865
72,221.7899932861328,333.8555908203125,1.5052779698207712,61.391554283717596
73,223.33999633789062,333.9375,1.4951979290569462,64.0843826362509
74,223.30499267578125,334.989990234375,1.5001455463234998,62.96923060588142
75,225.1300048828125,336.69000244140625,1.4955358909918044,64.53626349393426
76,225.83999633789062,338.8399963378906,1.5003542411988662,63.65726060338835
77,224.13999938964844,331.29998779296875,1.4780939979259646,68.15402008399451
78,224.0800018310547,331.9700012207031,1.48147982197444,67.37660204342222
79,223.5377960205078,331.93280029296875,1.4849068309795654,66.44317339013321
80,221.80999755859375,329.614990234375,1.4860240469877977,65.6679655124401
