,adm,wmt,Ratio,Spread
0,88.26000213623047,147.27999877929688,1.6687060414067096,-4.662287226657554
1,86.68000030517578,147.5399932861328,1.7021226668976257,-7.4753775859747975
2,86.52999877929688,146.99000549316406,1.6987172953518268,-7.167774495390631
3,86.63999938964844,146.69000244140625,1.6930979163757065,-6.69002348376398
4,87.12999725341797,147.00999450683594,1.6872489285091647,-6.2182370277222105
5,87.25,147.25,1.6876790830945558,-6.264332293338981
6,87.83999633789062,147.25999450683594,1.6764572022564388,-5.3209625865131045
7,88.6050033569336,147.94000244140625,1.6696574328364893,-4.764809771741795
8,88.63999938964844,148.6300048828125,1.676782557606491,-5.398262768570561
9,88.88500213623047,149.3000030517578,1.6796984807732998,-5.672365512681097
10,88.65499877929688,149.02000427246094,1.680897933837215,-5.7640249208003524
11,88.9260025024414,149.85000610351562,1.685108988221995,-6.156116827975097
12,88.94000244140625,149.51499938964844,1.68107707764174,-5.798487870637302
13,89.31999969482422,149.8699951171875,1.6778996375866753,-5.539453036573747
14,90.30000305175781,149.5800018310547,1.6564783696111172,-3.665890379299924
15,90.0999984741211,149.64999389648438,1.6609322578342494,-4.059066157308422
16,90.55999755859375,149.82000732421875,1.6543729169966335,-3.48577553840866
17,90.5199966430664,149.8800048828125,1.6557667967422856,-3.610409839518155
18,90.45999908447266,150.0,1.658191482623476,-3.8273539063802673
19,90.33999633789062,149.47000122070312,1.6545274217374752,-3.491265354630684
20,90.26399993896484,148.94000244140625,1.6500487740640482,-3.0840677563751058
21,90.94000244140625,149.44000244140625,1.6432812670935681,-2.4917277657954457
22,91.06999969482422,149.6938934326172,1.6437234427829337,-2.535558589978706
23,90.375,149.72999572753906,1.6567634382023686,-3.694698088691041
24,90.58999633789062,149.8802947998047,1.654490571351475,-3.4975885391572774
25,90.86000061035156,151.0399932861328,1.6623375772784776,-4.220992095553527
26,91.04000091552734,150.90499877929688,1.6575680718557555,-3.7951384114957136
27,91.13999938964844,151.00999450683594,1.6569014210898432,-3.7385484468443906
28,90.27999877929688,152.0800018310547,1.6845370390714922,-6.198214914656859
29,90.29000091552734,152.92999267578125,1.6937644382001726,-7.032043491704968
30,89.88140106201172,152.02000427246094,1.6913399488240959,-6.78230406457655
31,90.11000061035156,151.32000732421875,1.6792809488321718,-5.712917317364344
32,90.2708969116211,150.99000549316406,1.6726321622902391,-5.122926117071643
33,90.25,150.47999572753906,1.6673683737123441,-4.646683285978526
34,90.43000030517578,151.0800018310547,1.6706845219639748,-4.955830212272275
35,91.02999877929688,152.65310668945312,1.6769538474845207,-5.559408589330417
36,91.33000183105469,152.10000610351562,1.665389281223002,-4.521538598623721
37,90.88999938964844,152.66000366210938,1.679612770241651,-5.792527996692797
38,91.26000213623047,152.5,1.6710497088565932,-5.034643712461161
39,90.9800033569336,152.06500244140625,1.6714112643502927,-5.052091023279672
40,90.93000030517578,151.93499755859375,1.6709006603835406,-5.002885150661399
41,90.9000015258789,151.49000549316406,1.666556688121016,-4.606367560069032
42,92.98999786376953,152.5800018310547,1.6408216511047198,-2.319177316848055
43,93.1500015258789,153.3300018310547,1.6460547430958077,-2.810630346785018
44,92.98999786376953,153.67999267578125,1.6526507818714293,-3.4191681615746177
45,92.93000030517578,154.0500030517578,1.6576993709874972,-3.8861274872257923
46,92.62999725341797,153.99000549316406,1.6624204907604265,-4.31089933340121
47,92.5,154.5,1.6702702702702703,-5.030954007264825
48,92.83999633789062,154.97999572753906,1.6693235872553276,-4.961555915717014
49,92.19100189208984,154.9199981689453,1.6804242820821078,-5.95025652651168
50,92.69000244140625,155.11000061035156,1.6734275167206296,-5.33393317271603
51,93.11000061035156,155.74380493164062,1.6726861122405117,-5.289070189886701
52,93.45999908447266,157.0601043701172,1.680506162087166,-6.039813541597937
53,93.875,156.8000030517578,1.6703062908309754,-5.109119888860363
54,94.31999969482422,156.2899932861328,1.657018594060801,-3.8800433140198436
55,93.97000122070312,156.5673065185547,1.6661413694231213,-4.722912633207045
56,94.38999938964844,156.6999969482422,1.6601334671205343,-4.176935758776153
57,94.54000091552734,157.86180114746094,1.6697884453006553,-5.0963552556103195
58,94.9800033569336,157.8896942138672,1.6623466901819304,-4.4132564825412715
59,95.37000274658203,157.64999389648438,1.653035434164695,-3.543363335877359
60,95.61000061035156,157.19000244140625,1.6440749026037293,-2.695563753902718
61,95.87999725341797,157.66000366210938,1.644347185841091,-2.7292823728720634
62,95.31999969482422,157.41000366210938,1.6513848527703738,-3.3841721116965857
63,95.4749984741211,156.5,1.6391725844585374,-2.2237087774624342
64,94.97000122070312,156.2899932861328,1.645677490547006,-2.8297178224853496
65,95.16000366210938,156.0850067138672,1.6402375021767346,-2.3177098053193674
66,94.9198989868164,155.1300048828125,1.6343254316395637,-1.750688695934258
67,94.80999755859375,155.1999969482422,1.6369581367442465,-1.9982684546577616
68,94.63999938964844,154.1999969482422,1.6293321845171982,-1.2729653642012124
69,94.56999969482422,154.30999755859375,1.631701364666908,-1.4960771919058402
70,95.0999984741211,153.9499969482422,1.6188222862078756,-0.27966131756704726
71,96.19999694824219,154.31539916992188,1.604110229368792,1.1324037312434712
72,95.93000030517578,153.8800048828125,1.6040863587332868,1.1315154166190382
73,95.625,153.86000061035156,1.608993470435049,0.6586753145706155
74,95.2300033569336,153.65499877929688,1.6135145790489929,0.22540934660401035
75,94.37999725341797,152.69219970703125,1.6178449263676102,-0.18530078524369742
76,95.06999969482422,153.22999572753906,1.6117597162028936,0.3918654282987859
77,94.4000015258789,154.61000061035156,1.6378177766021182,-2.070777153207075
