,adi,nvda,Ratio,Spread
0,168.35000610351562,284.3450012207031,1.6890109350270182,-101.88591879915757
1,168.3000030517578,282.8736877441406,1.6807705443543433,-100.46879902981951
2,168.40499877929688,282.8399963378906,1.6795225699242249,-100.32131241471646
3,167.9600067138672,282.8299865722656,1.6839126891325285,-100.79358860691462
4,169.0500030517578,284.260009765625,1.6815143722806885,-101.0422650557299
5,170.67999267578125,287.4200134277344,1.683970153278065,-102.43567293302482
6,170.24000549316406,286.5899963378906,1.6834468226647148,-102.08251746900254
7,169.14999389648438,283.82000732421875,1.6779191106439506,-100.49389173747232
8,167.8000030517578,278.8800048828125,1.6619785447607658,-97.01702016554071
9,167.83999633789062,280.2749938964844,1.6698939466862408,-98.36866413599157
10,168.2581024169922,280.385009765625,1.6663982639644297,-98.02553329422068
11,167.33999633789062,278.20001220703125,1.6624836757214552,-96.83558644358777
12,166.08999633789062,276.1700134277344,1.6627733127641164,-96.16034765691418
13,166.5,276.9200134277344,1.6631832638302364,-96.46598241031032
14,166.8699951171875,279.3900146484375,1.6742974939996298,-98.53497996522819
15,167.30999755859375,280.92999267578125,1.6790986598239388,-99.59807982915291
16,166.5222930908203,277.8796081542969,1.6687231661093143,-97.4014157068286
17,166.66000366210938,276.6700134277344,1.6600864475477992,-96.04256916223113
18,166.64999389648438,278.4642028808594,1.6709523737146312,-97.84760727935955
19,166.91000366210938,277.2300109863281,1.6609550350711708,-96.33161472230023
20,165.16000366210938,272.739990234375,1.651368274321166,-93.73825796001972
21,164.67999267578125,267.36981201171875,1.623571920713594,-88.88831948160106
22,164.1699981689453,266.75,1.624840122891948,-88.8212435933375
23,163.8000030517578,266.09991455078125,1.6245415726072883,-88.57216180990403
24,163.4499969482422,263.3100891113281,1.6109519365406135,-86.16167578342444
25,164.5399932861328,264.5299987792969,1.6076942358887958,-86.20023870684909
26,164.16000366210938,263.9731140136719,1.6080233194743823,-86.05518973341523
27,165.42959594726562,267.1499938964844,1.6148863349798932,-87.85607534832943
