,jnj,tmo,Ratio,Spread
0,167.27999877929688,538.0,3.216164538055847,-4.183598180728319
1,168.50999450683594,539.6900024414062,3.2027180584799835,-1.9248882192708208
2,169.38999938964844,543.9500122070312,3.2112286095224607,-3.3597774437905
3,169.3699951171875,544.0750122070312,3.2123459165868455,-3.54899808863359
4,169.72000122070312,543.4249877929688,3.201891255505598,-1.7753328268135475
5,169.14999389648438,543.531005859375,3.2133078656331646,-3.7112718762536416
6,169.47500610351562,547.0800170898438,3.228086723039776,-6.216881325519404
7,169.5800018310547,529.1799926757812,3.1205330048467665,12.02021574847078
8,170.26499938964844,528.2999877929688,3.1028102645098747,15.09930010366674
9,170.44000244140625,526.89501953125,3.0913812015015996,17.066088789264263
10,172.53500366210938,533.0601196289062,3.089576655835272,17.626668398444572
11,172.6649932861328,534.5900268554688,3.096111242245669,16.514072898364198
12,172.69000244140625,534.114990234375,3.0929120544520248,17.069397572011503
13,172.2100067138672,534.739990234375,3.105162124073683,14.903444997771834
14,170.8699951171875,525.1699829101562,3.0735061620969777,20.17155086548957
15,170.7100067138672,523.47998046875,3.0664867897648933,21.347935106148675
16,170.84190368652344,530.3400268554688,3.1042736905378074,14.911323695801746
17,170.97000122070312,531.530029296875,3.108908144714401,14.13255871698704
18,170.0,527.4000244140625,3.1023530847886027,15.148523635899044
19,169.63999938964844,527.0300903320312,3.106756025867983,14.362731040750822
20,168.6999969482422,523.8400268554688,3.105157298942838,14.53506102767796
21,169.22000122070312,533.989990234375,3.1555961847437,6.054491512697444
22,169.2899932861328,538.3599853515625,3.180105184608461,1.9091951734620296
23,169.8800048828125,538.767578125,3.1714596340908714,3.3957440279014635
24,169.27000427246094,539.2899780273438,3.1859748591917683,0.9150308388368047
25,169.47999572753906,538.2100219726562,3.1756551542395495,2.669132213379561
26,169.72000122070312,541.5999755859375,3.1911381787090805,0.04967938021770246
27,169.39999389648438,541.7000122070312,3.197756975942095,-1.0776916143685695
28,168.72999572753906,537.2050170898438,3.1838145599037935,1.266377267567981
29,168.32000732421875,536.125,3.1851531408700193,1.030189547123149
30,169.03500366210938,539.85498046875,3.1937466724222814,-0.4044049749782572
31,169.2899932861328,539.5700073242188,3.1872528130604927,0.6991732008057796
32,169.47999572753906,538.3099975585938,3.1762450503243844,2.569156627442061
33,169.42999267578125,535.0050048828125,3.1576759016131826,5.7136221841152
34,169.66000366210938,538.260009765625,3.1725804441075587,3.1970322520001617
35,170.42999267578125,534.6749877929688,3.1372118216898106,9.253985712124353
36,171.27000427246094,537.0800170898438,3.135867365516278,9.545684652667722
37,170.7100067138672,535.9299926757812,3.139417559593162,8.897922899117424
38,171.25,537.4299926757812,3.1382773294936133,9.131488421887132
39,170.60000610351562,535.4500122070312,3.138628329720775,9.024763300229273
40,170.0500030517578,532.5145263671875,3.13151729967983,10.194548801882155
41,169.41000366210938,529.8099975585938,3.1273831893381407,10.844457849489975
42,172.42999267578125,544.9000244140625,3.160123224261998,5.44964196736152
