,pypl,nvda,Ratio,Spread
0,118.18199920654297,284.3450012207031,2.405992478801804,-31.020440198003627
1,119.41999816894531,282.8736877441406,2.368729627209966,-26.895460801058135
2,120.16010284423828,282.8399963378906,2.3538594728445914,-25.27534596959788
3,120.18000030517578,282.8299865722656,2.3533864690802884,-25.222685753047188
4,120.84500122070312,284.260009765625,2.3522694931044086,-25.227271349000205
5,121.27999877929688,287.4200134277344,2.369887997366953,-27.454852422927388
6,121.19000244140625,286.5899963378906,2.364798997973889,-26.817743584279754
7,122.40989685058594,283.82000732421875,2.3186034350690674,-21.432895981531146
8,120.58999633789062,278.8800048828125,2.312629681996147,-20.393872551977665
9,121.55000305175781,280.2749938964844,2.3058411094991014,-19.731075430688065
10,121.26000213623047,280.385009765625,2.312262945951661,-20.462711809850305
11,118.8499984741211,278.20001220703125,2.3407658037758217,-23.443586582625585
12,118.16000366210938,276.1700134277344,2.3372546112766788,-22.892600123600346
13,118.51000213623047,276.9200134277344,2.3366805200915217,-22.89237411278131
14,117.91999816894531,279.3900146484375,2.3693183428323352,-26.62705605489407
15,117.13999938964844,280.92999267578125,2.3982413704930137,-29.83897100740606
16,116.81999969482422,277.8796081542969,2.3786989289523897,-27.474509746342022
17,117.08000183105469,276.6700134277344,2.3630851477690147,-25.707597260156604
18,117.19999694824219,278.4642028808594,2.375974489178823,-27.244575711686792
19,116.91999816894531,277.2300109863281,2.3711085813201986,-26.610564625810753
20,115.63999938964844,272.739990234375,2.358526389431903,-24.864236915538896
21,117.0199966430664,267.36981201171875,2.284821566242634,-16.536017698638886
22,116.75,266.75,2.284796573875803,-16.494946794208943
23,116.08889770507812,266.09991455078125,2.2922081250767286,-17.261942201436824
24,115.08000183105469,263.3100891113281,2.288061217603084,-16.634697409802442
25,115.98999786376953,264.5299987792969,2.2806276717927685,-15.904019449641737
26,115.79000091552734,263.9731140136719,2.2797574222859627,-15.775830589141748
27,116.66999816894531,267.1499938964844,2.289791703858903,-17.066425594223517
28,119.05000305175781,272.2267150878906,2.2866586149480246,-17.04157720465946
29,119.91999816894531,273.135009765625,2.2776435451644,-16.08502670602951
30,121.94999694824219,274.2300109863281,2.248708633446841,-12.828700710281794
31,121.5199966430664,272.5058898925781,2.242477760207596,-12.026290530881056
32,121.5199966430664,271.9599914550781,2.237985508293671,-11.480392093381056
33,121.86000061035156,273.85009765625,2.247251733830924,-12.641695631399784
34,121.9000015258789,273.7132873535156,2.2453919928410118,-12.41914287690031
35,119.23999786376953,264.8800048828125,2.2214022947688674,-9.28761079582273
36,118.87000274658203,263.19000244140625,2.2140994057390477,-8.390697414267777
37,117.69000244140625,261.3999938964844,2.221089204468547,-9.13003395846465
38,118.4800033569336,262.3800048828125,2.214550957534706,-8.41666831825816
39,118.1500015258789,261.010009765625,2.2091409766800116,-7.754036162857375
40,117.47000122070312,259.2294006347656,2.206771072962912,-7.43101600460372
41,117.63999938964844,259.32000732421875,2.2043523348321035,-7.157229539330558
42,112.43000030517578,244.71780395507812,2.176623706224542,-3.722722941811554
43,111.88999938964844,244.2899932861328,2.183304983633179,-4.452410841144371
44,111.19000244140625,241.19500732421875,2.169214875692814,-2.857876900868348
45,111.7699966430664,242.64500427246094,2.170931480362653,-3.0646491827678233
46,111.5199966430664,241.89999389648438,2.169117657622564,-2.8555168650477754
47,112.02999877929688,244.65960693359375,2.183875833254109,-4.521934084277717
48,112.47000122070312,243.88999938964844,2.168489345981744,-2.809175924616767
49,111.12000274658203,245.07000732421875,2.205453575114827,-6.8829221030321435
50,111.22000122070312,240.69000244140625,2.1640891907902877,-2.2885692676571523
51,111.18000030517578,237.32000732421875,2.13455663494157,0.995683397765248
52,112.52010345458984,239.39999389648438,2.1276197456848225,1.7882243197853995
53,112.63999938964844,240.50999450683594,2.1352094798478727,0.9352221129220197
54,113.45500183105469,243.59959411621094,2.1471031702855545,-0.40740979335257066
55,113.04000091552734,242.02000427246094,2.1410120515950624,0.2826205112475577
56,113.01000213623047,233.77000427246094,2.068578000650399,8.468317760848862
57,111.9800033569336,232.9250030517578,2.0800589039930184,7.105503998127233
58,112.76499938964844,234.68829345703125,2.0812157560174214,7.0248621918549645
59,112.33999633789062,232.43150329589844,2.0690004528467543,8.370653112471501
60,111.63600158691406,231.2220001220703,2.0712135586659537,8.07113492559526
61,111.80999755859375,231.89999389648438,2.0740541897870783,7.766103644973839
62,111.20999908447266,231.11000061035156,2.0781404775914574,7.269992862031131
63,110.18000030517578,218.6300048828125,1.9842984595866098,17.54217360614544
64,110.19999694824219,218.42999267578125,1.9821234004060055,17.78504886220901
65,110.22000122070312,217.0,1.968789671535949,19.257920940723068
66,110.93000030517578,219.6508026123047,1.9800847562249235,18.129010051422796
67,110.36000061035156,218.4600067138672,1.9795216156729165,18.09800463118347
68,110.83999633789062,219.6699981689453,1.9818658013961985,17.916889889885567
69,109.80000305175781,219.24000549316406,1.9967213060077798,16.117644234576176
70,111.4800033569336,221.5,1.9869034206144345,17.458750933372016
71,111.59500122070312,219.9398956298828,1.9708758745824497,19.265354631251057
72,111.32499694824219,217.33990478515625,1.9523010172297879,21.286588014988297
73,110.47000122070312,217.1125946044922,1.9653534190764834,19.681204394487366
74,108.3499984741211,213.602294921875,1.9714102254730805,18.647252255757166
75,107.88999938964844,213.5399932861328,1.9792380618608199,17.723540226751425
76,108.2699966430664,215.02000427246094,1.9859611244038105,17.05805800164103
77,105.1094970703125,220.74000549316406,2.1000957253700974,4.5634872842663015
78,104.01000213623047,222.1199951171875,2.135563797280368,0.82671681888786
