,intc,asml,Ratio,Spread
0,55.060001373291016,733.4500122070312,13.320922519315802,92.76999782946768
1,55.30849838256836,733.135009765625,13.255377224211315,96.88287663571998
2,55.41999816894531,733.8150024414062,13.240978467815985,97.90697852670189
3,55.27000045776367,729.7000122070312,13.202460759244152,99.72949544828157
4,55.380001068115234,733.6300048828125,13.247200988322053,97.48068484945065
5,55.474998474121094,740.4199829101562,13.346913082936988,92.14258909642706
6,55.70000076293945,744.530029296875,13.366786698363125,91.47134013115249
7,55.22999954223633,737.530029296875,13.353793869450602,91.28812882109207
8,55.185001373291016,727.9400024414062,13.19090304116078,100.19043117317244
9,54.939998626708984,727.5499877929688,13.242628430632534,96.83597363149295
10,54.87009811401367,722.9199829101562,13.175117372817756,100.39766181372158
11,55.06999969482422,722.1199951171875,13.112765555091446,104.25282315289746
12,54.93000030517578,719.7100219726562,13.102312360716327,104.52313121821942
13,54.790000915527344,715.239990234375,13.054206575705273,106.85349787729137
14,54.310001373291016,721.3099975585938,13.281347437294027,93.4474710094263
15,53.91999816894531,707.760009765625,13.126113386503272,101.03688826552536
16,54.40999984741211,714.1099853515625,13.124609214376381,102.1757987583211
17,54.3650016784668,716.0999755859375,13.17207676771901,99.49808402055771
18,53.959999084472656,707.9949951171875,13.120737715522269,101.41325245130861
19,53.935001373291016,706.5250244140625,13.099564409465994,102.50117341971804
20,53.59000015258789,698.8099975585938,13.03993274060194,104.94341254320625
21,53.67499923706055,722.3400268554688,13.457662545372155,82.71245728706538
22,53.81999969482422,725.4600219726562,13.479376181461081,81.80856051663056
23,53.83000183105469,726.6799926757812,13.499534979702664,80.74145634859235
24,53.54999923706055,726.1099853515625,13.559477043821149,77.03207521289175
25,53.125,723.0,13.609411764705882,73.64663205928309
26,52.68000030517578,715.3599853515625,13.579346644029513,74.4855434338765
27,52.040000915527344,706.2100219726562,13.570522858348799,73.8541474212542
28,52.5,707.5599975585938,13.477333286830357,79.53451661029021
29,53.02000045776367,717.0700073242188,13.524519070788104,77.9718759256574
30,52.560298919677734,709.1500244140625,13.492123123153855,78.8660615779022
31,52.51499938964844,707.0,13.462820303095372,80.3237556700135
32,52.439998626708984,703.6563110351562,13.41831291881016,82.52117882770915
33,52.15999984741211,697.5413818359375,13.373109353460737,84.35677786850943
34,52.02000045776367,694.7100219726562,13.354671585147496,85.04847265258138
35,51.29169845581055,669.3599853515625,13.050064737634644,99.26758674172322
36,51.10499954223633,667.5999755859375,13.06330068615286,98.17420445539562
37,50.16999816894531,652.530029296875,13.006379372379248,98.95416139188092
38,50.36000061035156,657.0499877929688,13.047060759127776,97.33808404742899
39,50.560001373291016,658.0,13.014240152841396,99.4447612256256
40,51.26580047607422,672.9000244140625,13.125709891687059,95.33173879031995
41,51.91999816894531,688.0700073242188,13.252504460521555,90.16011345765457
42,51.0,657.5999755859375,12.894117168351716,106.56945564598868
43,51.040000915527344,653.3900146484375,12.801528270538565,111.39076612083443
44,50.95000076293945,649.4199829101562,12.746221259775488,113.98529055083816
45,51.23429870605469,651.9500122070312,12.724874325838798,115.80029720377877
46,51.459999084472656,660.2000122070312,12.829382509768397,110.99976379986856
47,51.1349983215332,656.4199829101562,12.837000184934679,109.81268013343583
48,51.0099983215332,648.6599731445312,12.716330023298745,115.66226632098096
49,51.939998626708984,665.7100219726562,12.816904882056154,112.82577357788989
50,52.224998474121094,664.0599975585938,12.715366528687474,118.83156141791437
51,52.39500045776367,671.27001953125,12.811718936282288,114.21974582822702
52,52.34989929199219,672.989990234375,12.855611936913894,111.81047648119227
53,52.47999954223633,670.760009765625,12.781250297568922,116.02882963458615
54,51.689998626708984,653.9500122070312,12.65138381855413,120.76493618735526
55,51.689998626708984,653.77001953125,12.647901661839809,120.94492886313651
56,48.06999969482422,650.0,13.521947246236131,69.38909789761533
57,48.38859939575195,646.25,13.355418591775452,78.00838094258745
58,48.3849983215332,642.2899780273438,13.274568571008915,81.9133662984924
59,47.82500076293945,632.0599975585938,13.216100104035746,83.58468645040534
60,48.13999938964844,633.6199951171875,13.162027485472612,86.83893532003242
61,48.224998474121094,635.9749755859375,13.187661912052102,85.78302889201655
62,48.04999923706055,634.9349975585938,13.21404802580879,84.14842557034865
63,46.38999938964844,625.7899780273438,13.489760428127616,67.92302231675876
64,47.178001403808594,632.8499755859375,13.41409039711565,72.90636577757255
65,47.0,632.864990234375,13.465212558178191,70.1708864989971
66,47.04499816894531,633.8300170898438,13.472846035909484,69.89358414691674
67,46.57500076293945,629.1500244140625,13.50832021702699,67.39042381413844
68,47.070098876953125,636.0700073242188,13.513249865630874,68.03721778777867
69,47.7400016784668,644.969970703125,13.510053372998513,69.37563926513997
70,47.66999816894531,661.2000122070312,13.870359505022405,52.07570692012825
71,47.50960159301758,658.2000122070312,13.85404192283873,52.62430371616335
72,48.154998779296875,670.1500244140625,13.916520431980116,50.538147524286835
73,48.08539962768555,666.4193725585938,13.85907942366143,53.20508849773454
74,48.33000183105469,670.2999877929688,13.869231582819102,53.06282379589299
75,48.25,668.510009765625,13.85512973607513,53.63010274854525
76,48.83000183105469,677.2999877929688,13.870570599942564,53.70451810821225
77,48.50849914550781,669.5999755859375,13.80376609009035,56.490879828165696
78,48.779998779296875,671.875,13.773575580431462,58.365289828748466
79,48.7400016784668,675.8800048828125,13.867049273849625,53.74899371009098
80,48.654998779296875,678.010009765625,13.935053473973658,50.319856485043594
81,48.54999923706055,674.5999755859375,13.894953371512782,52.12514185532415
82,48.75,676.1699829101562,13.870153495592948,53.61182391633326
