,qcom,aapl,Ratio,Spread
0,165.9499969482422,160.35000610351562,0.966254950601336,28.786044977426787
1,168.0399932861328,162.77000427246094,0.968638483550173,28.7624921642598
2,167.8000030517578,162.14999389648438,0.9663289091029951,29.107323358257236
3,170.1199951171875,164.02999877929688,0.9642017604474094,29.88748304599743
4,170.50999450683594,164.3000030517578,0.9635798976298181,30.064662440385707
5,170.0,164.48500061035156,0.9675588271197151,29.29489162395318
6,170.0,164.77999877929688,0.9692941104664522,28.999893455007868
7,170.17999267578125,164.6750030517578,0.967651957568765,29.31127356903126
8,170.9499969482422,164.8699951171875,0.9644340336964411,29.99918887009527
9,170.25,163.77999877929688,0.9619970559723752,30.286550100324877
10,172.4499969482422,165.0800018310547,0.9572630023333693,31.509122028130196
11,170.1649932861328,164.3000030517578,0.965533508854474,29.66907487015759
12,170.39999389648438,164.07000732421875,0.9628521901467262,30.168528544139964
13,168.5,162.8300018310547,0.9663501592347459,29.229950531347942
14,170.1999969482422,163.8199005126953,0.9625141213281745,30.1893135386364
15,172.02999877929688,165.1199951171875,0.9598325657667739,30.987547677400773
16,170.93710327148438,166.1497039794922,0.97199321153589,28.70469577528981
17,169.36619567871094,164.85000610351562,0.9733347640177114,28.2031492486765
18,167.27999877929688,163.92999267578125,0.9799736601628297,26.731073857783674
19,165.10000610351562,162.54769897460938,0.9845408417047181,25.613730009935058
20,166.4499969482422,163.19140625,0.9804230053590481,26.51795812157643
21,164.25,162.8699951171875,0.9915981437880518,24.3167942748258
22,163.6999969482422,163.1699981689453,0.9967623775859663,23.38614310414393
23,167.9499969482422,164.50999450683594,0.9795176986965569,26.919309736642607
24,168.77000427246094,165.7393035888672,0.9820424210056841,26.630242849395092
25,169.82000732421875,166.2899932861328,0.9792132028863568,27.28351456168757
26,169.89999389648438,166.68609619140625,0.9810835914035626,26.979126386318416
27,169.80999755859375,166.8699951171875,0.9826865173801572,26.692035267295
28,169.8000030517578,167.2100067138672,0.9847467827365047,26.340563703410556
29,169.16000366210938,166.5399932861328,0.984511643891839,26.27673681897868
30,167.0500030517578,166.82000732421875,0.9986231923176452,23.577339994571805
31,166.7899932861328,166.66000366210938,0.99922063895164,23.43920954802626
32,166.1300048828125,166.25,1.0007222964766187,23.092452963559897
33,168.13999938964844,167.6999969482422,0.9973831185737869,23.9471691450586
34,167.64999389648438,167.77000427246094,1.0007158388329598,23.31530849741056
35,166.30999755859375,166.68809509277344,1.0022734504222843,22.86074225727079
36,165.36000061035156,166.3000030517578,1.0056845817485285,22.159542545308387
37,163.89999389648438,163.30999755859375,0.9964002662607586,23.475465531522463
38,162.9199981689453,162.5500030517578,0.9977289766674081,23.111770887632975
39,163.75999450683594,163.6999969482422,0.9996336250573625,22.924939120341822
40,162.98500061035156,163.47500610351562,1.0030064453252083,22.2613013630389
41,161.2458038330078,163.3300018310547,1.0129255952620346,20.412096380541715
42,160.93499755859375,162.6999969482422,1.0109671570287615,20.68572252748614
43,162.3300018310547,163.22000122070312,1.005482654959708,21.76526723481145
44,157.63999938964844,161.52999877929688,1.024676474274992,18.077588210689118
45,156.2196044921875,163.17999267578125,1.0445551517443628,14.798931768878495
46,153.97000122070312,161.67999267578125,1.0500746339803328,13.719476860486898
47,153.1300048828125,161.05990600585938,1.051785416771295,13.376401401215523
48,153.08999633789062,161.0500946044922,1.0519962013000022,13.340337941497458
49,151.39999389648438,160.36000061035156,1.059181024273973,12.092630213913727
50,150.02999877929688,159.30999755859375,1.0618542881743824,11.571760448096873
51,149.17999267578125,156.731201171875,1.0506181047515204,13.17591724228449
52,149.13999938964844,156.5399932861328,1.049617768048603,13.32126776307455
53,153.72999572753906,160.8759002685547,1.046483475831747,14.24837258960118
54,155.5,160.99000549316406,1.035305501563756,16.163801312753595
55,154.25,159.15150451660156,1.0317763663961204,16.56901906273099
56,153.23500061035156,158.4499969482422,1.0340326708462084,16.1067013509486
57,150.72999572753906,157.2899932861328,1.0435215135974107,14.394399828218829
58,156.19500732421875,161.3300018310547,1.0328755354912023,16.620718846988172
59,155.3730010986328,161.11000061035156,1.0369240438889176,15.898185879466629
60,156.1699981689453,162.00999450683594,1.0373951233038556,15.912050008995342
61,157.67799377441406,162.2799072265625,1.0291855149979412,17.371245134934686
62,157.0,162.33999633789062,1.0340127155279657,16.533750339929146
63,158.10000610351562,163.19500732421875,1.032226445439649,16.940035591449135
64,157.2100067138672,162.97999572753906,1.0367024283904118,16.134550230645562
65,152.44000244140625,158.1199951171875,1.0372605128890922,15.525137149431137
66,151.27999877929688,156.67909240722656,1.0356894081933887,15.635948826049164
67,152.61000061035156,157.2100067138672,1.0301422323905267,16.63004997203105
68,151.86000061035156,156.8300018310547,1.0327275200890809,16.150084918892492
69,153.7100067138672,158.22999572753906,1.0294059515727294,16.871357196207317
70,154.07000732421875,158.00999450683594,1.0255727071806133,17.504144686012257
71,154.61000061035156,158.52000427246094,1.0252894615268995,17.61330557597343
72,155.36000061035156,157.66000366210938,1.0148043450226696,19.33327612227605
73,154.5500030517578,155.88999938964844,1.0086703093589837,20.174515663291164
74,154.32000732421875,154.92759704589844,1.0039372064077419,20.873198792266795
75,155.25100708007812,156.5,1.0080449907759867,20.368304905387664
76,155.3699951171875,156.53990173339844,1.0075298104716328,20.464838018191745
77,153.64999389648438,155.0850067138672,1.0093394915352198,19.94753391825127
78,152.3300018310547,154.72999572753906,1.0157552279106918,18.789006915294767
79,148.36000061035156,153.32000732421875,1.0334322370818398,15.646886391290158
80,147.28500366210938,153.0800018310547,1.039345473231204,14.65427180881766
