,dow,shw,Ratio,Spread
0,63.43000030517578,260.17498779296875,4.101765513813799,17.452133581915177
1,63.861000061035156,257.44000244140625,4.031255417161616,22.07356416376018
2,63.560001373291016,256.69500732421875,4.03862494930792,21.501116449259655
3,63.650001525878906,257.32501220703125,4.04281234938239,21.265033735232578
4,63.80500030517578,257.04998779296875,4.028680927255119,22.21847316909293
5,64.08000183105469,260.010009765625,4.057584306116826,20.462106905661585
6,64.19999694824219,259.4100036621094,4.040654454722869,21.587320305464857
7,64.12000274658203,254.8300018310547,3.974266857695021,25.817195070040896
8,64.37999725341797,253.9600067138672,3.9447035965877477,27.825161591277947
9,64.27999877929688,253.9149932861328,3.950139983013084,27.432491141059472
10,64.26499938964844,252.75999450683594,3.933089502955003,28.5218390083204
11,64.33999633789062,252.69000244140625,3.927417109481462,28.920085633929887
12,64.125,252.5850067138672,3.9389474731207357,28.084062693527244
13,64.2699966430664,253.19000244140625,3.939474337419636,28.113703580048934
14,64.30999755859375,254.72000122070312,3.960814972642848,26.758785030561057
15,64.3478012084961,254.0825958251953,3.9485824076868035,27.56165343173427
16,64.41999816894531,253.25,3.9312326482195274,28.710248534954133
17,64.25,252.28500366210938,3.926614842990029,28.931178941011012
18,64.36499786376953,252.27000427246094,3.9193663115844117,29.44951312064825
19,64.2699966430664,251.5399932861328,3.913801251353722,29.763712735322372
20,63.72999954223633,249.83999633789062,3.92028868872519,29.100193367421582
21,63.83000183105469,251.08999633789062,3.9337300506817447,28.287893941944105
22,63.90999984741211,252.80999755859375,3.955718951059123,26.91803648428936
23,63.869998931884766,252.60000610351562,3.9549085694036905,26.95294770955843
24,63.4900016784668,253.23500061035156,3.9885807830469546,24.65474110924589
25,64.11000061035156,254.64500427246094,3.9720012766829473,25.958414222897545
26,64.07499694824219,253.77999877929688,3.9606712581553856,26.670211992551458
27,64.19000244140625,255.25999450683594,3.97663163729962,25.693584448140598
28,63.90999984741211,255.33999633789062,3.995305851158284,24.388037704992485
29,63.869998931884766,256.0199890136719,4.008454568579353,23.53296479940218
30,63.816898345947266,256.79998779296875,4.024012361128438,22.52054976996783
31,63.82500076293945,257.1650085449219,4.029220610589432,22.190992532044334
32,63.904998779296875,257.3800048828125,4.0275410343360365,22.32613995720203
33,64.01000213623047,258.04998779296875,4.031401018293502,22.115746824436883
34,64.0199966430664,259.07000732421875,4.046704481548531,21.13947230578458
35,63.869998931884766,258.6700134277344,4.049945479153638,20.88294038533968
36,63.93000030517578,260.739990234375,4.078523212728117,19.07558392341258
37,63.59000015258789,260.44000244140625,4.095612546256729,17.887423156144052
38,63.88999938964844,260.92999267578125,4.0840506365391755,18.710501252197332
39,63.72999954223633,259.69000244140625,4.074847078404569,19.250187263905957
40,63.6349983215332,258.30999755859375,4.059244195362621,20.214380775064456
41,63.5,257.9599914550781,4.06236207015871,19.973511973686755
42,61.93000030517578,258.0199890136719,4.166316611371112,13.041774012501094
43,62.0099983215332,255.6300048828125,4.122399803291787,15.781901906408791
44,61.935001373291016,256.7569885253906,4.145587839384711,14.326663703650866
45,61.45000076293945,258.7099914550781,4.2100893123358,10.250858903095661
46,61.58000183105469,259.8900146484375,4.220363866851582,9.639838108330764
47,61.58000183105469,262.0799865722656,4.255926904505208,7.449866184502639
48,61.66999816894531,262.5199890136719,4.25685092927191,7.403769215312138
49,60.5,258.6199951171875,4.274710663094008,6.182791614155406
50,60.29999923706055,258.6400146484375,4.2892208610423435,5.2873876304300325
51,60.290000915527344,260.67999267578125,4.323768265338417,3.2036478939188555
52,60.72999954223633,262.3399963378906,4.319776030221096,3.469476669999608
53,61.040000915527344,262.5799865722656,4.301769047081888,4.586333171789988
54,61.43000030517578,263.8800048828125,4.295621090214764,4.993305360456816
55,61.27000045776367,263.8299865722656,4.306022271929575,4.343019448337259
56,61.599998474121094,264.3299865722656,4.2910713168818315,5.287389602837436
57,62.119998931884766,265.75,4.278010376197812,6.143369072911241
58,62.209999084472656,265.8900146484375,4.274071991021818,6.397276593259221
59,62.18000030517578,266.6700134277344,4.2886782264222205,5.485975989890392
60,61.79999923706055,264.1600036621094,4.274433768984523,6.332756965469116
61,62.03499984741211,264.8599853515625,4.269525042363832,6.66135075543184
62,61.70000076293945,263.8699951171875,4.276661132161329,6.185081632438141
63,62.349998474121094,261.9700012207031,4.201603971641411,10.930054128755444
64,62.08000183105469,262.25,4.224387761999275,9.468305539671917
65,62.08000183105469,262.1300048828125,4.222454851019116,9.588300656859417
66,61.92499923706055,261.6199951171875,4.224788023261122,9.41987870611689
67,62.099998474121094,262.0899963378906,4.220450930399157,9.715832620116146
68,62.08000183105469,261.7200012207031,4.215850410780452,9.998304318968792
69,61.970001220703125,261.2799987792969,4.216233558698199,9.956844476685092
70,63.45000076293945,263.44000244140625,4.15193064261205,14.274659048382205
71,63.665000915527344,262.7959899902344,4.127793704722004,15.859706864065458
72,63.43000030517578,260.69000244140625,4.109884931218176,16.937118933477677
73,63.459999084472656,259.3900146484375,4.087456955414688,18.368408550518325
74,63.040000915527344,257.29998779296875,4.081535280079499,18.620143082701475
75,62.95000076293945,256.20001220703125,4.069896888037273,19.326196499853552
76,63.290000915527344,256.94000244140625,4.059725054899936,20.07435482571583
77,63.33000183105469,255.44000244140625,4.033475368007141,21.749435055524827
78,63.70000076293945,257.79998779296875,4.047095521275979,21.008900088271503
79,63.69599914550781,258.4100036621094,4.056926763512962,20.381369517522103
80,63.90999984741211,259.364990234375,4.058284945292132,20.36304380850811
81,63.84000015258789,258.31500244140625,4.046287622556262,21.106649547595907
