,ctva,alb,Ratio,Spread
0,46.27000045776367,224.38999938964844,4.8495784994529405,-35.045416410550885
1,46.869998931884766,229.55999755859375,4.897802491786029,-37.705883770532594
2,46.4900016784668,229.52499389648438,4.937082934174115,-39.2602421750032
3,46.63999938964844,229.8249969482422,4.9276372203223255,-38.932870502124004
4,46.43000030517578,230.11000061035156,4.956062870942951,-40.09620835184985
5,46.29999923706055,231.17999267578125,4.993088477002277,-41.70993794279785
6,46.06999969482422,229.6999969482422,4.9858910021666025,-41.19192955720173
7,44.40999984741211,220.60499572753906,4.96746220413226,-39.03998059351947
8,43.95000076293945,216.13499450683594,4.91774722991792,-36.49395405670229
9,44.2599983215332,218.3249969482422,4.932783669854401,-37.38737249406738
10,44.27000045776367,217.38999938964844,4.91054883988655,-36.41054038070651
11,44.720001220703125,217.08999633789062,4.854427334795975,-34.22838124462213
12,44.84000015258789,218.16000366210938,4.865298905435408,-34.79648559808972
13,44.77000045776367,218.1300048828125,4.872235931482686,-35.05926488133166
14,45.790000915527344,221.10000610351562,4.828565225656958,-33.76305096263049
15,45.849998474121094,221.1300048828125,4.822901030359334,-33.54210623415567
16,45.91999816894531,222.85000610351562,4.853005552910152,-34.96932939231995
17,45.95500183105469,222.80999755859375,4.8484384437131505,-34.78291586092091
18,45.65999984741211,222.3000030517578,4.868594038428522,-35.506785436390956
19,45.7400016784668,223.47000122070312,4.88565791474177,-36.342170988030304
20,45.81999969482422,224.14999389648438,4.891968472051389,-36.68756700171339
21,45.900001525878906,225.4199981689453,4.911110907956095,-37.62295865686836
22,46.11000061035156,226.4499969482422,4.9110820635600865,-37.774623248548764
23,46.08000183105469,225.18499755859375,4.8868270097774795,-36.63509561278617
24,45.875,225.0800018310547,4.906376061712364,-37.38753275068778
25,45.7599983215332,223.6199951171875,4.8868007718426645,-36.40852768539598
26,45.7599983215332,224.9250030517578,4.915319302927405,-37.713535619966294
27,45.93000030517578,225.24000549316406,4.903984410985996,-37.317494227201266
28,46.569698333740234,224.30999755859375,4.81665129009605,-33.71190963642805
29,46.41999816894531,225.80499267578125,4.864390383083715,-35.83303497204669
30,46.48500061035156,226.89999389648438,4.881144259810053,-36.656159452386774
31,46.439998626708984,227.94000244140625,4.9082689315652,-37.88439158334519
32,46.52000045776367,228.1199951171875,4.903697181265113,-37.72977164182048
33,46.56999969482422,228.27000427246094,4.901653548815265,-37.6706558888816
34,46.44499969482422,227.89999389648438,4.906879005144687,-37.82346576103974
35,46.58000183105469,229.1300048828125,4.919063887413858,-38.48882194446601
36,46.63999938964844,230.89999389648438,4.950686040268939,-40.00786745036619
37,46.63999938964844,231.59500122070312,4.965587569713921,-40.70287477458494
38,46.80500030517578,232.82000732421875,4.974255011349142,-41.23775432131286
39,46.959999084472656,232.83050537109375,4.958060262145091,-40.59996036616728
40,46.800498962402344,232.2899932861328,4.963408477177675,-40.726567428392926
41,47.0099983215332,233.02000427246094,4.9568179662266605,-40.58033435932215
42,47.34000015258789,233.51499938964844,4.932720714764998,-39.695076362934245
43,47.31999969482422,231.6739959716797,4.895900200037825,-37.937726099291964
44,47.29999923706055,232.0500030517578,4.905919805384304,-38.39738633369659
45,47.43000030517578,232.9499969482422,4.911448354404113,-38.75364270466268
46,47.31999969482422,234.00999450683594,4.94526618799686,-40.273724634448214
47,47.41999816894531,234.0449981689453,4.935575858419541,-39.89047848013293
48,47.38999938964844,232.6699981689453,4.909685612272201,-38.640950234018774
49,47.209999084472656,229.22999572753906,4.8555390843659785,-35.95381022634315
50,47.2400016784668,232.19000244140625,4.915114186950683,-38.78832923111672
51,47.364601135253906,230.0,4.8559471522459186,-36.077181838391354
52,47.41999816894531,231.5800018310547,4.883593647684136,-37.4254821422423
53,47.29999923706055,232.0800018310547,4.906554029058316,-38.42738511299346
54,47.42499923706055,232.0050048828125,4.892040244916036,-37.82956791661654
55,47.36000061035156,232.52000427246094,4.909628405318023,-38.61642809142025
56,47.470001220703125,235.34500122070312,4.957762695781477,-40.98134066847062
57,47.369998931884766,235.7550048828125,4.976884319161885,-41.80961010221246
58,47.39500045776367,236.6999969482422,4.994197587553117,-42.650031735932075
59,47.2599983215332,236.3000030517578,5.000000242151761,-42.814692642349556
60,47.31999969482422,235.22999572753906,4.971048124357197,-41.49372585515134
61,47.21500015258789,235.3090057373047,4.983776447672154,-42.0119029587252
62,47.130001068115234,234.36000061035156,4.972628799045427,-41.418411771253844
63,47.400001525878906,235.72000122070312,4.972995646255569,-41.649118731009466
64,47.25,235.85000610351562,4.991534520709325,-42.406514293666746
65,47.150001525878906,234.35000610351562,4.970307497760938,-41.32476411009141
66,47.29999923706055,234.4219970703125,4.956067671278902,-40.769380352251275
67,47.31999969482422,233.7449951171875,4.939666031797421,-40.00872524479978
68,47.36000061035156,234.38999938964844,4.949113099006536,-40.48642320860775
69,47.290000915527344,233.7899932861328,4.943751083949958,-40.17919516763094
70,47.71500015258789,231.75999450683594,4.8571726661571875,-36.37161073571757
71,47.40999984741211,231.27000427246094,4.878084898055213,-37.1573031832079
72,47.04999923706055,238.16000366210938,5.061849256620486,-45.55302744031759
73,46.95000076293945,236.50790405273438,5.037441963992996,-44.31917764736728
74,47.029998779296875,237.00999450683594,5.039549237904092,-44.48667143937065
75,47.02000045776367,237.08999633789062,5.042322289019538,-44.60849186998469
76,46.900001525878906,236.55999755859375,5.0439230247799145,-44.580396061439004
77,48.29999923706055,247.82000732421875,5.130849093969895,-49.9848286210797
78,47.790000915527344,239.82000732421875,5.018204702446435,-44.11792821317799
