,tsm,txn,Ratio,Spread
0,143.7899932861328,184.6199951171875,1.2839557948222837,93.88731318896811
1,142.6999969482422,184.22999572753906,1.2910301308160501,92.1513096344105
2,141.83999633789062,185.55999755859375,1.3082346471340391,89.14390415889517
3,140.88499450683594,184.6999969482422,1.3109983614279113,88.14120428671708
4,140.25,185.47000122070312,1.322424251128008,86.13266356770214
5,140.38999938964844,185.97000122070312,1.3246670135281409,85.90572789299671
6,140.72000122070312,187.0,1.3288800339527571,85.51938711513253
7,135.89939880371094,182.27999877929688,1.341286277819203,80.83695772656813
8,134.3699951171875,182.27000427246094,1.3564784616796228,77.86389933001465
9,133.7332000732422,182.77000427246094,1.3666763688625005,76.12185099350052
10,133.63999938964844,182.6999969482422,1.3671056403970163,76.01007336961032
11,134.1300048828125,182.46499633789062,1.3603592760419843,77.20081399938249
12,134.02999877929688,182.4499969482422,1.3612623935681523,77.0207546873437
13,133.875,182.2899932861328,1.3616432738459967,76.87843819508333
14,134.11160278320312,181.98500061035156,1.3569668606864518,77.64491702105721
15,132.5399932861328,179.11000061035156,1.3513656985305673,77.45454303605857
16,133.1300048828125,181.08999633789062,1.3602493029072962,76.62534602962734
17,132.5,181.1999969482422,1.3675471467791864,75.28654107456066
18,131.8000030517578,179.8699951171875,1.3647192029772004,75.25122127914261
19,131.36000061035156,179.8800048828125,1.3693666568743714,74.38300084494063
20,131.0399932861328,178.25999450683594,1.360348013126006,75.37884718494146
21,131.64999389648438,179.9499969482422,1.3668819239728627,74.87863139555702
22,131.8000030517578,180.08999633789062,1.366388407951473,75.03122005843949
23,131.67999267578125,179.54989624023438,1.3635320946768053,75.33724376171517
24,131.72560119628906,178.26499938964844,1.353305642720198,76.7110985706995
25,130.93499755859375,177.08999633789062,1.3525031476679288,76.34405455036068
26,129.44500732421875,175.02000427246094,1.3520799904942742,75.50786838839397
27,128.33999633789062,173.42999267578125,1.3513323798076067,74.94259145001311
28,124.7300033569336,175.7899932861328,1.4093641349714663,65.54141515926392
29,127.52999877929688,178.99000549316406,1.4035129554335193,67.8027043390133
30,126.44999694824219,176.86000061035156,1.3986556336790021,67.82620024307673
31,126.0,176.625,1.4017857142857142,67.18349621939433
