,aapl,nflx,Ratio,Spread
0,170.1524658203125,586.72998046875,3.448260227320827,-269.0972170436816
1,168.77049255371094,593.739990234375,3.5180319808891842,-278.70228201894525
2,171.99180603027344,604.9199829101562,3.517144199321218,-283.83332532554687
3,174.62649536132812,614.239990234375,3.517450138155847,-288.20594007744313
4,175.26280212402344,614.0900268554688,3.503824082539274,-286.8611263932764
5,179.28944396972656,613.1199951171875,3.41972166091783,-278.32990794352054
6,178.25543212890625,610.7100219726562,3.426038773006471,-277.8615916162354
7,178.3449249267578,610.5399780273438,3.4233661444421735,-277.52349901404773
8,177.17173767089844,612.0900268554688,3.454783674315163,-281.2765468246974
9,176.54537963867188,602.4400024414062,3.4123804524049017,-272.8026910919768
10,180.95973205566406,597.3699951171875,3.3011211297187026,-259.4434581266088
11,178.66307067871094,591.1500244140625,3.3087421041650242,-257.5361345745349
12,173.91065979003906,567.52001953125,3.2632848395630973,-242.8301580597379
13,171.00750732421875,553.2899780273438,3.235471861351345,-234.0516264459823
14,171.176513671875,541.0599975585938,3.160830805303941,-221.50428759299533
15,171.19642639160156,539.8499755859375,3.1533951202407873,-220.25687371970443
16,174.0697479248047,540.8400268554688,3.10703056276673,-215.85143131804344
17,174.51712036132812,537.219970703125,3.07832245679301,-211.39130379810817
18,171.19642639160156,519.2000122070312,3.0327736574325,-199.60691034079818
19,172.07135009765625,525.6900024414062,3.0550699006142485,-204.4539778238403
20,168.82020568847656,510.79998779296875,3.0257040957262338,-195.66892876354083
21,165.2707977294922,515.8599853515625,3.1213014787760565,-207.3939681414644
22,163.56072998046875,508.25,3.107408484057827,-202.99513044969072
23,161.4728546142578,397.5,2.461714081599579,-96.16572137362785
24,160.68740844726562,387.1499938964844,2.4093362238992064,-87.29061801736732
25,158.85801696777344,366.4200134277344,2.306588111962066,-69.99585008423976
26,158.76853942871094,359.70001220703125,2.265562267570907,-63.44386886761437
27,158.30125427246094,386.70001220703125,2.4428107912617087,-91.32133213584054
28,169.34715270996094,384.3599853515625,2.269657205337557,-68.23943061599165
29,173.77146911621094,427.1400146484375,2.4580560711193877,-102.71152399500137
30,173.6024627685547,457.1300048828125,2.633199999542946,-133.01887261361335
31,174.8253631591797,429.4800109863281,2.4566230163942726,-103.0725289206061
32,171.9022979736328,405.6000061035156,2.3594798375861648,-84.6814258285789
33,171.61363220214844,410.1700134277344,2.3900782715477042,-89.79348677441148
34,170.8869171142578,402.1000061035156,2.353018082915411,-83.08809758017374
35,174.04263305664062,403.5299987792969,2.3185698336796112,-78.59231926288898
36,175.48609924316406,412.8900146484375,2.3528360162380286,-85.24180914878362
37,171.34483337402344,406.2699890136719,2.3710664687906724,-86.39821003972044
38,167.88052368164062,391.30999755859375,2.3308838272428343,-77.94346375275423
39,168.11944580078125,396.57000732421875,2.35885864026787,-82.75482801635839
40,172.01181030273438,407.4599914550781,2.3687907867370486,-86.33577005304961
41,171.7729034423828,398.0799865722656,2.317478360059229,-77.40438201946047
42,168.11944580078125,386.6700134277344,2.2999719728194434,-72.85483411987401
43,166.54653930664062,391.2900085449219,2.349433438688811,-80.42841690083135
44,163.57997131347656,377.3800048828125,2.3070061808460656,-72.0890041549551
45,159.34912109375,367.4599914550781,2.306005762271447,-70.11363782658289
46,162.007080078125,390.0299987792969,2.407487367781778,-87.6925570624119
47,164.1075897216797,390.79998779296875,2.38136449664364,-84.51823063588184
48,164.37637329101562,394.5199890136719,2.400101554225222,-87.73351283001092
49,162.4650115966797,386.239990234375,2.3773733583524925,-83.04264941408304
50,165.80987548828125,380.0299987792969,2.291962391625798,-70.55170688910597
51,165.4813690185547,368.07000732421875,2.2242383508620156,-59.208581509708395
52,162.43515014648438,361.7300109863281,2.2269195470322725,-58.588743690589425
53,158.58258056640625,350.260009765625,2.208691575799866,-54.353058068380065
54,156.73095703125,341.760009765625,2.180552050718881,-49.330017729845125
55,162.2161407470703,358.7900085449219,2.211802148001735,-56.05999485056931
56,157.8061065673828,356.7699890136719,2.2608123143912175,-62.32109221879837
57,154.0331573486328,340.32000732421875,2.2093944783196995,-52.955915830895336
58,149.94166564941406,331.010009765625,2.207591921378116,-51.32887937281613
59,154.39154052734375,343.75,2.226482091090474,-55.71294025364536
60,158.8712615966797,357.5299987792969,2.2504384694001134,-61.08096480764068
61,159.89663696289062,371.3999938964844,2.3227505027681112,-73.02552059092245
62,163.2415008544922,380.6000061035156,2.3315149892107967,-75.94458172805476
63,164.63519287109375,374.5899963378906,2.2752729219395245,-67.31751140437167
64,168.05972290039062,382.9200134277344,2.2784758109751966,-69.21698116898052
65,169.44345092773438,374.489990234375,2.210117819154253,-58.1886076942791
66,173.2860565185547,375.7099914550781,2.1681490075045295,-52.193003593204494
67,173.93313598632812,373.8500061035156,2.149389212029741,-49.11793906140208
68,174.80918884277344,378.510009765625,2.1652752482368864,-52.132899665169376
69,178.15403747558594,391.82000732421875,2.199332739668689,-59.16197480666166
70,176.9694061279297,381.4700012207031,2.1555703303029774,-51.036457283736596
71,173.82363891601562,374.5899963378906,2.1550003133858966,-50.063541770071495
72,173.52496337890625,373.4700012207031,2.1522551795916542,-49.50439650960608
73,177.63638305664062,391.5,2.2039403936476654,-59.81401363495634
74,174.27159118652344,380.1499938964844,2.1813652547052755,-54.78237915477173
75,171.05615234375,368.3500061035156,2.153386481903843,-49.020309403975446
76,171.36474609375,362.1499938964844,2.113328453790372,-42.240823021898294
77,169.32398986816406,355.8800048828125,2.101769543464581,-39.80294509372699
78,165.00352478027344,348.0,2.1090458550107543,-40.035865189531265
79,166.90493774414062,344.1000061035156,2.061652643440716,-32.565417553596504
