,goog,meta,Ratio,Spread
0,148.25,344.7300109863281,2.325328910531724,-115.77459605303815
1,148.11500549316406,345.7799987792969,2.334537257909737,-117.03448349508218
2,147.67349243164062,345.67999267578125,2.340839828351724,-117.62097522653815
3,148.06324768066406,346.6600036621094,2.341296770754141,-117.99496533162628
4,147.7884979248047,346.8800048828125,2.3471380368132997,-118.64216821179022
5,147.74899291992188,346.05999755859375,2.3422156098631004,-117.88358625113605
6,148.0050048828125,346.19000244140625,2.339042539240567,-117.6155244093882
7,147.20150756835938,349.5150146484375,2.374398336145607,-122.18987489165477
8,147.0387420654297,348.54998779296875,2.370463613173935,-121.47792812623757
9,146.41000366210938,348.04998779296875,2.377228188561568,-121.95553805504366
10,146.35501098632812,347.05999755859375,2.371357121424525,-121.05105458400848
11,146.38064575195312,346.6449890136719,2.368106707228723,-120.59618717049312
12,146.15609741210938,346.7099914550781,2.3721897176651927,-121.01033432036462
13,146.45748901367188,346.2200012207031,2.363962427270505,-120.05171767381202
14,146.34500122070312,343.6650085449219,2.348320787716146,-117.67162950950168
15,146.05450439453125,343.6000061035156,2.352546451942095,-118.0583134611208
16,145.6175079345703,343.260009765625,2.357271557757056,-118.39779220516385
17,145.67025756835938,342.1600036621094,2.3488666071832975,-117.21576698931034
18,145.8719940185547,342.81500244140625,2.350108427240672,-117.55709070808678
19,146.41400146484375,343.1799011230469,2.3439008406955506,-117.07923529966257
20,146.5,342.8900146484375,2.3405461750746586,-116.6556318111289
21,146.95449829101562,346.29998779296875,2.356511653744597,-119.35891670570459
22,146.6282501220703,344.8500061035156,2.351866068212794,-118.41621029565454
23,146.41500854492188,345.51611328125,2.3598408162865456,-119.41388157374237
24,146.4560089111328,345.6199951171875,2.359889482765465,-119.45401294544735
25,146.43350219726562,347.20849609375,2.3711001299826417,-121.07750905961424
26,146.3574981689453,345.94000244140625,2.3636643613713337,-119.92719220754674
27,146.03250122070312,344.3999938964844,2.35837906642428,-118.89251344963228
28,146.00350952148438,341.75,2.3406971594043195,-116.28759803548579
29,145.7655029296875,341.1199951171875,2.3401970168602415,-116.0276637671501
30,145.50999450683594,340.1600036621094,2.337708861958131,-115.46495609457065
31,145.67649841308594,340.44500732421875,2.336993345068191,-115.49106691495857
32,145.1165008544922,339.5400085449219,2.3397753291018053,-115.45679461029303
33,145.28750610351562,339.7300109863281,2.3383291522966503,-115.38090518245696
34,144.6790008544922,336.3500061035156,2.3248018310673326,-112.9470501928821
35,144.56900024414062,340.2900085449219,2.353824180635252,-117.05808988648502
36,144.60350036621094,338.6199951171875,2.3417136809249177,-115.33443306476858
37,144.76651000976562,338.2200012207031,2.3363138421855134,-114.68097946996033
38,145.37750244140625,339.0,2.331860118016764,-114.51096109674529
39,145.05648803710938,338.94000244140625,2.3366069799973115,-114.95010096521676
40,145.2449951171875,339.92999267578125,2.3403904031358653,-115.64698616232758
41,145.0605010986328,338.57000732421875,2.33399171214782,-114.57386603705302
42,145.6894989013672,339.7699890136719,2.332151538551852,-114.79583446391072
43,144.45799255371094,334.19000244140625,2.3134061088184583,-111.13068691928936
44,144.72500610351562,334.2936096191406,2.309853829821466,-110.81912127469204
45,144.19448852539062,334.8900146484375,2.322488314728257,-112.24041507973772
46,144.0625,334.4901123046875,2.3218402589479394,-112.04573845821008
47,144.80551147460938,337.7799987792969,2.3326460114643095,-114.18033460705115
48,144.35400390625,336.5,2.3310749331105374,-113.60237387637392
49,142.69300842285156,333.25,2.3354332751360767,-112.93501503157805
50,141.63973999023438,334.19500732421875,2.3594720475147755,-115.51772361913129
51,140.91461181640625,332.2300109863281,2.3576689933275436,-114.68021130106163
52,140.8730010986328,329.7650146484375,2.3408673917406726,-112.27991444808436
53,139.854248046875,328.4949951171875,2.348838163336202,-112.59392906066978
54,138.73300170898438,327.54010009765625,2.3609386091474205,-113.38243248279679
55,137.65350341796875,324.239990234375,2.3554793897969906,-111.76080804660728
56,138.75100708007812,334.20001220703125,2.408631254216069,-120.01434848208828
57,138.96800231933594,338.0799865722656,2.432790145427782,-123.55692226978226
58,138.687744140625,338.1000061035156,2.4378506420920143,-124.01270837213727
59,137.92950439453125,333.8999938964844,2.4208018100420516,-120.99166455686023
60,137.22650146484375,333.6300048828125,2.431235958954223,-121.81475756333043
61,137.95150756835938,333.67999267578125,2.418820921623,-120.73745114061435
62,137.5655059814453,332.5,2.41703032768147,-120.1576428688862
63,137.2102508544922,332.9700012207031,2.4267137414813775,-121.18002157684728
64,136.88198852539062,332.29998779296875,2.4276385182067215,-121.02041519676257
