,qcom,ma,Ratio,Spread
0,183.6300048828125,362.05999755859375,1.9716821212832307,90.72820026763152
1,183.10000610351562,361.6700134277344,1.9752594285729523,89.80417692046491
2,183.0500030517578,360.94000244140625,1.971810961070291,90.41021708553747
3,183.52999877929688,361.8500061035156,1.9716123168433985,90.69025008019851
4,183.24000549316406,362.5899963378906,1.9787709313914934,89.23128961147434
5,183.60000610351562,361.30999755859375,1.9679193112601714,91.4038253409948
6,182.88999938964844,359.3699951171875,1.9649515901170036,91.5835329139717
7,185.50999450683594,365.8699035644531,1.9722382318919804,91.5792869301991
8,185.6887969970703,366.114990234375,1.9716590131183378,91.77749903460524
9,185.72000122070312,366.8800048828125,1.9754469226328788,91.08984792887988
10,184.95700073242188,370.885009765625,2.005249913747174,85.19316256206868
11,185.58580017089844,371.70001220703125,2.0028472645253452,85.93712062512408
12,185.61000061035156,371.3900146484375,2.000915971268656,86.30711748872592
13,186.2100067138672,370.92999267578125,1.991998170354815,88.25471365528252
14,186.17999267578125,377.0799865722656,2.0253518176301717,82.03030700157821
15,181.86000061035156,375.69500732421875,2.0658473884489474,72.70488067752525
16,183.10499572753906,375.5799865722656,2.051172798863064,75.90657437665097
17,184.00999450683594,375.9100036621094,2.042878185337614,77.82028917837512
18,184.77999877929688,376.7200012207031,2.038748802410489,78.91933634148411
19,186.86000061035156,377.05999755859375,2.0178743247724555,83.73621595704277
20,187.22000122070312,375.4200134277344,2.005234542142604,86.26873703812574
21,191.83999633789062,379.989990234375,1.9807652079240714,93.1529529005352
22,192.1699981689453,379.4200134277344,1.9743977574177272,94.54109173076269
23,193.01499938964844,380.7699890136719,1.9727481813213574,95.2860981831197
24,190.625,379.1300048828125,1.9888787141393443,91.00064023156177
25,189.71139526367188,380.6199951171875,2.0063106625101765,87.24558165667527
26,187.41000366210938,376.07000732421875,2.006669868073071,86.0898095640626
27,186.4600067138672,373.9100036621094,2.005309397182926,85.89451894464902
28,184.0749969482422,369.19000244140625,2.0056499174910445,84.70144868365215
29,185.6999969482422,370.17999267578125,1.993430257184963,87.74026424129222
30,186.0045928955078,370.0899963378906,1.9896820319151842,88.58543468168627
31,185.07000732421875,369.31500244140625,1.9955421614827846,87.04334318571337
32,185.22560119628906,369.7049865722656,1.9959713138168103,87.0391175120841
33,186.1699981689453,370.18499755859375,1.9884245646425733,88.90051698323227
34,186.0500030517578,369.989990234375,1.9886588775354461,88.79802460090424
35,182.97500610351562,367.114990234375,2.0063668697280144,84.049291975977
36,181.80999755859375,367.1050109863281,2.0191684501179177,81.17090619416031
37,182.59500122070312,370.739990234375,2.030395069721873,79.48215913113451
38,181.5500030517578,370.5899963378906,2.041255797898498,77.04132553488536
39,181.6674041748047,370.3949890136719,2.0388632220300185,77.5274013665012
40,181.16000366210938,371.3299865722656,2.049734925292074,75.33442342365005
41,180.41000366210938,369.75,2.049498323233263,75.05496116883178
42,176.61000061035156,350.4587097167969,1.9843650331557476,84.92503649535998
43,176.02000427246094,357.6575012207031,2.0319139446621417,76.26348766015435
44,174.2100067138672,360.0,2.0664714202742975,69.43352509772173
45,175.34500122070312,361.9200134277344,2.064045230306812,70.32746394263098
46,177.0,363.69000244140625,2.0547457765051202,72.66065564761085
47,177.08999633789062,362.92999267578125,2.049409905590064,73.64379019314596
48,179.82000732421875,364.010009765625,2.0243020517139025,79.33219407190747
49,180.5124969482422,359.5199890136719,1.9916626000512085,85.53908018273809
50,181.85000610351562,364.2699890136719,2.003134323824637,84.10511995605431
51,182.44000244140625,363.74798583984375,1.9937951160500982,86.08988046118175
52,183.2100067138672,365.7799987792969,1.996506661072083,85.96691224343142
53,183.8249969482422,366.8900146484375,1.9958657458960227,86.38162020092626
54,185.27999877929688,367.6700134277344,1.9844020717298154,89.20895668584213
55,185.47000122070312,366.57000732421875,1.9764382644717442,90.780029211779
56,189.30499267578125,370.0400085449219,1.954729261571467,96.81798847510483
57,186.57620239257812,368.0400085449219,1.9725988835946113,92.05259395315825
58,186.41000366210938,370.86138916015625,1.9894929557127592,88.81916262534658
59,186.4199981689453,369.6000061035156,1.9826199427840423,90.10532471400502
60,187.37249755859375,369.5400085449219,1.9722211816564064,92.52682076977199
61,186.10000610351562,368.8500061035156,1.981998893102388,90.06197955301919
62,186.38999938964844,367.3299865722656,1.9707601683305014,92.30096931861836
63,189.27000427246094,376.0199890136719,1.986685584221669,90.7512624790008
64,187.64999389648438,376.260009765625,2.0051160245344097,86.4948065357499
65,184.7949981689453,372.80999755859375,2.0174247206504976,82.86652746691182
66,184.8000030517578,374.1700134277344,2.024729476454277,81.51892002907177
67,185.05999755859375,373.7149963378906,2.0194261389178116,82.61853242662797
68,185.77999877929688,371.7900085449219,2.0012380826129803,86.32859412004389
69,184.0,369.6199951171875,2.0088043212890625,84.08551869127918
70,188.19000244140625,371.43499755859375,1.97372332610624,92.65864308340817
71,187.7449951171875,370.3999938964844,1.9728887774893091,92.59035561610115
72,189.0800018310547,369.9750061035156,1.9567114582222864,96.32517896673586
73,186.50999450683594,368.80999755859375,1.9774275289310363,91.118458038837
74,187.14999389648438,371.5299987792969,1.985199096425277,89.98518497068882
75,187.63999938964844,372.0799865722656,1.9829460018256226,90.65005069709146
76,188.74000549316406,372.1499938964844,1.971760003524866,93.30725011816237
77,185.5500030517578,368.0,1.9832928803420666,89.54838228388998
78,183.64999389648438,368.3399963378906,2.0056629925373595,84.49775955237028
79,182.82000732421875,368.6000061035156,2.016190741365789,82.17999304235236
80,181.1699981689453,366.8599853515625,2.024948882592894,79.829203676371
