,cat,unp,Ratio,Spread
0,217.22999572753906,271.3299865722656,1.2490447539877574,-48.285598458481786
1,218.85000610351562,271.739990234375,1.2416722990898275,-47.03223044009414
2,218.44000244140625,271.3500061035156,1.2422175566322922,-47.06322415639312
3,218.2050018310547,270.6400146484375,1.240301608017128,-46.59452335349533
4,219.6876983642578,272.8900146484375,1.2421724870364224,-47.322140867139666
5,221.0,273.44000244140625,1.2372850789203902,-46.5247018722722
6,221.13999938964844,273.5899963378906,1.237180053780435,-46.530949146215534
7,222.8300018310547,274.6700134277344,1.2326437695583907,-45.87572907789516
8,221.2449951171875,275.2300109863281,1.244005591360592,-48.06315774454896
9,221.05499267578125,275.1300048828125,1.2446224423727106,-48.158239700311924
10,220.99180603027344,275.1499938964844,1.2450687599647556,-48.243106617410774
11,221.85000610351562,275.9649963378906,1.243926025447684,-48.17693834583872
12,221.9705047607422,275.1600036621094,1.239624174205934,-47.24822173782786
13,223.1199951171875,276.75,1.2403639568683427,-47.657960384613915
14,223.75,276.3399963378906,1.2350390897782821,-46.60108908746645
15,223.77000427246094,277.9100036621094,1.2419448467441951,-48.15055670354883
16,224.1699981689453,277.2300109863281,1.236695424235112,-47.059863868280814
17,224.7899932861328,277.5799865722656,1.2348413846827113,-46.77324950685181
18,224.74000549316406,276.739990234375,1.2313784082504733,-45.98457893849192
19,224.61000061035156,275.92498779296875,1.2284626109397385,-45.30306109916194
20,222.8000030517578,273.2099914550781,1.2262566773466774,-44.446508833840085
21,220.8699951171875,266.95001220703125,1.2086295925591657,-40.16819623997347
22,221.41000366210938,265.29998779296875,1.1982294539764302,-37.96370937667635
23,219.3300018310547,258.70001220703125,1.1795012540341037,-33.49940908792493
24,218.2550048828125,259.8999938964844,1.1908088615701267,-35.80316116480466
25,220.1999969482422,261.7699890136719,1.1887828911968636,-35.67610443071814
26,219.6999969482422,259.9700012207031,1.183295424814903,-34.38949967071122
27,219.77000427246094,259.9599914550781,1.1828729417177035,-34.307608760212304
28,220.16000366210938,254.3800048828125,1.1554324157498757,-28.32718404892472
29,220.19000244140625,255.85000610351562,1.161951057117585,-29.76638354102667
30,220.6300048828125,256.239990234375,1.1614013713614189,-29.704588096126542
31,220.8699951171875,255.50010681152344,1.156789570606737,-28.718290844465656
32,221.2747039794922,256.7835998535156,1.16047426676171,-29.586242560064818
33,220.80999755859375,256.7349853515625,1.1626963823657295,-30.014772841707043
34,220.82000732421875,257.70001220703125,1.167013874013071,-30.969522009504203
35,216.9499969482422,255.24000549316406,1.1764923211962834,-32.483110624462284
36,215.42999267578125,253.5800018310547,1.1770877336132513,-32.38379576937484
37,215.64999389648438,253.34500122070312,1.174797163881734,-31.922905371143514
38,217.11000061035156,254.07000732421875,1.1702363161989922,-31.14882612483956
39,216.14999389648438,253.39219665527344,1.172297958873062,-31.456717772751972
40,216.22000122070312,252.64500427246094,1.1684626900662052,-30.63764424506556
41,216.00999450683594,252.1999969482422,1.167538555445225,-30.408264688261767
42,216.4199981689453,245.2100067138672,1.1330284113691165,-22.99729660672844
43,214.77999877929688,244.0500030517578,1.136279003812353,-23.521188666045617
44,215.43499755859375,243.4199981689453,1.1298999741336837,-22.218653263429644
45,215.02000427246094,242.77999877929688,1.1291042412577579,-22.004754897568546
46,215.05999755859375,241.44000244140625,1.122663466857081,-20.623694810611966
